"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"5:00:00:cardinal:00"	"∅"	"of"	"∅"	"the"	"∅_∅"	"∅_of"	"of_the"	"∅_∅_∅"	"∅_∅_of"	"∅_of_the"	"of_the_papers"	"ε"	"ε"	"ε"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"papers"	"deal"	"with"	"grammatical"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"less_than"	"minute"	"me"	"to"	"me_less_than"	"less_than_minute"	"minute_to"	"take_me_less_than"	"me_less_than_minute"	"less_than_minute_to"	"minute_to_get"	"VB"	"PRP"	"RB"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"location"	"be"	"only"	"two"	"or"	"three"	"mile"	"the"	"group"	"and"	"it"	"take"	"me"	"less_than"	"five"	"minute"	"to"	"get"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"of"	"distance"	"the"	"distance_of"	"of_of"	"of_the"	"a_distance_of"	"distance_of_of"	"of_of_the"	"of_the_radius"	"DT"	"NN"	"IN"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"take"	"a"	"lead"	"on"	"enemy"	"use"	"a"	"distance"	"of"	"five"	"of"	"the"	"radius"	"in"	"his"	"circular"	"sight"	"and_then"	"add"	"another"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"next"	"year"	"the"	"the"	"the_next"	"next_year"	"year_the"	"during_the_next"	"the_next_year"	"next_year_the"	"year_the_leaders"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"next"	"five"	"year"	"the"	"leaders"	"of"	"the"	"fair_deal"	"reluctantly"	"back_down"	"from"	"the"	"optimistic"	"expectation"	"of"	"the"	"new_deal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"'"	"."	"person"	"∅"	"person_'"	"'_."	"._∅"	"the_person_'"	"person_'_."	"'_._∅"	"._∅_∅"	"DT"	"NNP"	"ε"	"JJ"	"ε"	"ε"	"ε"	"like"	"person"	"be"	"a"	"clergyman"	"although"	"of"	"an"	"indeterminate"	"denomination"	"and"	"marmee"	"person"	"like"	"person"	"be"	"the"	"competent"	"manager"	"of"	"her"	"brood"	"of"	"girl"	"of"	"whom"	"person"	"have"	"only"	"four"	"to"	"the"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"after"	"on"	"minute"	"the"	"minute_after"	"after_on"	"on_the"	"twelve_minute_after"	"minute_after_on"	"after_on_the"	"on_the_morning"	"JJ"	"NN"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"minute"	"after"	"five"	"on"	"the"	"morning"	"of"	"wednesday"	"april"	"san_francisco"	"was"	"shake"	"by"	"a"	"severe"	"earthquake"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"include"	"man"	"crew"	"who"	"crew_include"	"include_man"	"man_who"	"present_crew_include"	"crew_include_man"	"include_man_who"	"man_who_had"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"WP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"worse"	"his"	"crew"	"include"	"five"	"man"	"who"	"had"	"sail"	"with"	"him"	"before"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"until"	"''"	"wait"	"."	"wait_until"	"until_''"	"''_."	"better_wait_until"	"wait_until_''"	"until_''_."	"''_._∅"	"JJR"	"VB"	"IN"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"i"	"better"	"until"	"five"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"shoot"	"round"	"marksman"	"at"	"marksman_shoot"	"shoot_round"	"round_at"	"trained_marksman_shoot"	"marksman_shoot_round"	"shoot_round_at"	"round_at_a"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"marksman"	"shoot"	"five"	"round"	"at"	"a"	"target"	"all"	"under"	"practically"	"the"	"same"	"condition"	"may"	"hit"	"the"	"bull's_eye"	"from"	"to"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"shot"	"set"	"("	"set_of"	"of_shot"	"shot_("	"study_set_of"	"set_of_shot"	"of_shot_("	"shot_(_*"	"VB"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"the"	"marksman"	"study"	"set"	"of"	"five"	"shot"	"f"	"for"	"the"	"mouse"	"we"	"restrict"	"attention"	"to"	"litter"	"of"	"eight"	"f"	"and"	"for"	"the"	"ace"	"we"	"toss"	"three"	"dice"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"of"	"plan"	"family"	"to"	"family_of"	"of_plan"	"plan_to"	"a_family_of"	"family_of_plan"	"of_plan_to"	"plan_to_go"	"DT"	"NN"	"IN"	"JJ"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"of"	"five"	"plan"	"to"	"go"	"together"	"either"	"to"	"the"	"beach"	"or"	"to"	"the"	"mountain"	"and"	"a"	"coin"	"is"	"toss"	"to"	"decide"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"not"	"pace"	","	"from"	",_not"	"not_pace"	"pace_from"	"road_,_not"	",_not_pace"	"not_pace_from"	"pace_from_where"	"NN"	"ε"	"RB"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"front"	"of"	"their"	"column"	"had"	"already"	"pass"	"us"	"when"	"another"	"come"	"ride"	"down"	"the"	"side"	"of"	"the"	"road"	"not"	"five"	"pace"	"from"	"where"	"we"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"the"	"county"	"in"	"of"	"in_the"	"the_county"	"county_of"	"day_school_in_the"	"in_the_county"	"the_county_of"	"county_of_dallas"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"operating_budget"	"for"	"day_school"	"in"	"the"	"five"	"county"	"of"	"dallas"	"location"	"location"	"location"	"and"	"location"	"would"	"be"	"which"	"would"	"be"	"a"	"saving"	"of"	"yearly"	"after"	"the"	"first"	"year"	"capital"	"outlay"	"of"	"was"	"absorb"	"person"	"tell"	"the"	"senate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"the"	"game"	"in"	"on"	"in_the"	"the_game"	"game_on"	"loss_in_the"	"in_the_game"	"the_game_on"	"game_on_the"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"eager"	"to"	"end"	"a"	"pitching"	"slump"	"has"	"bring"	"four"	"loss"	"in"	"the"	"five"	"game"	"on"	"the"	"current"	"home"	"stand"	"move"	"person"	"to"	"the"	"wednesday"	"night"	"starting"	"assignment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"in"	"trip"	"hit"	"include"	"hit_in"	"in_trip"	"trip_include"	"four_hit_in"	"hit_in_trip"	"in_trip_include"	"trip_include_a"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"have"	"a"	"big"	"at"	"bat"	"with"	"four"	"hit"	"in"	"five"	"trip"	"include"	"a"	"double"	"person"	"also"	"be"	"for"	"with"	"two"	"double"	"and"	"person"	"have"	"a"	"home_run"	"and"	"a"	"triple"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"∅"	"percent"	"∅"	"of"	"∅_∅"	"∅_percent"	"percent_of"	"∅_∅_∅"	"∅_∅_percent"	"∅_percent_of"	"percent_of_the"	"ε"	"ε"	"ε"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"percent"	"of"	"the"	"voter"	"in"	"each"	"county"	"must"	"sign"	"petition"	"request"	"that"	"the"	"republican"	"be"	"allow"	"to"	"place"	"name"	"of"	"candidate"	"on"	"the"	"general_election"	"ballot"	"or"	"the"	"republican"	"must"	"hold"	"a"	"primary"	"under"	"the"	"county"	"unit"	"system"	"a"	"system"	"which"	"the"	"party"	"oppose"	"in"	"its"	"platform"	"0"	
"5:00:00:cardinal:00"	"comedy"	"year"	"and"	"to"	"and_comedy"	"comedy_year"	"year_to"	"humor_and_comedy"	"and_comedy_year"	"comedy_year_to"	"year_to_live"	"NN"	"CC"	"NN"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"seem"	"to"	"remember"	"he"	"say"	"that"	"in"	"an"	"interview"	"ten"	"ago"	"you"	"give"	"humor"	"and"	"comedy"	"five"	"year"	"to"	"live"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"england"	"time"	"visit"	"in"	"visit_england"	"england_time"	"time_in"	"have_visit_england"	"visit_england_time"	"england_time_in"	"time_in_the"	"VBP"	"VB"	"NN"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"have"	"england"	"five"	"time"	"in"	"the"	"past"	"quarter-century"	"i"	"believe"	"my"	"host"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"require"	"year"	"snake"	"to"	"snake_require"	"require_year"	"year_to"	"largest_snake_require"	"snake_require_year"	"require_year_to"	"year_to_attain"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"often"	"state"	"the"	"largest"	"snake"	"require"	"five"	"year"	"to"	"attain"	"maturity"	"but"	"this"	"apparently"	"be"	"an"	"overestimation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"have"	"year"	"school"	"course"	"school_have"	"have_year"	"year_course"	"architectural_school_have"	"school_have_year"	"have_year_course"	"year_course_,"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"true"	"most"	"architectural"	"school"	"have"	"five"	"year"	"course"	"some"	"even"	"have"	"six"	"or"	"more"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"for"	"minute"	"sit"	"without"	"sit_for"	"for_minute"	"minute_without"	"had_sit_for"	"sit_for_minute"	"for_minute_without"	"minute_without_say"	"VBD"	"VB"	"IN"	"JJ"	"NN"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"that"	"had"	"sit"	"for"	"five"	"minute"	"without"	"say"	"a"	"word"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"at"	"o'clock"	"∅"	"that"	"∅_at"	"at_o'clock"	"o'clock_that"	"∅_∅_at"	"∅_at_o'clock"	"at_o'clock_that"	"o'clock_that_night"	"ε"	"ε"	"IN"	"JJ"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"five"	"o'clock"	"that"	"night"	"it"	"be"	"already"	"dark"	"and"	"behind"	"my"	"closed"	"door"	"i"	"was"	"dress"	"as"	"carefully"	"as"	"a"	"groom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"first"	"frame"	"the"	","	"the_first"	"first_frame"	"frame_,"	"over_the_first"	"the_first_frame"	"first_frame_,"	"frame_,_person"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"first"	"five"	"frame"	"person"	"the"	"big"	"right-hander"	"who"	"figure"	"to"	"be"	"in_the_middle"	"of"	"group"	"plan"	"for"	"a"	"drive"	"on"	"the"	"group"	"pennant"	"hold"	"the"	"a"	"scoreless"	"while"	"yield"	"three"	"scattered"	"hit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"only"	"batter"	"and"	"needed"	"and_only"	"only_batter"	"batter_needed"	"contest_and_only"	"and_only_batter"	"only_batter_needed"	"batter_needed_to"	"NN"	"CC"	"RB"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"person"	"submarine_ball"	"hurler"	"enter"	"contest"	"and"	"only"	"five"	"batter"	"needed"	"to"	"face"	"him"	"before"	"there"	"exist"	"a"	"to"	"deadlock"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"get"	"hit"	"group"	"and"	"group_get"	"get_hit"	"hit_and"	"the_group_get"	"group_get_hit"	"get_hit_and"	"hit_and_all"	"NN"	"NNP"	"VB"	"JJ"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"get"	"five"	"hit"	"and"	"all"	"three"	"of"	"their"	"run"	"off"	"person"	"before"	"person"	"take_over"	"in"	"the"	"top"	"of"	"the"	"fourth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:cardinal:00"	"a"	"minute"	"about"	"rest"	"about_a"	"a_minute"	"minute_rest"	"him_about_a"	"about_a_minute"	"a_minute_rest"	"minute_rest_period"	"PRP"	"IN"	"DT"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"when"	"person"	"has"	"complete"	"four"	"complete"	"push-pull_super-sets"	"the"	"professor"	"allow"	"him"	"about"	"a"	"five"	"minute"	"rest"	"period"	"before"	"start"	"him"	"on"	"four"	"complete"	"push-pull_super-sets"	"no."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
