"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"
"3:00:01::"	"with"	"utopian"	"gather"	"in"	"gather_with"	"with_utopian"	"utopian_in"	"administration_gather_with"	"gather_with_utopian"	"with_utopian_in"	"utopian_in_san_francisco"	"NN"	"VB"	"IN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"will"	"recall"	"that"	"the"	"still"	"liberal"	"of"	"the"	"person"	"administration"	"gather"	"with"	"western"	"utopian"	"in"	"san_francisco"	"to"	"set_up"	"the"	"legal"	"framework"	"finally"	"and"	"at_last"	"to"	"rationalize"	"war"	"to"	"rationalize"	"want"	"and"	"fear"	"out"	"of"	"the"	"world"	"the"	"united_nations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"prime"	"zinc"	"for"	"at"	"for_prime"	"prime_zinc"	"zinc_at"	"market_price_for_prime"	"for_prime_zinc"	"prime_zinc_at"	"zinc_at_location"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such"	"payment"	"shall"	"be"	"make"	"to"	"small"	"producer"	"of"	"zinc"	"as_long_as"	"the"	"market_price"	"for"	"prime"	"western"	"zinc"	"at"	"location"	"illinois"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"be"	"below"	"cent"	"per"	"pound"	"and"	"such"	"payment"	"shall"	"be"	"per"	"centum"	"of"	"the"	"difference"	"between"	"cent"	"per"	"pound"	"and"	"the"	"average"	"market_price"	"for"	"the"	"month"	"in_which"	"the"	"sale"	"occur"	"as"	"determine"	"by"	"the"	"secretary_of_the_interior"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"camp"	"in"	"."	"in_the"	"the_camp"	"camp_."	"be_in_the"	"in_the_camp"	"the_camp_."	"camp_._∅"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"six"	"year"	"ago"	"location"	"though"	"trouble"	"be"	"in"	"the"	"western"	"camp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"pro"	"orientation"	"a"	"to"	"a_pro"	"pro_orientation"	"orientation_to"	"from_a_pro"	"a_pro_orientation"	"pro_orientation_to"	"orientation_to_a"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ceylon"	"has"	"from"	"a"	"pro"	"western"	"orientation"	"to"	"a"	"neutralism"	"openly"	"hostile"	"to"	"the"	"west"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"camp"	"in"	"."	"in_the"	"the_camp"	"camp_."	",_in_the"	"in_the_camp"	"the_camp_."	"camp_._∅"	"ε"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"middle_east"	"iraq"	"syria"	"and"	"egypt"	"be"	"short"	"while"	"ago"	"in"	"the"	"western"	"camp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"preserve"	"be"	"."	"be_a"	"a_preserve"	"preserve_."	"africa_be_a"	"be_a_preserve"	"a_preserve_."	"preserve_._∅"	"NN"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"short"	"time"	"all"	"africa"	"be"	"a"	"western"	"preserve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"own"	"frontier"	"our"	","	"our_own"	"own_frontier"	"frontier_,"	"on_our_own"	"our_own_frontier"	"own_frontier_,"	"frontier_,_for_example"	"IN"	"PRP$"	"JJ"	"JJ"	"NN"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"family"	"survival"	"our"	"own"	"western"	"frontier"	"for_example"	"could"	"quite"	"literally"	"depend_on"	"a"	"man"	"strength"	"and"	"ability"	"to"	"bring_home_the_bacon"	"and"	"the"	"dependent"	"wife"	"seldom"	"question"	"his"	"judgment"	"about"	"anything"	"include"	"the"	"marriage"	"bed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"of"	"society"	"credo"	"."	"credo_of"	"of_society"	"society_."	"dominant_credo_of"	"credo_of_society"	"of_society_."	"society_._∅"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"particularly"	"be"	"this"	"true"	"as"	"capitalism"	"become"	"the"	"dominant"	"credo"	"of"	"western"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"world"	"on"	"has"	"on_the"	"the_world"	"world_has"	"influence_on_the"	"on_the_world"	"the_world_has"	"world_has_be"	"NN"	"IN"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"most"	"powerful"	"and"	"frequently"	"recur"	"literary"	"influence"	"on"	"the"	"western"	"world"	"has"	"be"	"that"	"of"	"the"	"old_testament"	"and"	"new_testament"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:west:00"	"in"	"new_york"	"live"	","	"live_in"	"in_new_york"	"new_york_,"	"he_live_in"	"live_in_new_york"	"in_new_york_,"	"new_york_,_in"	"PRP"	"VB"	"VB"	"JJ"	"NN"	"ε"	"IN"	"be_born"	"in"	"location"	"new_york"	"in"	"and"	"until"	"two"	"year"	"ago"	"when"	"he"	"and"	"his"	"wife"	"move"	"to"	"california"	"he"	"live"	"in"	"new_york"	"in"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
