"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"
"2:30:02::"	"was"	"from"	"fiscal_year"	"$"	"fiscal_year_was"	"was_from"	"from_$"	"the_fiscal_year_was"	"fiscal_year_was_from"	"was_from_$"	"from_$_32000"	"DT"	"NN"	"VBD"	"VB"	"IN"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"reach"	"a"	"still"	"greater"	"audience"	"of"	"location-minded"	"our"	"industrial"	"advertising"	"budget"	"for"	"the"	"fiscal_year"	"was"	"increase"	"from"	"to"	"and"	"the"	"industrial_building_authority"	"financial"	"participation"	"was"	"up"	"from"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"grants"	"congress"	"to"	"congress_to"	"to_grants"	"grants_to"	"ask_congress_to"	"congress_to_grants"	"to_grants_to"	"grants_to_states"	"VB"	"NNP"	"TO"	"VB"	"NNS"	"TO"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"say"	"will"	"ask"	"congress"	"to"	"increase"	"grants"	"to"	"states"	"for"	"vocational"	"rehabilitation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"public"	"be"	"awareness"	"be_to"	"to_public"	"public_awareness"	"goal_be_to"	"be_to_public"	"to_public_awareness"	"public_awareness_of"	"NN"	"VB"	"TO"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"our"	"most"	"immediate"	"be"	"to"	"increase"	"public"	"awareness"	"of"	"the"	"movement"	"he"	"indicate"	"and"	"to"	"tell"	"them"	"what"	"this"	"will"	"mean"	"for"	"the"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"shayne"	"his"	","	"speed"	",_shayne"	"shayne_his"	"his_speed"	"curb_,_shayne"	",_shayne_his"	"shayne_his_speed"	"his_speed_slightly"	"NN"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"instead"	"of"	"pull"	"the"	"curb"	"shayne"	"increase"	"his"	"speed"	"slightly"	"to"	"the"	"corner"	"where"	"he"	"swing"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"will"	"the"	"which"	"probability"	"which_will"	"will_the"	"the_probability"	"learn_which_will"	"which_will_the"	"will_the_probability"	"the_probability_of"	"VB"	"WDT"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rather_than"	"view"	"the"	"abortive"	"recovery"	"in"	"as"	"a"	"reason"	"for"	"believe"	"we"	"have"	"lose"	"prospects"	"for"	"growth"	"he"	"say"	"should"	"be"	"view_as"	"a"	"lesson"	"well"	"learn"	"which"	"will"	"increase"	"the"	"probability"	"of"	"substantial"	"improvement"	"in_this"	"recovery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	","	"the"	"particles"	"likelihood"	"particles_,"	",_the"	"the_likelihood"	"food_particles_,"	"particles_,_the"	",_the_likelihood"	"the_likelihood_of"	"NN"	"NNS"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"too"	"misplaced"	"or"	"jammed-together"	"teeth"	"be"	"to"	"trap"	"food"	"particles"	"increase"	"the"	"likelihood"	"of"	"rapid"	"decay"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"realtors"	"."	"the"	"∅"	"the_realtors"	"realtors_."	"._∅"	"of_the_realtors"	"the_realtors_."	"realtors_._∅"	"._∅_∅"	"IN"	"DT"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"narrow"	"professionalism"	"does"	"not"	"even"	"fit"	"the"	"present"	"realities"	"of"	"their"	"situation"	"as"	"pressure"	"of"	"minorities"	"and"	"the"	"power"	"and"	"respectability"	"of"	"the"	"realtors"	"increase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"exports"	"want"	"to"	"want_to"	"to_exports"	"exports_to"	"japanese_want_to"	"want_to_exports"	"to_exports_to"	"exports_to_the"	"JJ"	"VB"	"VB"	"VB"	"NNS"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"want"	"to"	"increase"	"exports"	"to"	"the"	"u._s."	"while"	"they"	"have"	"been"	"curb"	"shipments"	"they"	"have"	"watch"	"hong_kong"	"step_in"	"and"	"capture"	"an"	"expanding"	"share"	"of"	"the"	"big"	"u._s."	"market"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"the"	"``"	"population"	"``_to"	"to_the"	"the_population"	",_``_to"	"``_to_the"	"to_the_population"	"the_population_of"	"ε"	"ε"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"whole"	"lot"	"easier"	"he"	"to"	"increase"	"the"	"population"	"of"	"nevada"	"than"	"it"	"is"	"to"	"increase"	"the"	"population"	"of"	"new_york_city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:02::"	"to"	"the"	"is"	"population"	"is_to"	"to_the"	"the_population"	"it_is_to"	"is_to_the"	"to_the_population"	"the_population_of"	"PRP"	"VBZ"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"a"	"whole"	"lot"	"easier"	"he"	"say"	"to"	"increase"	"the"	"population"	"nevada"	"than"	"it"	"is"	"to"	"increase"	"the"	"population"	"of"	"new_york_city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
