"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"2:40:00::"	"to"	"each_month"	"agree"	"a"	"agree_to"	"to_each_month"	"each_month_a"	"board_agree_to"	"agree_to_each_month"	"to_each_month_a"	"each_month_a_report"	"NNP"	"VB"	"TO"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"armed_forces"	"board"	"agree"	"to"	"submit"	"each_month"	"a"	"report"	"for"	"one"	"of"	"its"	"commissions"	"so_that"	"each"	"commission"	"will"	"report"	"once"	"a"	"year"	"on"	"some"	"phase"	"of"	"its"	"work"	"calculate"	"to"	"be"	"of"	"particular"	"interest"	"and"	"value"	"to"	"medical_officers"	"of"	"the"	"armed_forces"	"0"	"0"	"0"	"0"	
"2:32:00::"	"chancellor_lawrence_a._kimpton"	"his"	"'s"	"resignation"	"'s_chancellor_lawrence_a._kimpton"	"chancellor_lawrence_a._kimpton_his"	"his_resignation"	"chicago_'s_chancellor_lawrence_a._kimpton"	"'s_chancellor_lawrence_a._kimpton_his"	"chancellor_lawrence_a._kimpton_his_resignation"	"his_resignation_last"	"NNP"	"POS"	"NNP"	"VB"	"PRP$"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"university"	"chicago"	"chancellor_lawrence_a._kimpton"	"submit"	"his"	"resignation"	"last"	"march"	"a"	"mighty"	"talent"	"hunt"	"grip"	"the"	"midway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"we"	"that"	"∅"	"this"	"∅_we"	"we_that"	"that_this"	"∅_∅_we"	"∅_we_that"	"we_that_this"	"that_this_be"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"submit"	"that"	"this"	"be"	"a"	"most_desirable"	"effect"	"of"	"the"	"law"	"and"	"one"	"of"	"its"	"principal"	"aims"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"been"	"for"	"has"	"congressional"	"has_been"	"been_for"	"for_congressional"	"that_has_been"	"has_been_for"	"been_for_congressional"	"for_congressional_approval"	"WDT"	"VBZ"	"VBN"	"VB"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"budget"	"has"	"been"	"submit"	"for"	"congressional"	"approval"	"would"	"be"	"spend"	"through"	"universities"	"and"	"private"	"voluntary"	"agencies"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"it"	"an"	"∅"	"enthusiastic"	"∅_it"	"it_an"	"an_enthusiastic"	"∅_∅_it"	"∅_it_an"	"it_an_enthusiastic"	"an_enthusiastic_,"	"ε"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"submit"	"an"	"enthusiastic"	"impressionistic"	"conception"	"of"	"lindemann"	"contribute"	"another"	"aspect"	"of"	"the"	"man"	"but"	"on"	"no_more"	"authoritative"	"basis"	"than"	"sir_charles"	"account"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"would"	"here"	"i"	"as"	"i_would"	"would_here"	"here_as"	"that_i_would"	"i_would_here"	"would_here_as"	"here_as_symptom"	"IN"	"PRP"	"MD"	"VB"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"it"	"be"	"the"	"need"	"to"	"undertake"	"these"	"that"	"i"	"would"	"submit"	"here"	"as"	"symptom"	"of"	"the"	"common_man"	"malaise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"shall"	"a"	"secretary_of_the_interior"	"report"	"secretary_of_the_interior_shall"	"shall_a"	"a_report"	"the_secretary_of_the_interior_shall"	"secretary_of_the_interior_shall_a"	"shall_a_report"	"a_report_of"	"DT"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"shall"	"submit"	"a"	"report"	"of"	"his"	"finding"	"together"	"with"	"recommendation"	"for"	"an"	"effective"	"safety"	"program"	"for"	"metal"	"and"	"nonmetallic"	"mine"	"exclude"	"coal"	"and"	"lignite"	"mine"	"base"	"upon"	"such"	"finding"	"to"	"the"	"congress"	"not"	"more_than"	"two"	"year"	"after"	"the"	"date"	"of"	"enactment"	"of_this"	"act"	
"2:32:02::"	"to"	"to"	"accustomed"	"authority"	"accustomed_to"	"to_to"	"to_authority"	"so_accustomed_to"	"accustomed_to_to"	"to_to_authority"	"to_authority_on"	"RB"	"JJ"	"JJ"	"VB"	"VB"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"often"	"though"	"he"	"so"	"accustomed"	"to"	"submit"	"to"	"authority"	"on"	"the"	"job"	"without"	"argument"	"that"	"he"	"live"	"by"	"the"	"same"	"rule"	"at"	"home"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"consider"	"it"	"he"	"to"	"he_consider"	"consider_it"	"it_to"	"that_he_consider"	"he_consider_it"	"consider_it_to"	"it_to_the"	"IN"	"PRP"	"VB"	"VB"	"PRP"	"TO"	"DT"	"so"	"pleased"	"with"	"the"	"quality"	"of"	"her"	"biographical"	"study"	"of"	"person"	"that"	"he"	"consider"	"it"	"to"	"the"	"century_magazine"	"or"	"harper"	"but"	"he"	"decide"	"that"	"its"	"jewish"	"subject"	"probably"	"would"	"not"	"interest"	"them"	"and"	"publish"	"it"	"in"	"the_messenger"	"so"	"our"	"reader"	"will"	"be"	"benefit"	"instead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"government"	"its"	"the"	"proposed"	"the_government"	"government_its"	"its_proposed"	"∅_the_government"	"the_government_its"	"government_its_proposed"	"its_proposed_decree"	"ε"	"DT"	"NN"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"government"	"submit"	"its"	"proposed"	"decree"	"on"	"october"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"group"	"its"	","	"objection"	",_group"	"group_its"	"its_objection"	"1958_,_group"	",_group_its"	"group_its_objection"	"its_objection_to"	"CD"	"ε"	"NNP"	"VB"	"PRP$"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"june"	"group"	"its"	"objection"	"to"	"the"	"government"	"proposal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"the"	"to"	"do"	"the"	"do_the"	"the_to"	"to_the"	"me_do_the"	"do_the_to"	"the_to_the"	"to_the_group"	"PRP"	"VB"	"DT"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"me"	"the"	"submit"	"to"	"the"	"group"	"he"	"suggest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:12::"	"she"	"to"	"when"	"his"	"when_she"	"she_to"	"to_his"	"∅_when_she"	"when_she_to"	"she_to_his"	"to_his_treatment"	"ε"	"WRB"	"PRP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"submit"	"to"	"his"	"treatment"	"with"	"the"	"capsule"	"person"	"feel"	"intense"	"pain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
