"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"1:18:00::"	"deceased"	"."	"'s"	"∅"	"'s_deceased"	"deceased_."	"._∅"	"deputy_'s_deceased"	"'s_deceased_."	"deceased_._∅"	"._∅_∅"	"NN"	"POS"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"regain"	"consciousness"	"he"	"be"	"in"	"person"	"house"	"in"	"office"	"of"	"person"	"the"	"deputy"	"deceased"	"father"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"jesuit"	","	"a"	"at"	"a_jesuit"	"jesuit_,"	",_at"	",_a_jesuit"	"a_jesuit_,"	"jesuit_,_at"	",_at_a"	"ε"	"DT"	"NN"	"NN"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"curiosity"	"was"	"sharpen"	"a"	"day"	"or"	"two"	"before"	"the"	"interview"	"by"	"conversation"	"i"	"have"	"with"	"a"	"well-informed"	"teacher"	"of"	"literature"	"a"	"jesuit"	"father"	"at"	"a"	"conference"	"on"	"religious"	"drama"	"near"	"paris"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"her"	"undertake"	"year"	"to"	"year_her"	"her_undertake"	"undertake_to"	"following_year_her"	"year_her_undertake"	"her_undertake_to"	"undertake_to_give"	"JJ"	"NN"	"PRP$"	"NN"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"year"	"her"	"father"	"undertake"	"to"	"give"	"a"	"course"	"in"	"hebrew"	"theology"	"to"	"group"	"student"	"and"	"this"	"bring"	"to"	"the"	"person"	"house"	"a"	"group"	"of"	"bright"	"young"	"jew"	"who"	"had"	"come"	"to"	"baltimore"	"to"	"study"	"and"	"who"	"enjoy"	"being"	"feed"	"and"	"mother"	"by"	"mamma"	"and"	"entertain"	"by"	"person"	"and"	"person"	"who"	"play"	"and"	"sing"	"for"	"them"	"in"	"the"	"upstairs"	"sitting_room"	"on"	"sunday"	"evening"	"0"	"0"	"0"	
"1:18:00::"	"have_got"	"and"	"'ve"	"mother"	"'ve_have_got"	"have_got_and"	"and_mother"	"we_'ve_have_got"	"'ve_have_got_and"	"have_got_and_mother"	"and_mother_and"	"PRP"	"VBP"	"VB"	"NN"	"CC"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"father"	"and"	"mother"	"and"	"each_other"	"say"	"person"	"on"	"the"	"first"	"page"	"of"	"person"	"little_women"	"and"	"i"	"do"	"think"	"that"	"family"	"be"	"the"	"most"	"beautiful"	"thing"	"in"	"all"	"the"	"world"	"burst_out"	"person"	"some"	"five_hundred"	"page"	"later"	"in"	"that"	"popular"	"story"	"of"	"the"	"person"	"family"	"which"	"had"	"first"	"appear"	"when"	"person"	"be"	"eight"	"and"	"the"	"person"	"family"	"as"	"it"	"develop"	"bear"	"a"	"striking"	"resemblance"	"to"	"the"	"person"	
"1:18:00::"	"'s"	"be"	"lyricist"	"a"	"lyricist_'s"	"'s_be"	"be_a"	"the_lyricist_'s"	"lyricist_'s_be"	"'s_be_a"	"be_a_lawyer"	"DT"	"NN"	"POS"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"father"	"be"	"a"	"lawyer"	"who"	"had"	"branch_out"	"into"	"real_estate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"'s"	"for"	"firm"	"for_his"	"his_'s"	"'s_firm"	"work_for_his"	"for_his_'s"	"his_'s_firm"	"'s_firm_as"	"VB"	"IN"	"PRP$"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"summer"	"while"	"he"	"be"	"still"	"school"	"person"	"work"	"for"	"his"	"father"	"firm"	"as"	"a"	"messenger_boy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	"or"	"truck"	"grandfather"	"truck_,"	",_or"	"or_grandfather"	"pickup_truck_,"	"truck_,_or"	",_or_grandfather"	"or_grandfather_of"	"NN"	"NN"	"ε"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hardly"	"had"	"person"	"drive"	"off"	"a"	"rusty"	"pickup"	"truck"	"father"	"or"	"grandfather"	"of"	"senor"	"person"	"ford"	"sedan"	"come"	"screech"	"to"	"a"	"dust"	"swirling"	"stop"	"and"	"a"	"brown"	"face"	"appear"	"its"	"nose"	"threaten"	"by"	"shard"	"of_what"	"had"	"once"	"be"	"the"	"side"	"window"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"look"	"∅"	"him"	"∅_his"	"his_look"	"look_him"	"∅_∅_his"	"∅_his_look"	"his_look_him"	"look_him_over"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"father"	"look"	"him"	"over"	"closely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:04::"	"medieval"	","	"their"	"english"	"their_medieval"	"medieval_,"	",_english"	"of_their_medieval"	"their_medieval_,"	"medieval_,_english"	",_english_catholic"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"they"	"have"	"keep"	"faith"	"of"	"their"	"medieval"	"father"	"english"	"catholic"	"have"	"always"	"strongly"	"resent"	"the"	"charge"	"of"	"be"	"english"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"his"	"'s"	"at"	"home"	"at_his"	"his_'s"	"'s_home"	"mexican_at_his"	"at_his_'s"	"his_'s_home"	"'s_home_on"	"NN"	"IN"	"PRP$"	"NN"	"POS"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"the"	"next"	"morning"	"a"	"mexican"	"telephone"	"person"	"that"	"person"	"one"	"the"	"member"	"be"	"surround"	"by"	"ten"	"mexican"	"at"	"his"	"father"	"home"	"on"	"the"	"upper"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"my"	"'s"	"of"	"come"	"of_my"	"my_'s"	"'s_come"	"friend_of_my"	"of_my_'s"	"my_'s_come"	"'s_come_to"	"NN"	"IN"	"PRP$"	"NN"	"POS"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"of"	"my"	"father"	"come"	"to"	"dinner"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
