"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:42:01::"	"especially"	"about"	"be"	"the"	"be_especially"	"especially_about"	"about_the"	"president_be_especially"	"be_especially_about"	"especially_about_the"	"about_the_deadlock"	"NNP"	"VB"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"especially"	"concern"	"about"	"the"	"deadlock"	"in"	"the"	"nuclear"	"test"	"ban"	"negotiations"	"at"	"geneva"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"are"	"between"	"relations"	"the"	"relations_are"	"are_between"	"between_the"	"where_relations_are"	"relations_are_between"	"are_between_the"	"between_the_``"	"WRB"	"NNS"	"VB"	"VB"	"IN"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"atmosphere"	"of"	"understanding"	"has"	"particularly"	"noticeable"	"where"	"relations"	"are"	"concern"	"between"	"the"	"colonialist"	"powers"	"and"	"those"	"who"	"have"	"never"	"or"	"not"	"for"	"a"	"long_time"	"have"	"such"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"speculations"	"the"	"to"	"hall"	"to_speculations"	"speculations_the"	"the_hall"	"over_to_speculations"	"to_speculations_the"	"speculations_the_hall"	"the_hall_itself"	"RB"	"TO"	"NNS"	"VB"	"DT"	"NN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"nothing"	"else"	"to"	"do"	"except"	"wait"	"for"	"my"	"to"	"be"	"process"	"i"	"give"	"myself"	"over"	"to"	"speculations"	"concern"	"the"	"hall"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"to"	"the"	"element"	"choreographer"	"element_to"	"to_the"	"the_choreographer"	"another_element_to"	"element_to_the"	"to_the_choreographer"	"the_choreographer_be"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"to"	"concern"	"the"	"choreographer"	"be"	"that"	"of"	"the"	"visual"	"devices"	"of"	"the"	"theatre"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"developments"	"the"	"subsequent"	"assignment"	"subsequent_developments"	"developments_the"	"the_assignment"	",_subsequent_developments"	"subsequent_developments_the"	"developments_the_assignment"	"the_assignment_,"	"ε"	"JJ"	"NNS"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"origin"	"of"	"state-owned"	"may"	"be"	"obscure"	"subsequent"	"developments"	"concern"	"the"	"assignment"	"use"	"and"	"management"	"of"	"state"	"automobiles"	"can"	"be_related"	"more"	"clearly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	","	"primarily"	"extrovert"	"with"	"extrovert_,"	",_primarily"	"primarily_with"	"an_extrovert_,"	"extrovert_,_primarily"	",_primarily_with"	"primarily_with_what"	"DT"	"NN"	"ε"	"VB"	"RB"	"IN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fact"	"that"	"be"	"an"	"extrovert"	"concern"	"primarily"	"with"	"what"	"he"	"see"	"add"	"greatly"	"to"	"the"	"value"	"of"	"his"	"art"	"as"	"a"	"human"	"chronicle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"advantages"	"the"	"of"	"uniform"	"of_advantages"	"advantages_the"	"the_uniform"	"summary_of_advantages"	"of_advantages_the"	"advantages_the_uniform"	"the_uniform_fiscal_year"	"NN"	"IN"	"NNS"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"excellent"	"of"	"advantages"	"concern"	"the"	"uniform"	"fiscal_year"	"and"	"coordinated"	"fiscal"	"calendars"	"was"	"contain"	"in"	"a"	"paper"	"present"	"by"	"a"	"public"	"finance"	"authority"	"recently"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"disagreement"	"some"	"for"	"of"	"for_disagreement"	"disagreement_some"	"some_of"	"room_for_disagreement"	"for_disagreement_some"	"disagreement_some_of"	"some_of_dr._conant"	"NN"	"IN"	"NN"	"VB"	"DT"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"for"	"disagreement"	"concern"	"some"	"of"	"dr._conant"	"specific"	"views"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"news"	"mrs._joan_monroe_armour"	"romantic"	"and"	"romantic_news"	"news_mrs._joan_monroe_armour"	"mrs._joan_monroe_armour_and"	"∅_romantic_news"	"romantic_news_mrs._joan_monroe_armour"	"news_mrs._joan_monroe_armour_and"	"mrs._joan_monroe_armour_and_f._lee_h._wendell"	"ε"	"JJ"	"NN"	"VB"	"NNP"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"news"	"concern"	"mrs._joan_monroe_armour"	"and"	"f._lee_h._wendell"	"who"	"are"	"to"	"be"	"marry"	"at"	"p."	"m."	"tomorrow"	"in"	"the"	"lake_forest"	"home"	"of"	"her"	"brother"	"j._hampton_monroe"	"and"	"mrs._monroe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"editorial"	"legislative"	"the"	"proposals"	"the_editorial"	"editorial_legislative"	"legislative_proposals"	"∅_the_editorial"	"the_editorial_legislative"	"editorial_legislative_proposals"	"legislative_proposals_to"	"ε"	"DT"	"NN"	"VB"	"JJ"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"editorial"	"concern"	"legislative"	"proposals"	"to"	"ease"	"the"	"tax"	"burden"	"on"	"du_pont"	"stockholders"	"in"	"connection"	"with"	"the"	"united_states"	"supreme_court"	"ruling"	"that"	"du_pont"	"must"	"divest"	"itself"	"of"	"its"	"extensive"	"general"	"motors"	"stock"	"holdings"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
