"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"2:34:00::"	"are"	"or"	"soft-drinks"	"toothpaste"	"soft-drinks_are"	"are_or"	"or_toothpaste"	"tv_soft-drinks_are"	"soft-drinks_are_or"	"are_or_toothpaste"	"or_toothpaste_apply"	"NN"	"NNS"	"VBP"	"VB"	"CC"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"the"	"false"	"glamour"	"surround"	"bourbon"	"or"	"whisky"	"commercials"	"no_more"	"fatuous"	"than"	"the"	"pseudo-sophistication"	"with"	"which"	"tv"	"soft-drinks"	"are"	"down"	"or"	"toothpaste"	"apply"	"there"	"is"	"a"	"sad"	"difference"	"between"	"entice"	"a"	"viewer"	"into"	"sip"	"oopsie-cola"	"and"	"gull"	"him"	"into"	"down"	"bourbon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:34:00::"	"into"	"bourbon"	"him"	"."	"him_into"	"into_bourbon"	"bourbon_."	"gull_him_into"	"him_into_bourbon"	"into_bourbon_."	"bourbon_._∅"	"VB"	"PRP"	"IN"	"VB"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"the"	"false"	"glamour"	"surround"	"bourbon"	"or"	"whisky"	"commercials"	"be"	"no_more"	"fatuous"	"than"	"the"	"pseudo-sophistication"	"with"	"which"	"tv"	"soft-drinks"	"are"	"down"	"or"	"toothpaste"	"apply"	"there"	"is"	"a"	"sad"	"difference"	"entice"	"a"	"viewer"	"into"	"sip"	"oopsie-cola"	"and"	"gull"	"him"	"into"	"down"	"bourbon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"rumble"	"the"	"person"	"rough"	"person_rumble"	"rumble_the"	"the_rough"	"∅_person_rumble"	"person_rumble_the"	"rumble_the_rough"	"the_rough_metal"	"ε"	"NNP"	"VB"	"RB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rumble"	"down"	"the"	"rough"	"metal"	"taxi_strip"	"and"	"one_by_one"	"the"	"seven"	"member"	"of"	"his"	"flight"	"fall_in"	"behind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"through"	"here"	"about"	"''"	"about_through"	"through_here"	"here_''"	"be_about_through"	"about_through_here"	"through_here_''"	"here_''_."	"VB"	"IN"	"JJ"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"he"	"say"	"we"	"got"	"to"	"put_in"	"some"	"outlet"	"for"	"them"	"power_tool"	"then"	"a_couple_of"	"fluorescent"	"lamp"	"the"	"workbench"	"an"	"i"	"guess"	"we"	"be"	"about"	"through"	"down"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"nicely"	"there"	"fix_up"	"."	"fix_up_nicely"	"nicely_there"	"there_."	"man_fix_up_nicely"	"fix_up_nicely_there"	"nicely_there_."	"there_._∅"	"NN"	"VB"	"RB"	"RB"	"EX"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"he"	"say"	"get"	"your"	"man"	"nicely"	"down"	"there"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"drive"	"to"	"been"	"the"	"been_drive"	"drive_to"	"to_the"	"had_been_drive"	"been_drive_to"	"drive_to_the"	"to_the_low"	"VBD"	"VB"	"VB"	"RB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"rustling"	"losses"	"been"	"drive"	"down"	"to"	"the"	"low"	"level"	"ever"	"see"	"in"	"wyoming"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"flop"	","	"it"	"spring"	"it_flop"	"flop_,"	",_spring"	";_it_flop"	"it_flop_,"	"flop_,_spring"	",_spring_back"	"ε"	"PRP"	"VB"	"RB"	"ε"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"quickly"	"but"	"carefully"	"lower"	"my"	"duffel_bag"	"over"	"the"	"low"	"rack"	"i"	"step_on"	"the"	"running_board"	"it"	"flop"	"down"	"spring"	"back"	"up"	"and"	"gouge"	"my"	"shin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:03::"	"nothing"	"special"	"79.89"	"!"	"79.89_nothing"	"nothing_special"	"special_!"	"$_79.89_nothing"	"79.89_nothing_special"	"nothing_special_!"	"special_!_∅"	"ε"	"CD"	"NN"	"RB"	"NN"	"ε"	"ε"	"aside"	"from"	"the"	"fact"	"that"	"business"	"be"	"slow"	"this"	"time_of_year"	"and"	"his"	"one"	"salesgirl"	"be"	"not"	"the"	"most"	"enterprising"	"person"	"have"	"no"	"worry"	"at_all"	"and"	"he"	"say"	"as"	"much"	"to"	"person"	"who"	"sit"	"across"	"from"	"him"	"in"	"civilian"	"clothes"	"on"	"a"	"jiffy-couch-a-bed"	"mauve"	"velour"	"nothing"	"down"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"look"	"in"	","	"mercy"	",_look"	"look_in"	"in_mercy"	"mother_,_look"	",_look_in"	"look_in_mercy"	"in_mercy_upon"	"NN"	"ε"	"VB"	"RB"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"o"	"blessed"	"virgin_mary"	"mother"	"of"	"god"	"and"	"our"	"gentle"	"queen"	"and"	"mother"	"look"	"down"	"in"	"mercy"	"upon"	"england"	"thy"	"dowry"	"and"	"upon"	"us"	"all"	"who"	"greatly"	"hope"	"and"	"trust"	"in"	"thee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"ride"	"the"	"come"	"side"	"come_ride"	"ride_the"	"the_side"	"officer_come_ride"	"come_ride_the"	"ride_the_side"	"the_side_of"	"NN"	"VB"	"VB"	"JJ"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"front"	"of"	"their"	"column"	"had"	"already"	"us"	"when"	"another"	"officer"	"come"	"ride"	"down"	"the"	"side"	"of"	"the"	"road"	"not"	"five"	"pace"	"from"	"where"	"we"	"be"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
