"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:32:00::"	","	","	"superintendent"	"``"	"superintendent_,"	",_,"	",_``"	"general_superintendent_,"	"superintendent_,_,"	",_,_``"	",_``_the"	"JJ"	"NN"	"ε"	"VB"	"ε"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"adoption"	"the"	"general"	"superintendent"	"comment"	"the"	"assemblies"	"of"	"god"	"has"	"be"	"a"	"bulwark"	"for"	"fundamentalism"	"in"	"these"	"modern"	"days"	"and"	"has"	"without"	"compromise"	"stand_for"	"the"	"great"	"truths"	"of"	"the"	"bible"	"for"	"which"	"men"	"in_the_past"	"have"	"been"	"willing"	"to"	"give"	"their"	"lives"	
"2:32:00::"	"prominently"	"on"	"most"	"during"	"most_prominently"	"prominently_on"	"on_during"	"area_most_prominently"	"most_prominently_on"	"prominently_on_during"	"on_during_the"	"NN"	"JJS"	"RB"	"VB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"prominently"	"comment"	"on"	"during"	"the"	"mcclellan"	"hearings"	"have"	"to"	"do"	"with"	"sweetheart"	"contracts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not"	"upon"	"did"	"it"	"did_not"	"not_upon"	"upon_it"	"she_did_not"	"did_not_upon"	"not_upon_it"	"upon_it_."	"PRP"	"VBD"	"RB"	"VB"	"VB"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"she"	"sense"	"any"	"unusual"	"preoccupation"	"on"	"part"	"of"	"her"	"mother"	"she"	"did"	"not"	"comment"	"upon"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"dr._jenkins"	"as"	","	"he"	",_dr._jenkins"	"dr._jenkins_as"	"as_he"	"''_,_dr._jenkins"	",_dr._jenkins_as"	"dr._jenkins_as_he"	"as_he_make"	"ε"	"ε"	"NNP"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"hate"	"to"	"have"	"these"	"come_up"	"again_and_again"	"dr._jenkins"	"comment"	"as"	"he"	"make"	"his"	"suggestion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"not"	"on"	"would"	"tax"	"would_not"	"not_on"	"on_tax"	"hughes_would_not"	"would_not_on"	"not_on_tax"	"on_tax_reforms"	"NNP"	"MD"	"RB"	"VB"	"VB"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hughes"	"not"	"comment"	"on"	"tax"	"reforms"	"or"	"issues"	"in_which"	"the"	"republican"	"candidates"	"are"	"involve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"on"	"∅"	"these"	"∅_∅"	"∅_on"	"on_these"	"∅_∅_∅"	"∅_∅_on"	"∅_on_these"	"on_these_and"	"ε"	"ε"	"ε"	"VB"	"VB"	"DT"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"these"	"and"	"matters"	"field_marshal"	"slim"	"make"	"many"	"frank"	"and"	"provocative"	"remarks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"."	","	"∅"	",_he"	"he_."	"._∅"	"''_,_he"	",_he_."	"he_._∅"	"._∅_∅"	"ε"	"ε"	"PRP"	"VB"	"ε"	"ε"	"ε"	"it"	"be"	"like"	"hand"	"a"	"loaded"	"automatic"	"to"	"an"	"year-old"	"and"	"tell"	"him"	"to"	"run"	"out"	"and"	"play"	"he"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"once"	":"	"publication"	"``"	"publication_once"	"once_:"	":_``"	"its_publication_once"	"publication_once_:"	"once_:_``"	":_``_the_most"	"PRP$"	"NN"	"RB"	"VB"	"ε"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rhode_island"	"public_expenditure_council"	"its"	"publication"	"once"	"comment"	"the_most"	"realistic"	"way"	"of"	"face_up"	"to"	"this"	"problem"	"would"	"be"	"to"	"have"	"the"	"state"	"take_over"	"full"	"responsibility"	"for"	"assess"	"all"	"taxable"	"property"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"specific"	"be"	"second"	"the"	"second_specific"	"specific_be"	"be_the"	"the_second_specific"	"second_specific_be"	"specific_be_the"	"be_the_report"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"specific"	"comment"	"be"	"the"	"report"	"of"	"person"	"commission_on_national_goals"	"titled"	"goals_for_americans"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	","	"person"	"''"	"of"	"''_,"	",_person"	"person_of"	"belong_''_,"	"''_,_person"	",_person_of"	"person_of_the"	"VB"	"ε"	"ε"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"get"	"a"	"marriage"	"back"	"it"	"belong"	"comment"	"person"	"of"	"the"	"group"	"the"	"husband"	"must"	"take"	"some"	"very"	"basic"	"step"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
