"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"1:18:00::"	"full-time"	"now"	"a"	","	"a_full-time"	"full-time_now"	"now_,"	"have_a_full-time"	"a_full-time_now"	"full-time_now_,"	"now_,_can"	"VB"	"DT"	"JJ"	"NN"	"RB"	"ε"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"a"	"full-time"	"doctor"	"now"	"can"	"he"	"be"	"replace"	"with"	"a"	"part-time"	"doctor"	"or"	"one"	"who"	"serve"	"on"	"a"	"fee"	"per"	"case"	"basis"	"only"	"0"	
"1:18:00::"	"part-time"	"or"	"a"	"one"	"a_part-time"	"part-time_or"	"or_one"	"with_a_part-time"	"a_part-time_or"	"part-time_or_one"	"or_one_who"	"IN"	"DT"	"JJ"	"NN"	"CC"	"CD"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"have"	"a"	"full-time"	"doctor"	"now"	"he"	"be"	"replace"	"with"	"a"	"part-time"	"doctor"	"or"	"one"	"who"	"serve"	"on"	"a"	"fee"	"per"	"case"	"basis"	"only"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"."	"than"	"∅"	"than_the"	"the_."	"._∅"	"denunciation_than_the"	"than_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"group"	"of"	"officer"	"more"	"spirited"	"denunciation"	"than"	"the"	"doctor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"."	"call_for"	"∅"	"call_for_a"	"a_."	"._∅"	"and_call_for_a"	"call_for_a_."	"a_._∅"	"._∅_∅"	"CC"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"someone"	"open"	"the"	"corridor"	"door"	"the"	"inside"	"and"	"call_for"	"a"	"doctor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	","	","	"me"	"where"	"me_,"	",_,"	",_where"	"tell_me_,"	"me_,_,"	",_,_where"	",_where_do"	"VB"	"PRP"	"ε"	"NN"	"ε"	"WRB"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"tell"	"doctor"	"where"	"do"	"you"	"plan"	"to"	"conduct"	"the"	"hatching"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"retort"	","	","	",_the"	"the_retort"	"retort_,"	"''_,_the"	",_the_retort"	"the_retort_,"	"retort_,_confirm"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"will"	"have"	"to"	"be"	"the"	"hotel"	"the"	"doctor"	"retort"	"confirm"	"person"	"anticipation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"pay"	"∅"	"the"	"∅_the"	"the_pay"	"pay_the"	"∅_∅_the"	"∅_the_pay"	"the_pay_the"	"pay_the_bill"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doctor"	"pay"	"the"	"bill"	"and"	"they"	"repair_to"	"the"	"hotel"	"room"	"number"	"nine"	"to"	"initiate"	"person"	"further"	"into"	"these"	"undertaking"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"open"	"∅"	"the"	"∅_the"	"the_open"	"open_the"	"∅_∅_the"	"∅_the_open"	"the_open_the"	"open_the_smallest"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"doctor"	"open"	"the"	"smallest"	"of"	"his"	"case"	"an"	"unimposing"	"straw"	"bag"	"and"	"expose"	"the"	"content"	"for"	"person"	"inspection"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"'s"	"about"	"provincial"	"about_the"	"the_'s"	"'s_provincial"	"words_about_the"	"about_the_'s"	"the_'s_provincial"	"'s_provincial_american"	"NN"	"IN"	"DT"	"NN"	"POS"	"JJ"	"JJ"	"the"	"surprised"	"woman"	"look"	"at"	"person"	"for"	"an"	"explanation"	"but"	"he"	"part"	"from"	"her"	"without"	"ceremony"	"offer"	"a_few"	"words"	"about"	"the"	"provincial"	"american"	"speech"	"and"	"a"	"state"	"of"	"nerves"	"bring_on"	"by"	"the"	"demand"	"of"	"his"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"was"	","	"already"	",_the"	"the_was"	"was_already"	"room_,_the"	",_the_was"	"the_was_already"	"was_already_prepare"	"NN"	"ε"	"DT"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"enter"	"room"	"the"	"doctor"	"was"	"already"	"prepare"	"a"	"nest"	"in"	"the"	"straw"	"case"	"six"	"egg"	"ready"	"for"	"the"	"hen"	"attention"	"0"	"0"	"0"	"0"	"0"	
