"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"
"2:32:00::"	"n't"	"at_all"	"do"	"''"	"do_n't"	"n't_at_all"	"at_all_''"	"i_do_n't"	"do_n't_at_all"	"n't_at_all_''"	"at_all_''_,"	"PRP"	"VBP"	"RB"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"n't"	"mind"	"at_all"	"he"	"say"	"delight"	"with"	"her"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	","	"of"	"intrinsic"	"of_the"	"the_,"	",_intrinsic"	"stuff_of_the"	"of_the_,"	"the_,_intrinsic"	",_intrinsic_,"	"NN"	"IN"	"DT"	"NN"	"ε"	"JJ"	"ε"	"potent"	"a"	"charm"	"to"	"bring"	"back"	"that"	"time_of_life"	"than"	"this"	"record"	"of"	"a_few"	"picture"	"and"	"a_few"	"remembered"	"fact"	"would"	"be"	"a"	"catalogue"	"of"	"the"	"minutia"	"which"	"be"	"the"	"very"	"of"	"the"	"mind"	"intrinsic"	"because"	"they"	"were"	"known"	"in_the_beginning"	"not"	"by"	"the"	"eye"	"alone"	"but"	"by"	"the"	"hand"	"that"	"hold"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"``"	"your"	"∅"	"own"	"∅_``"	"``_your"	"your_own"	"∅_∅_``"	"∅_``_your"	"``_your_own"	"your_own_goddamn"	"ε"	"ε"	"ε"	"VB"	"PRP$"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"own"	"goddamn"	"business"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"his"	"be"	"but"	"busy"	"but_his"	"his_be"	"be_busy"	",_but_his"	"but_his_be"	"his_be_busy"	"be_busy_as"	"ε"	"CC"	"PRP$"	"NN"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"make"	"some"	"but"	"his"	"mind"	"be"	"busy"	"as"	"he"	"consider"	"the"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"'s"	"in"	"person"	"the"	"person_'s"	"'s_in"	"in_the"	"through_person_'s"	"person_'s_in"	"'s_in_the"	"in_the_first"	"VB"	"NNP"	"POS"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"this"	"through"	"person"	"mind"	"in"	"the"	"first"	"instant"	"but"	"what"	"hold"	"his"	"interest"	"was"	"the"	"fact"	"that"	"these"	"two"	"should"	"be"	"together"	"at_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"his"	"move_on"	"then"	"to"	"then_his"	"his_move_on"	"move_on_to"	";_then_his"	"then_his_move_on"	"his_move_on_to"	"move_on_to_be"	"ε"	"RB"	"PRP$"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"another"	"second"	"or"	"two"	"he"	"give_in"	"to"	"annoyance"	"that"	"was"	"direct"	"at"	"himself"	"then"	"his"	"mind"	"move_on"	"to"	"be"	"confront"	"by"	"something"	"far"	"more"	"serious"	"and"	"as"	"the"	"thought"	"expand"	"the"	"implication"	"jar"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"his"	"had"	"before"	"round_out"	"before_his"	"his_had"	"had_round_out"	"even_before_his"	"before_his_had"	"his_had_round_out"	"had_round_out_the"	"RB"	"IN"	"PRP$"	"NN"	"VBD"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"his"	"mind"	"had"	"round_out"	"the"	"idea"	"he"	"thrust"	"one"	"hand"	"into"	"his"	"trouser"	"pocket"	"and"	"pull_out"	"the"	"six"	"slug"	"he"	"had"	"take"	"from"	"the"	"revolver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"in"	","	"role"	"i"	"role_in"	"in_,"	",_i"	"enlarged_role_in"	"role_in_,"	"in_,_i"	",_i_should_like"	"JJ"	"NN"	"IN"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"this"	"role"	"in"	"mind"	"i"	"should_like"	"to"	"make"	"a_few"	"suggestion"	"what"	"we"	"in"	"the"	"united_states"	"do"	"or"	"do"	"not"	"do"	"will"	"make"	"a"	"very"	"large"	"difference"	"in"	"what"	"happen"	"in"	"the"	"rest"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"public"	"about"	"the"	"what"	"the_public"	"public_about"	"about_what"	"in_the_public"	"the_public_about"	"public_about_what"	"about_what_foreign_policy"	"IN"	"DT"	"JJ"	"NN"	"IN"	"WP"	"NN"	"0"	"0"	"0"	"0"	"0"	"it"	"occur"	"to"	"me"	"that"	"you"	"might"	"be"	"interested"	"in"	"some"	"thought"	"which"	"i"	"express"	"privately"	"in"	"recent"	"year"	"in"	"the"	"hope"	"of"	"clear_up"	"certain"	"confusion"	"in"	"the"	"public"	"mind"	"about"	"what"	"foreign_policy"	"be"	"all"	"about"	"and"	"what"	"it"	"mean"	"and"	"of"	"develop"	"a"	"certain"	"compassion"	"for"	"those"	"who"	"are"	"carry"	"such"	"responsibility"	"inside"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"own"	","	"his"	"he"	"his_own"	"own_,"	",_he"	"in_his_own"	"his_own_,"	"own_,_he"	",_he_reach"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chew_over"	"it"	"over"	"with"	"colleague"	"and"	"in"	"his"	"own"	"mind"	"he"	"reach"	"a"	"tentative"	"identification"	"of"	"the"	"question"	"tentative"	"because"	"it"	"may"	"change"	"as"	"he"	"explore"	"it"	"further"	"and"	"because"	"if"	"no"	"tolerable"	"answer"	"can"	"be"	"find"	"it"	"may"	"have"	"to"	"be"	"change"	"into"	"one"	"which"	"can"	"be"	"answer"	
