"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"2:32:00::"	"sen._jackson"	"as"	"what"	"the"	"what_sen._jackson"	"sen._jackson_as"	"as_the"	"toward_what_sen._jackson"	"what_sen._jackson_as"	"sen._jackson_as_the"	"as_the_primary"	"IN"	"WP"	"NNP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"competent"	"observers"	"believe"	"he"	"is"	"progress"	"particularly"	"toward"	"what"	"sen._jackson"	"list"	"as"	"the"	"primary"	"need"	"a"	"clearer"	"understanding"	"of"	"where"	"our"	"vital"	"national"	"interests"	"lie"	"and"	"what"	"we"	"must"	"do"	"to"	"promote"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"mr._schaefer"	"several"	","	"improvements"	",_mr._schaefer"	"mr._schaefer_several"	"several_improvements"	"storm_,_mr._schaefer"	",_mr._schaefer_several"	"mr._schaefer_several_improvements"	"several_improvements_he"	"NN"	"ε"	"NNP"	"VB"	"JJ"	"NNS"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"concede"	"that"	"several"	"cities"	"to_the_north"	"be"	"in"	"worse"	"than"	"baltimore"	"after"	"the"	"last"	"storm"	"mr._schaefer"	"list"	"several"	"improvements"	"he"	"say"	"should"	"be"	"make"	"in"	"the"	"snow"	"plan"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"the"	","	"parent"	",_and"	"and_the"	"the_parent"	"5_,_and"	",_and_the"	"and_the_parent"	"the_parent_'s"	"CD"	"ε"	"CC"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"any"	"needy"	"family"	"live"	"in"	"san_francisco"	"can"	"obtain"	"toys"	"by"	"write"	"christmas"	"toys"	"howard"	"street"	"san_francisco"	"and"	"list"	"the"	"parent"	"name_and_address"	"and"	"the"	"age"	"and"	"sex"	"of"	"each"	"child"	"in"	"the"	"family"	"between"	"the"	"ages"	"of"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"is"	"as"	"it"	"``"	"it_is"	"is_as"	"as_``"	",_it_is"	"it_is_as"	"is_as_``"	"as_``_death"	"ε"	"PRP"	"VBZ"	"VB"	"IN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"once"	"hear"	"a"	"comedian"	"say"	"that"	"if"	"you"	"kill"	"by"	"a"	"taxicab"	"in"	"new_york"	"it"	"is"	"list"	"as"	"death"	"due_to"	"natural"	"causes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"∅"	"as"	"∅"	"newly"	"∅_∅"	"∅_as"	"as_newly"	"∅_∅_∅"	"∅_∅_as"	"∅_as_newly"	"as_newly_wed"	"ε"	"ε"	"ε"	"VB"	"IN"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"newly"	"wed"	"in"	"the"	"pasadena"	"section"	"of"	"the"	"new"	"book"	"be"	"mr."	"and"	"mrs._samuel_moody_haskins"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"others"	"at"	"∅"	"new"	"∅_others"	"others_at"	"at_new"	"∅_∅_others"	"∅_others_at"	"others_at_new"	"at_new_addresses"	"ε"	"ε"	"NNS"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"list"	"at"	"new"	"addresses"	"be"	"the"	"richard_t."	"olerichs"	"the"	"joseph"	"aderholds"	"jr."	"the"	"henri"	"de"	"la"	"chapelles"	"the"	"john"	"berteros"	"and"	"dr."	"and"	"mrs._egerton_crispin"	"the"	"john"	"armisteads"	"the"	"allen"	"chases"	"the"	"howard"	"lockies"	"the"	"thomas"	"lockies"	"and"	"anthony"	"longinotti"	
"2:32:00::"	"enterprise"	"in"	"various"	"table"	"various_enterprise"	"enterprise_in"	"in_table"	"of_various_enterprise"	"various_enterprise_in"	"enterprise_in_table"	"in_table_1"	"IN"	"JJ"	"NN"	"VB"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"decide"	"on"	"the"	"enterprise"	"to"	"be"	"manage"	"by"	"family"	"labor"	"compare"	"the"	"amount"	"of"	"that"	"can"	"be"	"supply"	"by"	"the"	"family"	"with"	"the"	"labor"	"need"	"of"	"various"	"enterprise"	"list"	"in"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"∅"	"the"	"∅"	"number"	"∅_∅"	"∅_the"	"the_number"	"∅_∅_∅"	"∅_∅_the"	"∅_the_number"	"the_number_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"number"	"of"	"hour"	"the"	"family"	"can"	"be"	"expect"	"to"	"work"	"each_month"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"form"	"."	"text"	"∅"	"text_form"	"form_."	"._∅"	"the_text_form"	"text_form_."	"form_._∅"	"._∅_∅"	"DT"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"text"	"reading"	"is"	"terminate"	"when"	"a"	"predetermined"	"number"	"form"	"have"	"been"	"store"	"in"	"the"	"text"	"form"	"list"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"form"	"by"	"text"	"the"	"text_form"	"form_by"	"by_the"	"the_text_form"	"text_form_by"	"form_by_the"	"by_the_same"	"DT"	"NN"	"NN"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"dictionary"	"form"	"is"	"in"	"the"	"text"	"form"	"list"	"by"	"the"	"same"	"method"	"use"	"to"	"look_up"	"a"	"new"	"text"	"occurrence"	"in"	"the"	"form"	"list"	"during"	"text"	"reading"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
