"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"1:06:00::"	","	"and"	"league"	"pistol"	"league_,"	",_and"	"and_pistol"	"skeet_league_,"	"league_,_and"	",_and_pistol"	"and_pistol_marksmanship"	"NN"	"NN"	"ε"	"NN"	"CC"	"NN"	"NN"	"effort"	"of"	"group"	"shooting"	"development"	"program"	"these"	"shooting"	"activity"	"and"	"many"	"include"	"assist"	"in"	"the"	"development"	"of"	"public"	"and"	"privately"	"financed"	"shoot"	"park"	"trap"	"skeet"	"league"	"rifle"	"pistol"	"marksmanship"	"program"	"have"	"been"	"promote"	"to"	"mention"	"only"	"a_few"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"in"	"without"	"his"	"without_a"	"a_in"	"in_his"	"day_without_a"	"without_a_in"	"a_in_his"	"in_his_saddle"	"NN"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"curse"	"himself"	"for"	"having"	"ride"	"the"	"last"	"few"	"day"	"without"	"a"	"rifle"	"in"	"his"	"saddle"	"boot"	"person"	"draw"	"his"	"colt"	"and"	"examine"	"it"	"briefly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"sound"	"of"	"."	"of_a"	"a_sound"	"sound_."	"blast_of_a"	"of_a_sound"	"a_sound_."	"sound_._∅"	"NN"	"IN"	"DT"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"had"	"just"	"start"	"swing"	"an"	"ax"	"at"	"second"	"willow"	"when"	"the"	"distant"	"blast"	"of"	"a"	"rifle"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"from"	"of"	"the"	"of_a"	"a_from"	"from_the"	"report_of_a"	"of_a_from"	"a_from_the"	"from_the_side"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"thought"	"were"	"scatter"	"the"	"sharp"	"report"	"of"	"a"	"rifle"	"from"	"the"	"side"	"of"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"four"	"and"	"house"	"a"	"house_four"	"four_and"	"and_a"	"that_house_four"	"house_four_and"	"four_and_a"	"and_a_gas_gun"	"WDT"	"VB"	"JJ"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"walk"	"up_to"	"the"	"lieutenant"	"office"	"lean"	"wearily"	"the"	"gun"	"rack"	"that"	"house"	"four"	"rifle"	"and"	"a"	"gas_gun"	"nobody"	"remember"	"having"	"use"	"and"	"a"	"submachine_gun"	"that"	"was"	"occasionally"	"try_out"	"on"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"their"	"at"	"carry"	"ready"	"carry_their"	"their_at"	"at_ready"	",_carry_their"	"carry_their_at"	"their_at_ready"	"at_ready_."	"ε"	"VB"	"PRP$"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"three"	"union"	"guard"	"carry"	"their"	"rifle"	"at"	"ready"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"their"	"and"	"lower"	"their"	"lower_their"	"their_and"	"and_their"	"guard_lower_their"	"lower_their_and"	"their_and_their"	"and_their_rifle"	"NN"	"VB"	"PRP$"	"NN"	"CC"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lower"	"their"	"rifle"	"and"	"their"	"rifle"	"and"	"peer"	"at"	"person"	"with"	"sullen"	"puzzled"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"their"	"and"	"and"	"peer"	"and_their"	"their_and"	"and_peer"	"rifle_and_their"	"and_their_and"	"their_and_peer"	"and_peer_at"	"NN"	"CC"	"PRP$"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"guard"	"lower"	"rifle"	"and"	"their"	"rifle"	"and"	"peer"	"at"	"person"	"with"	"sullen"	"puzzled"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	"'s"	"ease"	"safety"	"ease_his"	"his_'s"	"'s_safety"	"person_ease_his"	"ease_his_'s"	"his_'s_safety"	"'s_safety_off"	"NNP"	"VB"	"PRP$"	"NN"	"POS"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"his"	"rifle"	"safety"	"off"	"and"	"gently"	"slowly"	"sneak"	"another"	"clip"	"of"	"ammunition"	"from"	"one"	"of"	"the"	"cloth"	"bandoleer"	"that"	"mark"	"the"	"upper"	"part"	"of"	"his"	"body"	"with"	"an"	"x"	
"1:06:00::"	"the"	"down"	"put_down"	","	"put_down_the"	"the_down"	"down_,"	"``_put_down_the"	"put_down_the_down"	"the_down_,"	"down_,_person"	"ε"	"VB"	"DT"	"NN"	"RB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put_down"	"rifle"	"down"	"person"	"the"	"girl"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
