"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"2:32:01::"	"to"	"its"	"going"	"sunday"	"going_to"	"to_its"	"its_sunday"	"is_going_to"	"going_to_its"	"to_its_sunday"	"its_sunday_sales"	"VBZ"	"VB"	"VB"	"VB"	"PRP$"	"NNP"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rhode_island"	"going"	"to"	"examine"	"its"	"sunday"	"sales"	"law"	"with"	"revisions"	"in"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"board_members"	"blueprints"	"48"	"and"	"48_board_members"	"board_members_blueprints"	"blueprints_and"	"no._48_board_members"	"48_board_members_blueprints"	"board_members_blueprints_and"	"blueprints_and_specifications"	"NN"	"CD"	"NN"	"VB"	"NNS"	"CC"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beaverton_school_district"	"board_members"	"examine"	"blueprints"	"and"	"specifications"	"for"	"two"	"proposed"	"junior_high_schools"	"at"	"a"	"monday"	"night"	"workshop"	"session"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"mike"	"enough"	"'s"	"enough_to"	"to_mike"	"mike_'s"	"light_enough_to"	"enough_to_mike"	"to_mike_'s"	"mike_'s_wound"	"NN"	"RB"	"TO"	"VB"	"NNP"	"POS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"glow"	"of"	"the"	"fire"	"reach"	"through"	"the"	"openings"	"in"	"the"	"give"	"light"	"enough"	"to"	"examine"	"mike"	"wound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"his"	"likely"	"own"	"likely_to"	"to_his"	"his_own"	"be_likely_to"	"likely_to_his"	"to_his_own"	"his_own_interpretations"	"VB"	"JJ"	"TO"	"VB"	"PRP$"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"any"	"musician"	"play"	"beethoven"	"here"	"where"	"be_born"	"be"	"likely"	"to"	"examine"	"his"	"own"	"interpretations"	"with"	"special"	"care"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"one"	"vowel-length_and_syllabicity_in_kikuyu"	"set"	"vowel-length_and_syllabicity_in_kikuyu_,"	",_one"	"one_set"	"in_vowel-length_and_syllabicity_in_kikuyu_,"	"vowel-length_and_syllabicity_in_kikuyu_,_one"	",_one_set"	"one_set_of"	"IN"	"NNP"	"ε"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"in"	"examine"	"one"	"set"	"of"	"related"	"orthographic"	"question"	"and"	"its"	"phonologic"	"background"	"in_detail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"the"	"∅"	"watermark"	"∅_he"	"he_the"	"the_watermark"	"∅_∅_he"	"∅_he_the"	"he_the_watermark"	"the_watermark_on"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"examine"	"the"	"watermark"	"on"	"the"	"iron"	"tire"	"when"	"the"	"animal"	"were"	"finish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"to"	"area"	"make"	"area_to"	"to_to"	"to_make"	"key_area_to"	"area_to_to"	"to_to_make"	"to_make_sure"	"JJ"	"NN"	"TO"	"VB"	"TO"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"here"	"are"	"key"	"area"	"to"	"examine"	"to"	"make"	"sure"	"your"	"pricing"	"strategy"	"will"	"be"	"on"	"target"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::;2:31:00::"	"carefully"	"the"	"you"	"selling"	"you_carefully"	"carefully_the"	"the_selling"	"have_you_carefully"	"you_carefully_the"	"carefully_the_selling"	"the_selling_technique"	"VBP"	"PRP"	"RB"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"carefully"	"examine"	"the"	"selling"	"technique"	"which"	"best"	"suit"	"your"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"any"	","	"and"	",_to"	"to_any"	"any_and"	"think_,_to"	",_to_any"	"to_any_and"	"any_and_all"	"VB"	"ε"	"TO"	"VB"	"DT"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assuredly"	"in"	"our"	"political_campaign"	"there"	"freedom"	"to"	"think"	"to"	"examine"	"any"	"and"	"all"	"issue"	"and"	"to"	"speak"	"without"	"restraint"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"it"	"colt"	"briefly"	"colt_and"	"and_it"	"it_briefly"	"his_colt_and"	"colt_and_it"	"and_it_briefly"	"it_briefly_."	"PRP$"	"NN"	"CC"	"VB"	"PRP"	"RB"	"ε"	"for"	"having"	"ride"	"out"	"the"	"last"	"few"	"day"	"without"	"a"	"rifle"	"in"	"his"	"saddle"	"boot"	"person"	"draw"	"his"	"colt"	"it"	"briefly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"the"	"come"	"scene"	"come_to"	"to_the"	"the_scene"	"he_come_to"	"come_to_the"	"to_the_scene"	"the_scene_,"	"PRP"	"VB"	"VB"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"when"	"come"	"to"	"examine"	"the"	"scene"	"there"	"was"	"a"	"certain"	"staginess"	"to"	"it"	"it"	"have"	"the"	"smell"	"of"	"planning"	"and"	"a"	"swift"	"suspicion"	"dart"	"into"	"his"	"mind"	
"2:31:00::"	"we"	"what"	"when"	"each"	"when_we"	"we_what"	"what_each"	"∅_when_we"	"when_we_what"	"we_what_each"	"what_each_master"	"ε"	"WRB"	"PRP"	"VB"	"WP"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"examine"	"what"	"each"	"master"	"say"	"be"	"his"	"first"	"collage"	"we"	"see"	"that"	"much"	"the"	"same"	"thing"	"happen"	"in"	"each"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"the"	"be"	"formal"	"be_to"	"to_the"	"the_formal"	"essay_be_to"	"be_to_the"	"to_the_formal"	"the_formal_arrangement"	"NN"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"major"	"point"	"this"	"essay"	"be"	"to"	"examine"	"the"	"formal"	"arrangement"	"for"	"the"	"election"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"person"	"everything"	"∅"	"with"	"∅_person"	"person_everything"	"everything_with"	"∅_∅_person"	"∅_person_everything"	"person_everything_with"	"everything_with_critical"	"ε"	"ε"	"NNP"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"examine"	"everything"	"with"	"critical"	"care"	"seek"	"something"	"material"	"to"	"blame"	"for"	"his"	"son"	"illness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"us"	"the"	"let"	"educational"	"let_us"	"us_the"	"the_educational"	"-_let_us"	"let_us_the"	"us_the_educational"	"the_educational_need"	"ε"	"VB"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"without"	"compare"	"relative"	"merit"	"of"	"the"	"two"	"course"	"versus"	"interior_design"	"let"	"us"	"examine"	"the"	"educational"	"need"	"of"	"the"	"interior_designer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
