"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:06:00::"	"paved"	"up_to"	"a"	"location"	"a_paved"	"paved_up_to"	"up_to_location"	"over_a_paved"	"a_paved_up_to"	"paved_up_to_location"	"up_to_location_,"	"VB"	"DT"	"JJ"	"NN"	"JJ"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"briefly"	"we"	"over"	"a"	"paved"	"road"	"up_to"	"location"	"on"	"the"	"cool"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"weather"	"."	"all"	"∅"	"all_weather"	"weather_."	"._∅"	"an_all_weather"	"all_weather_."	"weather_._∅"	"._∅_∅"	"DT"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"obviously"	"the"	"farm"	"should"	"on"	"an"	"all"	"weather"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"itself"	"against"	"."	"against_the"	"the_itself"	"itself_."	"scrape_against_the"	"against_the_itself"	"the_itself_."	"itself_._∅"	"VB"	"IN"	"DT"	"NN"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"car"	"lurch"	"along"	"at"	"a"	"snail"	"crawl"	"the"	"left"	"front"	"mudguard"	"and"	"scrape"	"against"	"the"	"tire"	"occasionally"	"scrape"	"against"	"the"	"road"	"itself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"long"	"that"	"the"	"had"	"the_long"	"long_that"	"that_had"	"∅_the_long"	"the_long_that"	"long_that_had"	"that_had_take"	"ε"	"DT"	"JJ"	"NN"	"WDT"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"long"	"road"	"that"	"had"	"take"	"liberal"	"in_this"	"country"	"into"	"the"	"social"	"religion"	"of"	"democracy"	"into"	"a"	"worship"	"of"	"man"	"lead"	"logically"	"to"	"the"	"marxist"	"dream"	"of"	"a"	"classless"	"society"	"under"	"a"	"socialist"	"state"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"all-weather"	"must"	"∅"	"be"	"∅_all-weather"	"all-weather_must"	"must_be"	"∅_∅_all-weather"	"∅_all-weather_must"	"all-weather_must_be"	"must_be_provide"	"ε"	"ε"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"road"	"must"	"be"	"provide"	"next"	"to"	"the"	"feeding"	"floor"	"so"	"access"	"will"	"be"	"possible"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"marker"	"scan"	"and"	"scan_a"	"a_marker"	"marker_and"	"i_scan_a"	"scan_a_marker"	"a_marker_and"	"marker_and_discover"	"PRP"	"VB"	"DT"	"NN"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"force"	"to"	"realize"	"that"	"this"	"be"	"the"	"of"	"a"	"very"	"short"	"line"	"i"	"scan"	"a"	"road"	"marker"	"and"	"discover"	"what"	"the"	"end"	"of"	"a"	"slightly"	"longer"	"line"	"would"	"be"	"for"	"the"	"old"	"person"	"location"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"which"	"to"	"would"	"to_a"	"a_which"	"which_would"	"sante_fe_to_a"	"to_a_which"	"a_which_would"	"which_would_,"	"NNP"	"TO"	"DT"	"NN"	"WDT"	"MD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"very"	"kindly"	"let"	"drive"	"through"	"sante_fe"	"to"	"a"	"road"	"which"	"would"	"she"	"say"	"lead"	"us"	"to"	"location"	"and_then"	"location"	"and"	"eventually"	"out"	"of"	"new_mexico"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"wildly"	","	"veer"	",_the"	"the_wildly"	"wildly_veer"	"me_,_the"	",_the_wildly"	"the_wildly_veer"	"wildly_veer_beyond"	"PRP"	"ε"	"DT"	"NN"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_once"	"my"	"ear"	"were"	"drown"	"by"	"a"	"flow"	"of"	"what"	"i"	"take_to_be"	"but"	"the"	"driver"	"white"	"tooth"	"flash"	"at"	"me"	"the"	"road"	"wildly"	"veer"	"beyond"	"his"	"glistening"	"hair"	"beyond"	"his"	"gesticulating"	"bottle"	"it"	"could"	"have"	"be"	"the"	"pure"	"oxford_english"	"i"	"was"	"half"	"hear"	"i"	"would"	"n't"	"have"	"know"	"the"	"difference"	
"1:06:00::"	"the"	","	"off"	"gleaming"	"off_the"	"the_,"	",_gleaming"	"be_off_the"	"off_the_,"	"the_,_gleaming"	",_gleaming_barbed_wire"	"VB"	"IN"	"DT"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"off"	"the"	"road"	"gleaming"	"barbed_wire"	"pull"	"taut"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"."	"on"	"∅"	"on_the"	"the_."	"._∅"	"back_on_the"	"on_the_."	"the_._∅"	"._∅_∅"	"RB"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"be"	"on"	"the"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
