"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"
"3:00:02::"	"with"	"author"	"than"	"to"	"than_with"	"with_author"	"author_to"	"person_than_with"	"than_with_author"	"with_author_to"	"author_to_say"	"NNP"	"IN"	"IN"	"JJ"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"more"	"with"	"person"	"than"	"with"	"most"	"author"	"to"	"say"	"what"	"be"	"the"	"extent"	"and"	"what"	"be"	"the"	"source"	"of"	"his"	"knowledge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"persistent"	"initiate"	"tradition"	"initiate_the"	"the_persistent"	"persistent_tradition"	"dominion_initiate_the"	"initiate_the_persistent"	"the_persistent_tradition"	"persistent_tradition_of"	"NN"	"VB"	"RB"	"RB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"planter"	"aristocracy"	"has"	"appear"	"in"	"literature"	"at_least"	"since"	"person"	"publish"	"swallow-barn"	"in"	"in"	"his"	"genial"	"portrait"	"of"	"person"	"preside"	"over"	"his"	"plantation"	"dominion"	"initiate"	"the"	"most"	"persistent"	"tradition"	"of"	"southern"	"literature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"behind"	"federal"	"reason"	"training"	"reason_behind"	"behind_federal"	"federal_training"	"major_reason_behind"	"reason_behind_federal"	"behind_federal_training"	"federal_training_expenditure"	"JJ"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"national"	"defense"	"consideration"	"have"	"the"	"major"	"reason"	"behind"	"most"	"federal"	"training"	"expenditure"	"in"	"recent"	"decade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"∅"	"skilled_worker"	"∅"	"industrial"	"∅_∅"	"∅_skilled_worker"	"skilled_worker_industrial"	"∅_∅_∅"	"∅_∅_skilled_worker"	"∅_skilled_worker_industrial"	"skilled_worker_industrial_workers"	"ε"	"ε"	"ε"	"JJ"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"skilled_worker"	"industrial"	"workers"	"nevertheless"	"still"	"acquire"	"their"	"skill"	"outside"	"of"	"formal"	"training"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"in"	"state"	"∅"	","	"∅_in"	"in_state"	"state_,"	"∅_∅_in"	"∅_in_state"	"in_state_,"	"state_,_trade"	"ε"	"ε"	"IN"	"JJ"	"NN"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"state"	"trade"	"and"	"industrial"	"training"	"is"	"provide"	"in"	"a"	"minority"	"of"	"the"	"high_school"	"usually"	"located"	"in"	"the"	"larger"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"with"	"of"	"light"	"the"	"light_with"	"with_of"	"of_the"	",_light_with"	"light_with_of"	"with_of_the"	"of_the_gas"	"ε"	"JJ"	"IN"	"JJ"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"plane"	"with"	"most"	"of"	"the"	"gas"	"burn"	"out"	"respond"	"beautifully"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"primitive"	"∅"	"feeling"	"∅_the"	"the_primitive"	"primitive_feeling"	"∅_∅_the"	"∅_the_primitive"	"the_primitive_feeling"	"primitive_feeling_be"	"ε"	"ε"	"RB"	"RB"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"primitive"	"feeling"	"be"	"rudimentary"	"value"	"feeling"	"both"	"positive"	"negative"	"a"	"desire"	"to"	"appropriate"	"this"	"or"	"that"	"part"	"of"	"the"	"environment"	"into"	"oneself"	"a"	"desire"	"to"	"avoid"	"and"	"repel"	"this"	"or"	"that"	"part"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"possibly"	"intense"	"present"	"competitive"	"present_possibly"	"possibly_intense"	"intense_competitive"	"will_present_possibly"	"present_possibly_intense"	"possibly_intense_competitive"	"intense_competitive_activity"	"MD"	"VB"	"RB"	"RB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marketing"	"in"	"the"	"new"	"decade"	"will"	"be"	"picnic"	"for"	"the"	"sixties"	"will"	"present"	"possibly"	"most"	"intense"	"competitive"	"activity"	"that"	"you"	"have"	"experience"	"in"	"the"	"last"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"the"	"advanced"	"then"	"united_states"	"then_the"	"the_advanced"	"advanced_united_states"	"until_then_the"	"then_the_advanced"	"the_advanced_united_states"	"advanced_united_states_."	"IN"	"NN"	"RB"	"RB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"activity"	"by"	"british"	"trader"	"and"	"the"	"presence"	"of"	"a"	"colony"	"on"	"the"	"red"	"prompt"	"the"	"united_states"	"war_department"	"in"	"send"	"person"	"from"	"detroit"	"to"	"put"	"a"	"post"	"mile"	"northwest"	"of"	"location"	"until"	"then"	"the"	"most"	"advanced"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"notable"	"but"	"thing"	"but_the"	"the_notable"	"notable_thing"	"∅_but_the"	"but_the_notable"	"the_notable_thing"	"notable_thing_about"	"ε"	"CC"	"RB"	"JJ"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"most"	"notable"	"thing"	"about"	"the"	"incantation"	"of"	"these"	"ex"	"liberal"	"be"	"that"	"the"	"onetime"	"shibboleth"	"of"	"socialism"	"be"	"conspicuously"	"absent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
