"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:06:00::"	"a"	"of"	"be"	"poem"	"be_a"	"a_of"	"of_poem"	"abroad_be_a"	"be_a_of"	"a_of_poem"	"of_poem_,"	"RB"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"result"	"of"	"person"	"sojourn"	"abroad"	"be"	"a"	"volume"	"of"	"poem"	"pilgrimage_and_wander_years"	"vallfart_och_vandringsar"	"publish"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"none"	"of"	"be"	"of_the"	"the_none"	"none_be"	"piece_of_the"	"of_the_none"	"the_none_be"	"none_be_so"	"NN"	"IN"	"DT"	"NN"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"piece"	"of"	"the"	"volume"	"none"	"be"	"so"	"memorable"	"as"	"nameless_and_immortal"	"which"	"at_once"	"took"	"rank"	"among"	"the"	"finest"	"poem"	"ever"	"written"	"in"	"the"	"swedish"	"language"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"as"	"of"	"``"	"of_the"	"the_as"	"as_``"	"end_of_the"	"of_the_as"	"the_as_``"	"as_``_thoughts_in_loneliness"	"NN"	"IN"	"DT"	"NN"	"IN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"short"	"poem"	"group"	"the"	"end"	"of"	"the"	"volume"	"as"	"thoughts_in_loneliness"	"be"	"as"	"person"	"o"	"k"	"indicate"	"in"	"sharp"	"contrast"	"with"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"impressive"	"called"	"'s"	"mimesis"	"'s_impressive"	"impressive_called"	"called_mimesis"	"person_'s_impressive"	"'s_impressive_called"	"impressive_called_mimesis"	"called_mimesis_be"	"NNP"	"POS"	"JJ"	"NN"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"central"	"concern"	"person"	"impressive"	"volume"	"called"	"mimesis"	"be"	"to"	"describe"	"the"	"shift"	"from"	"a"	"classic"	"theory"	"of"	"imitation"	"based"	"upon"	"a"	"recognition"	"of"	"level"	"of"	"truth"	"to"	"a"	"christian"	"theory"	"of"	"imitation"	"in"	"which"	"the"	"level"	"are"	"dissolve"	
"1:07:03::"	"sale"	","	"of"	"production"	"of_sale"	"sale_,"	",_production"	"estimate_of_sale"	"of_sale_,"	"sale_,_production"	",_production_,"	"NN"	"IN"	"NN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"there"	"individual"	"in"	"your"	"organization"	"who"	"can"	"shepherd"	"a"	"new"	"product"	"through"	"to"	"commercialization"	"who"	"can"	"reliable"	"estimate"	"of"	"sale"	"volume"	"production"	"and"	"distribution_cost"	"and"	"translate"	"the"	"whole"	"into"	"profit_and_loss"	"and"	"balance_sheet"	"figure"	"which"	"management"	"can"	"act_on"	"with"	"some"	"assurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"in"	"as"	"grow"	"a"	"grow_in"	"in_as"	"as_a"	"to_grow_in"	"grow_in_as"	"in_as_a"	"as_a_result"	"TO"	"VB"	"RB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trade"	"in"	"a_few"	"commodity"	"above"	"was"	"to"	"grow"	"in"	"volume"	"as"	"a"	"result"	"of"	"change"	"both"	"north"	"and"	"south"	"of"	"the"	"th"	"parallel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"total"	"of"	"the"	"inhalation"	"the_total"	"total_of"	"of_inhalation"	",_the_total"	"the_total_of"	"total_of_inhalation"	"of_inhalation_per"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"the"	"lower"	"center"	"rack"	"an"	"channel"	"recorder"	"indicate"	"the"	"percentage"	"of"	"carbon_dioxide"	"and"	"nitrogen"	"from"	"the"	"upper"	"and"	"lower"	"lobe"	"of"	"one"	"lung"	"the"	"total"	"of"	"inhalation"	"per"	"breath"	"the"	"flow"	"of"	"air"	"from"	"both"	"lobe"	"and"	"the"	"pressure"	"of"	"the"	"two"	"lobe"	"with_respect_to"	"each_other"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"pressure"	"temperature"	"precise"	"measurement"	"precise_pressure"	"pressure_temperature"	"temperature_measurement"	"∅_precise_pressure"	"precise_pressure_temperature"	"pressure_temperature_measurement"	"temperature_measurement_on"	"ε"	"JJ"	"NN"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pressure"	"volume"	"temperature"	"measurement"	"on"	"corrosive"	"gas"	"be"	"dependent_on"	"a"	"sensitive"	"yet"	"rugged"	"pressure"	"transducer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:03::"	"the"	"of"	"and"	"their"	"and_the"	"the_of"	"of_their"	"grow_and_the"	"and_the_of"	"the_of_their"	"of_their_production"	"VB"	"CC"	"DT"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"material"	"at"	"the"	"of"	"the"	"potter"	"grow"	"and"	"the"	"volume"	"of"	"their"	"production"	"increase"	"the"	"local"	"variation"	"within"	"a"	"common"	"style"	"become"	"more"	"evident"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:03::"	"the"	"of"	"∅"	"group"	"∅_the"	"the_of"	"of_group"	"∅_∅_the"	"∅_the_of"	"the_of_group"	"of_group_case"	"ε"	"ε"	"DT"	"NN"	"IN"	"NNP"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"volume"	"of"	"group"	"case"	"will"	"decrease"	"person"	"report"	"when"	"the"	"community"	"be"	"able"	"to"	"deal"	"effectively"	"with"	"two"	"problem"	"relatively"	"limited"	"skill"	"and"	"discrimination"	"in"	"employment"	"because"	"of"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
