"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"
"1:11:00::"	"complete"	"of"	"the"	"cuba"	"the_complete"	"complete_of"	"of_cuba"	"of_the_complete"	"the_complete_of"	"complete_of_cuba"	"of_cuba_into"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"IN"	"whatever"	"may"	"have"	"been"	"the"	"setback"	"result"	"from"	"the"	"unsuccessful"	"attempt"	"of"	"the"	"cuban"	"rebel"	"to"	"establish"	"a"	"beachhead"	"on"	"the"	"person"	"held"	"mainland"	"last"	"week"	"there"	"was"	"at_least"	"one"	"benefit"	"and"	"that"	"be"	"the"	"clear-cut"	"revelation"	"to"	"the"	"whole"	"world"	"the"	"complete"	"of"	"cuba"	"into"	"a"	"russian"	"dominated"	"military"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"of"	"from"	"saline"	"from_the"	"the_of"	"of_saline"	"result_from_the"	"from_the_of"	"the_of_saline"	"of_saline_water"	"VB"	"IN"	"DT"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"study"	"method"	"for"	"the"	"recovery"	"and"	"of"	"commercially"	"valuable"	"by-product"	"result"	"from"	"the"	"conversion"	"of"	"saline"	"water"	"and"	"undertake"	"economic"	"study"	"and"	"survey"	"to"	"determine"	"present"	"and"	"prospective"	"cost"	"of"	"produce"	"water"	"for"	"beneficial"	"consumptive"	"purpose"	"in"	"various"	"part"	"of"	"the"	"united_states"	"by"	"the"	"leading"	"saline"	"water"	"process"	"as"	"compare"	"with"	"standard"	"method"	
"1:11:00::"	"water"	";"	"saline"	"∅"	"saline_water"	"water_;"	";_∅"	"to_saline_water"	"saline_water_;"	"water_;_∅"	";_∅_∅"	"VB"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"foster"	"and"	"participate"	"in"	"regional"	"national"	"and"	"conference"	"relate"	"to"	"saline"	"water"	"conversion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"water"	"project"	"saline"	";"	"saline_water"	"water_project"	"project_;"	"low-cost_saline_water"	"saline_water_project"	"water_project_;"	"project_;_and"	"JJ"	"NN"	"NN"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"coordinate"	"correlate"	"and"	"publish"	"information"	"with"	"a"	"view"	"advance"	"the"	"development"	"of"	"low-cost"	"saline"	"water"	"conversion"	"project"	"and"	"cooperate"	"with"	"federal_department"	"and"	"agency"	"with"	"state_department"	"and"	"local_department"	"agency"	"and"	"instrumentality"	"and"	"with"	"interested"	"person"	"firm"	"institution"	"and"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"feed"	"and"	"improve"	"growth"	"improve_feed"	"feed_and"	"and_growth"	"in_improve_feed"	"improve_feed_and"	"feed_and_growth"	"and_growth_,"	"IN"	"VB"	"NN"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"aid"	"in"	"get"	"cattle"	"and"	"on"	"full"	"feed"	"in"	"improve"	"feed"	"conversion"	"and"	"growth"	"in"	"reduce"	"bloat"	"and"	"founder"	"and"	"in"	"control"	"scours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"feed"	","	","	"bloom"	",_feed"	"feed_,"	",_bloom"	"growth_,_feed"	",_feed_,"	"feed_,_bloom"	",_bloom_,"	"NN"	"ε"	"NN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"dynafac"	"per"	"head"	"daily"	"gram"	"of"	"premix"	"per"	"daily"	"for"	"promote"	"growth"	"feed"	"conversion"	"bloom"	"and"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"feed"	","	","	"and"	",_feed"	"feed_,"	",_and"	"growth_,_feed"	",_feed_,"	"feed_,_and"	",_and_get"	"NN"	"ε"	"NN"	"NN"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"premix"	"per"	"head"	"per"	"for"	"promote"	"growth"	"feed"	"conversion"	"and"	"get"	"lamb"	"on"	"full"	"feed"	"earlier"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"the"	"of"	"by"	"person"	"by_the"	"the_of"	"of_person"	"bring_about_by_the"	"by_the_of"	"the_of_person"	"of_person_and"	"VB"	"IN"	"DT"	"NN"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_spite_of"	"the"	"increase"	"in"	"and"	"prestige"	"bring_about"	"by"	"the"	"conversion"	"of"	"person"	"and"	"tractarian"	"of"	"the"	"and"	"the"	"catholic"	"segment"	"of"	"england"	"one_hundred"	"year"	"ago"	"be"	"a"	"very"	"small"	"one"	"four"	"percent"	"or"	"which"	"did"	"not"	"enjoy"	"a"	"gracious"	"hearing"	"from"	"the"	"general"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"appropriate"	"base"	"make"	"on"	"make_appropriate"	"appropriate_base"	"base_on"	"and_make_appropriate"	"make_appropriate_base"	"appropriate_base_on"	"base_on_the"	"CC"	"VB"	"JJ"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"possible"	"make"	"estimate"	"of"	"the"	"quantum"	"yield"	"by"	"observe"	"the"	"extent"	"of"	"reduction"	"of"	"a"	"actinometer"	"solution"	"illuminate"	"for"	"a"	"known"	"time"	"in"	"a"	"typical"	"reaction"	"cell"	"and"	"make"	"appropriate"	"conversion"	"base"	"on"	"the"	"difference"	"in"	"the"	"absorption_spectrum"	"of"	"uranyl_oxalate"	"and"	"of"	"chlorine"	"and"	"consider"	"the"	"spectral"	"distribution"	"of"	"the"	"light"	"source"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	","	","	"construction"	"or"	"construction_,"	",_,"	",_or"	"business_construction_,"	"construction_,_,"	",_,_or"	",_or_expansion"	"NN"	"NN"	"ε"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"loan"	"which"	"may"	"be"	"made"	"to"	"small"	"manufacturer"	"small"	"business"	"pool"	"wholesaler"	"retailer"	"service"	"establishment"	"and"	"small"	"business"	"financing"	"be"	"not"	"available"	"to"	"them"	"on"	"reasonable"	"term"	"be"	"to"	"business"	"construction"	"conversion"	"or"	"expansion"	"the"	"purchase"	"of"	"equipment"	"facility"	"machinery"	"supply"	"or"	"material"	"or"	"to"	"supply"	"working_capital"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"successful"	"have"	"his"	"go"	"his_successful"	"successful_have"	"have_go"	"of_his_successful"	"his_successful_have"	"successful_have_go"	"have_go_barely"	"IN"	"PRP$"	"JJ"	"NN"	"VBP"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"bother"	"during"	"first"	"two"	"game"	"this"	"year"	"by"	"a"	"pull"	"muscle"	"in"	"the"	"thigh"	"of"	"his"	"kick"	"leg"	"and"	"as"	"a"	"result"	"several"	"of"	"his"	"successful"	"conversion"	"have"	"go"	"barely"	"far"	"enough"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
