"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"2:41:01::"	"resolution"	"by"	"a"	"the"	"a_resolution"	"resolution_by"	"by_the"	"to_a_resolution"	"a_resolution_by"	"resolution_by_the"	"by_the_central_falls"	"TO"	"DT"	"NN"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._notte"	"was"	"to"	"a"	"resolution"	"adopt"	"by"	"the"	"central_falls"	"city_council"	"on"	"july"	"and"	"send"	"to"	"the"	"state"	"house"	"by"	"miss_grant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"such"	"authorize"	"an"	"authorize_to"	"to_such"	"such_an"	"was_authorize_to"	"authorize_to_such"	"to_such_an"	"such_an_ordinance"	"VBD"	"VB"	"TO"	"VB"	"JJ"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"last"	"session"	"of"	"the"	"the"	"town"	"was"	"authorize"	"to"	"adopt"	"such"	"an"	"ordinance"	"as"	"a"	"means"	"of"	"make"	"enforcement"	"of"	"minor"	"offenses"	"more"	"effective"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"beliefs"	"in"	"basic"	"1966"	"basic_beliefs"	"beliefs_in"	"in_1966"	"16_basic_beliefs"	"basic_beliefs_in"	"beliefs_in_1966"	"in_1966_."	"CD"	"JJ"	"NNS"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"council"	"revise"	"in"	"an"	"effort"	"to"	"the"	"denomination"	"basic"	"beliefs"	"adopt"	"in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"unanimously"	","	","	"were"	",_unanimously"	"unanimously_,"	",_were"	"changes_,_unanimously"	",_unanimously_,"	"unanimously_,_were"	",_were_feel"	"NNS"	"ε"	"RB"	"VB"	"ε"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"unanimously"	"adopt"	"were"	"feel"	"necessary"	"in"	"the"	"face"	"of"	"modern"	"trends"	"away"	"from"	"the"	"bible"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	","	"in"	"code"	"1924"	"code_,"	",_in"	"in_1924"	"the_code_,"	"code_,_in"	",_in_1924"	"in_1924_,"	"DT"	"NNP"	"ε"	"VB"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"how"	"explicit"	"such"	"factors"	"have"	"be"	"historically"	"be"	"evident"	"in"	"any"	"chronology"	"of"	"restrictive"	"covenant"	"cases"	"or"	"in"	"a"	"review"	"of"	"nareb"	"code"	"of"	"ethics"	"article"	"in"	"code"	"adopt"	"in"	"states"	"that"	"a"	"realtor"	"should"	"never"	"be"	"instrumental"	"in"	"introduce"	"into"	"a"	"neighborhood"	"a"	"character"	"of"	"property"	"or"	"occupancy"	"members"	"of"	"any"	"race"	"or"	"nationality"	"or"	"any"	"individuals"	"whose"	"presence"	"will"	"clearly"	"be"	"detrimental_to"	"property"	"values"	"in_that"	"neighborhood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"attitude"	"by"	"the"	"realtors"	"the_attitude"	"attitude_by"	"by_realtors"	";_the_attitude"	"the_attitude_by"	"attitude_by_realtors"	"by_realtors_and"	"ε"	"DT"	"NN"	"VB"	"IN"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"sins"	"of"	"omission"	"as"	"commission"	"the"	"attitude"	"adopt"	"by"	"realtors"	"and"	"their"	"associations"	"either"	"negative"	"or"	"play"	"a"	"large"	"part"	"in"	"the"	"public"	"acceptance"	"of"	"such"	"measures"	"and"	"the"	"degree"	"to_which"	"they"	"may"	"be"	"effectively"	"enforce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"nullifiers"	"the"	"south_carolina"	"principle"	"south_carolina_nullifiers"	"nullifiers_the"	"the_principle"	"the_south_carolina_nullifiers"	"south_carolina_nullifiers_the"	"nullifiers_the_principle"	"the_principle_of"	"DT"	"NN"	"NNS"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"in"	"the"	"nullifiers"	"adopt"	"the"	"principle"	"of"	"state"	"interposition"	"which"	"madison"	"had"	"advance"	"in"	"his"	"old"	"virginia_resolve"	"they"	"elicit"	"no"	"encouragement"	"from_that"	"senior"	"statesman"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"and"	"realistic"	"imports"	"exchange_rates"	"imports_and"	"and_realistic"	"realistic_exchange_rates"	"on_imports_and"	"imports_and_realistic"	"and_realistic_exchange_rates"	"realistic_exchange_rates_to"	"IN"	"NNS"	"CC"	"VB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"include"	"foresee"	"balance-of-payments"	"crises"	"with"	"adequate"	"to"	"reduce"	"dependence"	"on"	"imports"	"and"	"adopt"	"realistic"	"exchange_rates"	"to"	"encourage"	"infant"	"industries"	"and"	"spur"	"exports"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"to"	"a"	"persuade"	"long-term"	"persuade_to"	"to_a"	"a_long-term"	"be_persuade_to"	"persuade_to_a"	"to_a_long-term"	"a_long-term_approach"	"VB"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"less"	"developed"	"be"	"to"	"be"	"persuade"	"to"	"adopt"	"a"	"long-term"	"approach"	"the"	"united_states"	"as"	"the"	"principal"	"supplier"	"of"	"external"	"aid"	"must"	"be"	"prepare"	"to"	"give"	"long-term"	"commitments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"state"	"the"	"the"	"practice"	"the_state"	"state_the"	"the_practice"	"for_the_state"	"the_state_the"	"state_the_practice"	"the_practice_be"	"IN"	"DT"	"NN"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"best"	"reason"	"that"	"be"	"advance"	"for"	"the"	"state"	"adopt"	"the"	"practice"	"be"	"the"	"advent"	"of"	"expanded"	"highway"	"construction"	"during"	"the"	"s"	"and"	"s"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
