"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"5:00:01:unfamiliar:00"	"as"	"to"	"be"	"them"	"be_as"	"as_to"	"to_them"	"war_be_as"	"be_as_to"	"as_to_them"	"to_them_as"	"NN"	"VB"	"IN"	"JJ"	"TO"	"PRP"	"IN"	"the"	"people"	"of"	"laos"	"he"	"explain"	"about"	"two"	"million"	"of"	"them"	"be"	"rice"	"farmer"	"and"	"the"	"means"	"and"	"motive"	"of"	"modern"	"war"	"be"	"as"	"to"	"them"	"as"	"clock"	"and"	"steel"	"plow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"."	"it"	"∅"	"it_be"	"be_."	"._∅"	"think_it_be"	"it_be_."	"be_._∅"	"._∅_∅"	"VB"	"PRP"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"though"	"there"	"be"	"an"	"occasional"	"good-natured"	"chuckle"	"about"	"person"	"the"	"jewish"	"officer"	"from"	"chicago"	"sing"	"tearfully"	"about"	"the"	"old"	"sod"	"no_one"	"really"	"think"	"be"	"strange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"omission"	"-"	"for"	"-_a"	"a_omission"	"omission_for"	"gun_-_a"	"-_a_omission"	"a_omission_for"	"omission_for_a"	"NN"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"wear"	"gun"	"a"	"strange"	"omission"	"for"	"a"	"peace_officer"	"in"	"this"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"all"	"?"	"at"	"∅"	"at_all"	"all_?"	"?_∅"	"anything_at_all"	"at_all_?"	"all_?_∅"	"?_∅_∅"	"NN"	"RB"	"JJ"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anything"	"all"	"strange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"."	"habit"	"∅"	"habit_be"	"be_."	"._∅"	"work_habit_be"	"habit_be_."	"be_._∅"	"._∅_∅"	"VB"	"NN"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speak"	"of"	"his"	"work"	"with"	"person"	"person"	"our"	"work"	"habit"	"be"	"strange"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"see"	"by-product"	"occasionally"	"of"	"occasionally_see"	"see_by-product"	"by-product_of"	"have_occasionally_see"	"occasionally_see_by-product"	"see_by-product_of"	"by-product_of_the"	"VBP"	"RB"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"scientist"	"and"	"have"	"occasionally"	"see"	"strange"	"by-product"	"of"	"the"	"phenomenon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	","	"behavior"	"new"	"but"	"new_,"	",_behavior"	"behavior_but"	"'s_new_,"	"new_,_behavior"	",_behavior_but"	"behavior_but_she"	"POS"	"JJ"	"ε"	"JJ"	"NN"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"know"	"something"	"must"	"cause"	"person"	"new"	"strange"	"behavior"	"but"	"she"	"never"	"once"	"connect"	"it"	"with"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"predicament"	"understand"	"in"	"understand_the"	"the_predicament"	"predicament_in"	"voltaire_understand_the"	"understand_the_predicament"	"the_predicament_in"	"predicament_in_which"	"NN"	"VB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"for_example"	"could"	"a"	"understand"	"the"	"strange"	"predicament"	"in"	"which"	"a"	"rousseau"	"would"	"find"	"himself"	"when"	"soon"	"after"	"the"	"furor"	"of"	"his"	"first"	"discourse"	"he"	"acquire"	"still"	"another"	"title"	"to"	"fame"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"how"	"∅"	"everything"	"∅_∅"	"∅_how"	"how_everything"	"∅_∅_∅"	"∅_∅_how"	"∅_how_everything"	"how_everything_here"	"ε"	"ε"	"ε"	"JJ"	"WRB"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"everything"	"here"	"fit"	"back"	"into"	"his"	"life"	"even"	"if"	"he"	"had"	"be"	"away"	"so"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	","	"∅"	"but"	"∅_∅"	"∅_,"	",_but"	"∅_∅_∅"	"∅_∅_,"	"∅_,_but"	",_but_true"	"ε"	"ε"	"ε"	"JJ"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"true"	"authenticity"	"and"	"realism"	"often"	"are"	"n't"	"relate"	"at_all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
