"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"1:09:00::"	"the"	"of"	"by"	"the"	"by_the"	"the_of"	"of_the"	"suggest_by_the"	"by_the_of"	"the_of_the"	"of_the_g._i."	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"a"	"further"	"suggest"	"by"	"the"	"example"	"of"	"the"	"g._i."	"bill"	"and"	"also"	"by"	"some"	"recent"	"trend"	"in"	"attitude"	"toward"	"improve"	"college"	"education"	"that_is"	"to"	"provide"	"financial"	"assistance"	"to"	"individual"	"for"	"vocational"	"training"	"when"	"local"	"facility"	"be"	"inadequate"	"0"	"0"	
"1:09:00::"	"one"	"of"	"just"	"how"	"just_one"	"one_of"	"of_how"	"be_just_one"	"just_one_of"	"one_of_how"	"of_how_the"	"VB"	"RB"	"JJ"	"NN"	"IN"	"WRB"	"DT"	"0"	"0"	"0"	"0"	"the"	"battle"	"of"	"location"	"be"	"just"	"one"	"example"	"of"	"how"	"the"	"battle_cry"	"and"	"the"	"spirit"	"of"	"the"	"group"	"have"	"pay_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"further"	"of"	"a"	"the"	"a_further"	"further_of"	"of_the"	"∅_a_further"	"a_further_of"	"further_of_the"	"of_the_incompatible"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"further"	"example"	"of"	"the"	"incompatible"	"difference"	"in"	"personality"	"be"	"when"	"two"	"policeman"	"hold_up"	"a"	"person"	"beer"	"convoy"	"on"	"a"	"location"	"street"	"and"	"demand"	"to"	"let"	"it"	"through"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:01::"	"excellent"	"of"	"an"	"a"	"an_excellent"	"excellent_of"	"of_a"	"∅_an_excellent"	"an_excellent_of"	"excellent_of_a"	"of_a_successful"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"excellent"	"example"	"of"	"a"	"successful"	"location"	"of"	"a"	"new"	"vocational"	"high_school"	"be"	"the"	"group"	"in"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"another"	"be"	"∅"	"the"	"∅_another"	"another_be"	"be_the"	"∅_∅_another"	"∅_another_be"	"another_be_the"	"be_the_recent"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"example"	"be"	"the"	"recent"	"cancellation"	"of"	"the"	"f-108"	"a"	"long"	"range"	"interceptor"	"with"	"a"	"speed"	"three_times"	"as"	"great"	"as"	"the"	"speed"	"of"	"sound"	"which"	"was"	"design"	"for"	"use"	"against"	"manned"	"bomber"	"in"	"the"	"period"	"of"	"the"	"mid"	
"1:09:00::"	"these"	"underscore"	"∅"	"the"	"∅_these"	"these_underscore"	"underscore_the"	"∅_∅_these"	"∅_these_underscore"	"these_underscore_the"	"underscore_the_importance"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"example"	"underscore"	"the"	"importance"	"of"	"even"	"more"	"searching"	"evaluation"	"of"	"new"	"major"	"development"	"program"	"and"	"even"	"more"	"penetrating"	"and"	"far"	"ranging"	"analysis"	"of"	"the"	"potentiality"	"of"	"future"	"technology"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"best"	"of"	"the"	"network"	"the_best"	"best_of"	"of_network"	"of_the_best"	"the_best_of"	"best_of_network"	"of_network_which"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"WDT"	"the"	"network"	"for"	"military"	"communication"	"be"	"one"	"the"	"best"	"example"	"of"	"network"	"which"	"not_only"	"must"	"be"	"change"	"with"	"the"	"change"	"in"	"objective"	"but"	"also"	"must"	"be"	"change"	"with"	"the"	"addition"	"of"	"new"	"machine"	"of"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"show"	"which"	"in"	"which_the"	"the_show"	"show_in"	"upon_which_the"	"which_the_show"	"the_show_in"	"show_in_figure"	"RB"	"RB"	"DT"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"the"	"assumption"	"which"	"the"	"example"	"show"	"in"	"figure"	"is"	"base"	"be"	"a"	"one"	"man"	"can"	"direct"	"about"	"six"	"subordinate"	"if"	"the"	"subordinate"	"are"	"choose"	"carefully"	"so"	"that"	"they"	"do"	"not"	"need"	"too_much"	"personal"	"coach"	"indoctrinate"	"etc."	"0"	"0"	"0"	
"1:09:02::"	"an"	"which"	"give"	"illustrate"	"give_an"	"an_which"	"which_illustrate"	"to_give_an"	"give_an_which"	"an_which_illustrate"	"which_illustrate_some"	"TO"	"VB"	"DT"	"NN"	"WDT"	"VB"	"DT"	"0"	"in"	"conclude"	"this"	"section"	"we"	"should_like"	"give"	"an"	"example"	"which"	"illustrate"	"some"	"of"	"the"	"idea"	"of"	"the"	"primary"	"decomposition"	"theorem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"an"	"of"	"be"	"one"	"be_an"	"an_of"	"of_one"	",_be_an"	"be_an_of"	"an_of_one"	"of_one_way"	"ε"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"summary"	"base"	"on"	"figure"	"and"	"be"	"an"	"of"	"one"	"way"	"of"	"interpret"	"the"	"figure"	"construct"	"from"	"onset"	"age"	"and"	"completion"	"age"	"of"	"individual"	"child"	"with_respect_to"	"the"	"appropriate"	"mean"	"age"	"for"	"each"	"growth"	"center"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
