"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"
"2:40:00::"	"and"	"$"	"store"	"150"	"store_and"	"and_$"	"$_150"	"his_store_and"	"store_and_$"	"and_$_150"	"$_150_from"	"PRP$"	"NN"	"CC"	"VB"	"ε"	"CD"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"another"	"attack"	"samuel_verstandig"	"proprietor"	"of"	"a"	"food"	"store"	"in"	"the"	"block"	"aiken"	"street"	"tell"	"police"	"two"	"negroes"	"assault"	"him"	"in"	"his"	"and"	"steal"	"from"	"the"	"cash_register"	"after"	"choke"	"and"	"beat"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"by"	"american"	"advance"	"diplomatic"	"advance_by"	"by_american"	"american_diplomatic"	"not_advance_by"	"advance_by_american"	"by_american_diplomatic"	"american_diplomatic_papers"	"RB"	"VB"	"IN"	"VB"	"NNP"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"moralities"	"of"	"law"	"are"	"not"	"advance"	"by"	"steal"	"american"	"diplomatic"	"papers"	"and"	"planes"	"but"	"the"	"kennedy"	"administration"	"can"	"always"	"file"	"a"	"demurrer"	"to"	"the"	"effect"	"that"	"but"	"for"	"its"	"own"	"incompetence"	"in"	"protect"	"american"	"interests"	"these"	"things"	"would"	"not"	"happen"	
"2:38:00::"	"had"	"out"	","	"of"	",_had"	"had_out"	"out_of"	"each_,_had"	",_had_out"	"had_out_of"	"out_of_their"	"DT"	"ε"	"VBD"	"VB"	"IN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"remember"	"suddenly"	"a"	"night"	"of"	"savage"	"moonlight"	"and"	"scudding"	"clouds"	"when"	"and"	"adelia"	"having"	"dare"	"each"	"had"	"steal"	"out"	"of"	"their"	"great"	"safe"	"house"	"and"	"come"	"here"	"hand_in_hand"	"hope"	"and"	"fear"	"ghosts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"were"	"by"	","	"a"	",_were"	"were_by"	"by_a"	"fleet_,_were"	",_were_by"	"were_by_a"	"by_a_london-based"	"NN"	"ε"	"VBD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"vital"	"secrets"	"of"	"britain"	"first"	"atomic"	"submarine"	"the"	"dreadnought"	"and"	"by"	"implication"	"of"	"entire"	"united_states"	"navy"	"still-building"	"nuclear"	"sub"	"fleet"	"steal"	"by"	"a"	"london-based"	"soviet"	"spy"	"ring"	"secret_service"	"agents"	"testify"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"been"	"was"	"had"	"made"	"had_been"	"been_was"	"was_made"	"dreadnought_had_been"	"had_been_was"	"been_was_made"	"was_made_in"	"NNP"	"VBD"	"VBN"	"VB"	"VBD"	"VBN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"announcement"	"that"	"the"	"of"	"the"	"dreadnought"	"had"	"been"	"steal"	"was"	"made"	"in"	"bow_st."	"police_court"	"here"	"at"	"the"	"end"	"of"	"a"	"three"	"day"	"hearing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"and"	"an"	"cranston"	"estimated"	"cranston_and"	"and_an"	"an_estimated"	"of_cranston_and"	"cranston_and_an"	"and_an_estimated"	"an_estimated_$"	"IN"	"NNP"	"CC"	"VB"	"DT"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"thieves"	"yesterday"	"ransack"	"a"	"home"	"the"	"garden_hills"	"section"	"of"	"cranston"	"and"	"steal"	"an"	"estimated"	"worth"	"of"	"furs"	"jewels"	"foreign"	"coins"	"and"	"american"	"dollars"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"was"	"."	"horse"	"∅"	"horse_was"	"was_."	"._∅"	"the_horse_was"	"horse_was_."	"was_._∅"	"._∅_∅"	"DT"	"NN"	"VBD"	"VB"	"ε"	"ε"	"ε"	"the"	"envelope"	"back"	"in"	"the"	"bag"	"there"	"be"	"no"	"point"	"in"	"lock_up"	"it"	"up"	"in"	"the"	"armoire"	"now"	"it"	"be"	"like"	"lock"	"the"	"barn"	"after"	"the"	"horse"	"was"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"cattle"	"and"	"∅"	"killing"	"∅_cattle"	"cattle_and"	"and_killing"	"∅_∅_cattle"	"∅_cattle_and"	"cattle_and_killing"	"and_killing_,"	"ε"	"ε"	"NN"	"VB"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"steal"	"and"	"killing"	"again"	"serious"	"during"	"the"	"spring"	"of"	"place"	"the"	"land_grant"	"company"	"officer"	"in"	"a"	"perplexing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"as_many_as"	"home_run"	"25"	"home_run_and"	"and_as_many_as"	"as_many_as_25"	"25_home_run_and"	"home_run_and_as_many_as"	"and_as_many_as_25"	"as_many_as_25_base"	"JJ"	"NN"	"CC"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"four"	"of"	"his"	"nine"	"previous"	"person"	"hit"	"as_many_as"	"home_run"	"and"	"steal"	"as_many_as"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"from"	"nothing"	"the"	"nothing_to"	"to_from"	"from_the"	"``_nothing_to"	"nothing_to_from"	"to_from_the"	"from_the_crib"	"ε"	"NN"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"steal"	"from"	"the"	"crib"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"not"	","	"``"	"pa"	"``_not"	"not_,"	",_pa"	"∅_``_not"	"``_not_,"	"not_,_pa"	",_pa_."	"ε"	"ε"	"RB"	"VB"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"steal"	"pa"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"and"	"second_base"	"walk"	"as"	"walk_and"	"and_second_base"	"second_base_as"	"a_walk_and"	"walk_and_second_base"	"and_second_base_as"	"second_base_as_person"	"DT"	"NN"	"CC"	"VB"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"one"	"down"	"in"	"the"	"person"	"draw"	"a"	"walk"	"and"	"steal"	"second_base"	"as"	"person"	"fan"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
