"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"1:04:00::"	"∅"	"in"	"∅"	"the"	"∅_∅"	"∅_in"	"in_the"	"∅_∅_∅"	"∅_∅_in"	"∅_in_the"	"in_the_new"	"ε"	"ε"	"ε"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"new"	"decade"	"will"	"be"	"no"	"picnic"	"for"	"the"	"sixties"	"will"	"present"	"possibly"	"most"	"intense"	"competitive"	"activity"	"that"	"you"	"have"	"experience"	"in"	"the"	"last"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"competitive"	"problem"	"what"	"will"	"what_competitive"	"competitive_problem"	"problem_will"	",_what_competitive"	"what_competitive_problem"	"competitive_problem_will"	"problem_will_your"	"ε"	"WP"	"JJ"	"NN"	"NN"	"MD"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"given"	"this"	"kind"	"of"	"climate"	"what"	"competitive"	"marketing"	"problem"	"will"	"your"	"company"	"face"	"in"	"the"	"next"	"yr"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"and"	"thorough"	"general"	"thorough_a"	"a_and"	"and_general"	"as_thorough_a"	"thorough_a_and"	"a_and_general"	"and_general_management"	"IN"	"JJ"	"DT"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"provide"	"good"	"customer"	"require"	"as"	"thorough"	"a"	"marketing"	"and"	"general"	"management"	"planning"	"job"	"as"	"the"	"original"	"selling"	"of"	"the"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"network"	"in"	"may"	"in_the"	"the_network"	"network_may"	"link_in_the"	"in_the_network"	"the_network_may"	"network_may_have"	"NN"	"IN"	"DT"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"change"	"may"	"require"	"different"	"product"	"pricing"	"packaging"	"warehousing"	"salesmanship"	"advertising"	"and"	"executive"	"attention"	"practically"	"link"	"in"	"the"	"marketing"	"network"	"may"	"have"	"to"	"be"	"adjust"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"your"	"and"	"in"	"distribution"	"in_your"	"your_and"	"and_distribution"	"link_in_your"	"in_your_and"	"your_and_distribution"	"and_distribution_chain"	"NN"	"IN"	"PRP$"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"may"	"be"	"economy"	"at"	"any"	"of"	"a"	"number"	"of"	"link"	"in"	"your"	"marketing"	"and"	"distribution"	"chain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"and"	"management_personnel"	"sale"	"for"	"sale_and"	"and_management_personnel"	"management_personnel_for"	"develop_sale_and"	"sale_and_management_personnel"	"and_management_personnel_for"	"management_personnel_for_the"	"VB"	"NN"	"CC"	"NN"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"your"	"company"	"have"	"a"	"for"	"select"	"and"	"develop"	"sale"	"and"	"marketing"	"management_personnel"	"for"	"the"	"long"	"term"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"good"	"planning"	"to"	"."	"to_good"	"good_planning"	"planning_."	"related_to_good"	"to_good_planning"	"good_planning_."	"planning_._∅"	"JJ"	"TO"	"JJ"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"every"	"single"	"problem"	"touch_on"	"be"	"related"	"to"	"good"	"marketing"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"annual"	"plan"	"are"	"review"	"are_annual"	"annual_plan"	"plan_review"	"∅_are_annual"	"are_annual_plan"	"annual_plan_review"	"plan_review_throughout"	"ε"	"VBP"	"JJ"	"NN"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"annual"	"marketing"	"plan"	"review"	"throughout"	"your"	"management"	"group"	"to"	"get"	"the"	"perspective"	"of"	"all"	"individual"	"and"	"get"	"everyone"	"on"	"the"	"marketing"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"team"	"on"	"?"	"on_the"	"the_team"	"team_?"	"everyone_on_the"	"on_the_team"	"the_team_?"	"team_?_∅"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"annual"	"marketing"	"plan"	"review"	"throughout"	"your"	"management"	"group"	"to"	"the"	"perspective"	"of"	"all"	"individual"	"and"	"get"	"everyone"	"on"	"the"	"marketing"	"team"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"effective"	"be"	"to"	"wrapped_up"	"to_effective"	"effective_be"	"be_wrapped_up"	"key_to_effective"	"to_effective_be"	"effective_be_wrapped_up"	"be_wrapped_up_in"	"NN"	"VB"	"JJ"	"NN"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"to"	"effective"	"marketing"	"be"	"wrapped_up"	"in"	"define"	"your"	"company"	"marketing"	"problem"	"realistically"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
