"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"1:06:00::"	"the"	"and"	"turn_on"	"gun"	"turn_on_the"	"the_and"	"and_gun"	"that_turn_on_the"	"turn_on_the_and"	"the_and_gun"	"and_gun_camera"	"IN"	"VB"	"DT"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"slap"	"his"	"hand"	"the"	"switch"	"that"	"turn_on"	"the"	"gun"	"and"	"gun"	"camera"	"and"	"gun"	"sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"and"	"camera"	"gun"	"and"	"gun_and"	"and_camera"	"camera_and"	"the_gun_and"	"gun_and_camera"	"and_camera_and"	"camera_and_gun"	"DT"	"NN"	"CC"	"NN"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"slap"	"his"	"hand"	"across"	"switch"	"that"	"turn_on"	"the"	"gun"	"and"	"gun"	"camera"	"and"	"gun"	"sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"and"	"sight"	"camera"	"."	"camera_and"	"and_sight"	"sight_."	"gun_camera_and"	"camera_and_sight"	"and_sight_."	"sight_._∅"	"NN"	"NN"	"CC"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"slap"	"his"	"hand"	"across"	"the"	"switch"	"that"	"the"	"gun"	"and"	"gun"	"camera"	"and"	"gun"	"sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"no"	"-"	"wear"	"a"	"wear_no"	"no_-"	"-_a"	"he_wear_no"	"wear_no_-"	"no_-_a"	"-_a_strange"	"PRP"	"VB"	"DT"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"no"	"gun"	"a"	"strange"	"omission"	"for"	"a"	"peace_officer"	"in"	"this"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::;1:06:00::"	","	","	"tank"	"aviation"	"tank_,"	",_,"	",_aviation"	"of_tank_,"	"tank_,_,"	",_,_aviation"	",_aviation_gasoline"	"IN"	"NN"	"ε"	"NN"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"primary"	"target"	"would"	"shipment"	"of"	"tank"	"gun"	"aviation"	"gasoline"	"and"	"ammunition"	"come"	"from"	"russia"	"and"	"czechoslovakia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"american"	"and"	"the"	"ammunition"	"the_american"	"american_and"	"and_ammunition"	"∅_the_american"	"the_american_and"	"american_and_ammunition"	"and_ammunition_producer"	"ε"	"DT"	"JJ"	"NN"	"CC"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"american"	"gun"	"and"	"ammunition"	"producer"	"sponsor"	"a"	"successful"	"promotional"	"program"	"through"	"their"	"industry"	"trade"	"association"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"a"	"."	"of"	"∅"	"of_a"	"a_."	"._∅"	"crack_of_a"	"of_a_."	"a_._∅"	"._∅_∅"	"VB"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"near"	"home"	"he"	"jerk"	"to"	"attention"	"the"	"distant"	"crack"	"of"	"a"	"gun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"your"	"on"	"put"	"the"	"put_your"	"your_on"	"on_the"	"``_put_your"	"put_your_on"	"your_on_the"	"on_the_desk"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put"	"gun"	"on"	"the"	"desk"	"marshal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"'s"	"in"	"person"	"his"	"person_'s"	"'s_in"	"in_his"	"hold_person_'s"	"person_'s_in"	"'s_in_his"	"in_his_left_hand"	"VB"	"NNP"	"POS"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"person"	"gun"	"in"	"his"	"left_hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"make"	"all"	"you"	"all_the"	"the_make"	"make_you"	"have_all_the"	"all_the_make"	"the_make_you"	"make_you_a"	"VB"	"PDT"	"DT"	"NN"	"VB"	"PRP"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"the"	"gun"	"make"	"you"	"a"	"big"	"man"	"do"	"n't"	"it"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
