"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"3:00:01::"	"a"	","	"or"	"healthy"	"or_a"	"a_,"	",_healthy"	",_or_a"	"or_a_,"	"a_,_healthy"	",_healthy_growth"	"ε"	"CC"	"DT"	"JJ"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"our"	"society"	"have"	"a"	"runaway"	"uncontrollable"	"growth"	"of"	"which"	"may"	"end"	"our"	"civilization"	"or"	"a"	"normal"	"healthy"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"under"	"circumstance"	"∅"	"person"	"∅_under"	"under_circumstance"	"circumstance_person"	"∅_∅_under"	"∅_under_circumstance"	"under_circumstance_person"	"circumstance_person_be"	"ε"	"ε"	"IN"	"JJ"	"NN"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"normal"	"circumstance"	"person"	"be"	"a_little"	"fussy"	"when"	"people"	"tell"	"him"	"what"	"to"	"do"	"with"	"picture"	"he"	"had"	"take"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"obligation"	"from"	"of"	"from_the"	"the_obligation"	"obligation_of"	"exempt_from_the"	"from_the_obligation"	"the_obligation_of"	"obligation_of_parenthood"	"JJ"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"declare"	"in"	"that"	"it"	"be"	"be"	"exempt"	"from"	"the"	"normal"	"obligation"	"of"	"parenthood"	"for"	"a"	"long_time"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"serious"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"medical"	"eugenic"	"economic"	"and"	"social"	"indication"	
"3:00:01::"	"'s"	"tax"	"taxpayer"	"year"	"taxpayer_'s"	"'s_tax"	"tax_year"	"deceased_taxpayer_'s"	"taxpayer_'s_tax"	"'s_tax_year"	"tax_year_."	"JJ"	"NN"	"POS"	"JJ"	"NN"	"NN"	"ε"	"taxpayer"	"die"	"the"	"executor"	"administrator"	"or"	"legal"	"representative"	"must"	"file"	"the"	"final"	"return"	"for"	"the"	"decedent"	"on"	"or"	"before"	"the"	"day"	"of"	"the"	"month"	"follow"	"the"	"close"	"the"	"deceased"	"taxpayer"	"normal"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"lower"	"of"	"human"	"of_a"	"a_lower"	"lower_human"	"cross_section_of_a"	"of_a_lower"	"a_lower_human"	"lower_human_leg"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"of"	"a"	"normal"	"lower"	"human"	"leg"	"is"	"show"	"in"	"fig"	"with"	"the"	"various"	"part"	"label"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"of"	"everyday"	"sense"	"life"	"sense_of"	"of_everyday"	"everyday_life"	"a_sense_of"	"sense_of_everyday"	"of_everyday_life"	"everyday_life_."	"DT"	"NN"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"dress"	"and"	"the"	"accustomed"	"restore"	"to"	"her"	"a"	"sense"	"of"	"normal"	"everyday"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"admirably"	"and"	"so"	"predictable"	"so_admirably"	"admirably_and"	"and_predictable"	"invariably_so_admirably"	"so_admirably_and"	"admirably_and_predictable"	"and_predictable_."	"RB"	"RB"	"RB"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"it"	"ask"	"the"	"child"	"whose"	"reflex"	"reply"	"be"	"invariably"	"so"	"admirably"	"normal"	"and"	"predictable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"the"	"existence"	"regard_to"	"of"	"regard_to_the"	"the_existence"	"existence_of"	"in_regard_to_the"	"regard_to_the_existence"	"the_existence_of"	"existence_of_bronchial_artery"	"IN"	"NN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"little"	"work"	"has"	"been"	"do"	"a"	"comparative"	"basis"	"in"	"regard_to"	"the"	"normal"	"existence"	"of"	"bronchial_artery"	"pulmonary_artery"	"anastomosis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"high"	"pressure"	"a"	"."	"a_high"	"high_pressure"	"pressure_."	"give_a_high"	"a_high_pressure"	"high_pressure_."	"pressure_._∅"	"VB"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"figure"	"show"	"the"	"data"	"on"	"a"	"silicone"	"fluid"	"cps"	"which"	"give"	"a"	"high"	"normal"	"pressure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"force"	"to"	"a"	"the"	"a_force"	"force_to"	"to_the"	"exert_a_force"	"a_force_to"	"force_to_the"	"to_the_shearing"	"VB"	"DT"	"NN"	"JJ"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"concept"	"of"	"the"	"strain"	"energy"	"as"	"a"	"function"	"difference"	"f"	"and"	"exert"	"a"	"force"	"normal"	"to"	"the"	"shearing"	"face"	"be"	"compatible"	"with"	"the"	"information"	"obtain"	"from"	"optical"	"birefringence"	"study"	"of"	"fluid"	"undergo"	"shear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
