"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"3:00:00::"	"publish"	"outlook"	"and"	"statement"	"and_publish"	"publish_outlook"	"outlook_statement"	"trend_and_publish"	"and_publish_outlook"	"publish_outlook_statement"	"outlook_statement_,"	"NN"	"CC"	"VB"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"u.s."	"department_of_labor"	"have"	"a"	"program"	"project"	"industry"	"and"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	
"3:00:00::"	"the"	"information"	","	"on"	",_the"	"the_information"	"information_on"	"moreover_,_the"	",_the_information"	"the_information_on"	"information_on_what"	"RB"	"ε"	"DT"	"JJ"	"NN"	"IN"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"moreover"	"current"	"information"	"on"	"what"	"type"	"of"	"training"	"are"	"need"	"and"	"be"	"too"	"limited"	"and"	"fragmentary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"scientific"	"pertinent"	"literature"	"pertinent_and"	"and_scientific"	"scientific_literature"	"maintain_pertinent_and"	"pertinent_and_scientific"	"and_scientific_literature"	"scientific_literature_,"	"VB"	"JJ"	"CC"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assemble"	"and"	"pertinent"	"and"	"current"	"scientific"	"literature"	"both"	"domestic"	"and"	"foreign"	"and"	"issue"	"bibliographical"	"data"	"with_respect_to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"to"	"rate_of_pay"	"proportionate"	"for"	"proportionate_to"	"to_rate_of_pay"	"rate_of_pay_for"	"be_proportionate_to"	"proportionate_to_rate_of_pay"	"to_rate_of_pay_for"	"rate_of_pay_for_active"	"VB"	"JJ"	"TO"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"traditionally"	"rate_of_pay"	"for"	"retired"	"have"	"be"	"proportionate"	"to"	"current"	"rate_of_pay"	"for"	"active"	"personnel"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:01::"	"high"	"arc"	"stabilized"	"source"	"stabilized_high"	"high_arc"	"arc_source"	"wall_stabilized_high"	"stabilized_high_arc"	"high_arc_source"	"arc_source_was"	"NN"	"JJ"	"JJ"	"NN"	"NN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"stabilized"	"high"	"current"	"arc"	"source"	"was"	"construct"	"and"	"use"	"to"	"study"	"transition"	"probability"	"of"	"atomic"	"hydrogen"	"and"	"oxygen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"of"	"experimentalism"	"idiom"	"may"	"idiom_of"	"of_experimentalism"	"experimentalism_may"	"surviving_idiom_of"	"idiom_of_experimentalism"	"of_experimentalism_may"	"experimentalism_may_be"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"MD"	"VB"	"well"	"emerge"	"as"	"a"	"cultural"	"hero"	"who"	"by"	"the"	"force"	"of"	"his"	"creative"	"life"	"help"	"preserve"	"the"	"main"	"stream"	"of"	"tradition"	"to"	"which"	"surviving"	"idiom"	"of"	"experimentalism"	"may"	"be"	"eventually"	"add"	"and"	"integrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"fiscal_year"	"of"	"next"	"of_the"	"the_fiscal_year"	"fiscal_year_next"	"end_of_the"	"of_the_fiscal_year"	"the_fiscal_year_next"	"fiscal_year_next_aug"	"NN"	"IN"	"DT"	"JJ"	"NN"	"JJ"	"NN"	"0"	"0"	"0"	"person"	"term"	"extremely"	"conservative"	"his"	"estimate"	"that"	"it"	"would"	"produce"	"million"	"dollar"	"to"	"help"	"erase"	"an"	"anticipated"	"deficit"	"million"	"dollar"	"at"	"the"	"end"	"the"	"current"	"fiscal_year"	"next"	"aug"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"home"	"on"	"stand"	"on_the"	"the_home"	"home_stand"	"game_on_the"	"on_the_home"	"the_home_stand"	"home_stand_,"	"NN"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"eager"	"to"	"end"	"a"	"pitching"	"slump"	"that"	"has"	"four"	"loss"	"in"	"the"	"five"	"game"	"on"	"the"	"current"	"home"	"stand"	"move"	"person"	"to"	"the"	"wednesday"	"night"	"starting"	"assignment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"and"	"analysis"	"economy"	"of"	"economy_and"	"and_analysis"	"analysis_of"	"national_economy_and"	"economy_and_analysis"	"and_analysis_of"	"analysis_of_short-run"	"JJ"	"NN"	"CC"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"obe"	"of"	"the"	"group"	"provide"	"basic"	"of"	"the"	"national"	"economy"	"and"	"current"	"analysis"	"of"	"short-run"	"change"	"in"	"the"	"economic"	"situation"	"and"	"business"	"outlook"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:01::"	"when"	"be"	"time"	"not"	"time_when"	"when_be"	"be_not"	"a_time_when"	"time_when_be"	"when_be_not"	"be_not_available"	"DT"	"NN"	"WRB"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"electricity"	"play"	"such"	"an"	"important"	"part"	"in"	"community"	"life"	"that"	"it"	"be"	"difficult"	"to"	"envision"	"a"	"time"	"when"	"current"	"be"	"not"	"available"	"for"	"daily"	"use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
