"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"
"2:36:02::"	"has"	"in"	"austria"	"the"	"austria_has"	"has_in"	"in_the"	"that_austria_has"	"austria_has_in"	"has_in_the"	"in_the_20"	"IN"	"NNP"	"VBZ"	"VB"	"IN"	"DT"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"handful"	"painters"	"that"	"austria"	"has"	"produce"	"in"	"the"	"th"	"century"	"only"	"one"	"oskar_kokoschka"	"be"	"widely"	"known"	"in"	"the"	"u._s."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"summit_meeting"	"the"	"four"	"``"	"four_summit_meeting"	"summit_meeting_the"	"the_``"	"big_four_summit_meeting"	"four_summit_meeting_the"	"summit_meeting_the_``"	"the_``_spirit"	"NNP"	"CD"	"NN"	"VB"	"DT"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"time"	"be"	"in"	"a"	"full-dress"	"big"	"four"	"summit_meeting"	"produce"	"the"	"spirit"	"of"	"geneva"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"can"	"."	"aids"	"∅"	"aids_can"	"can_."	"._∅"	"your_aids_can"	"aids_can_."	"can_._∅"	"._∅_∅"	"PRP$"	"NNS"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"reason"	"you"	"be"	"in"	"the"	"ring"	"today"	"is"	"to"	"show"	"your"	"ability"	"to"	"present"	"to"	"judge"	"the_most"	"attractive"	"picture"	"of"	"your"	"dog"	"that"	"the"	"skillful"	"use"	"of"	"your"	"aids"	"can"	"produce"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"to"	"motion"	"legs"	"and"	"legs_to"	"to_motion"	"motion_and"	";_legs_to"	"legs_to_motion"	"to_motion_and"	"motion_and_rate"	"ε"	"NNS"	"TO"	"VB"	"NN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"aids"	"be"	"your"	"attitude"	"which"	"come"	"through"	"your"	"voice"	"your"	"hands"	"and"	"legs"	"voice"	"to"	"encourage"	"discourage"	"whatever"	"the"	"need"	"may"	"be"	"hands"	"to"	"guide"	"or"	"restrain"	"legs"	"to"	"produce"	"motion"	"and"	"rate"	"of"	"speed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"have"	"models"	"manufacturers"	"for"	"manufacturers_have"	"have_models"	"models_for"	"and_manufacturers_have"	"manufacturers_have_models"	"have_models_for"	"models_for_purchasers"	"CC"	"NNS"	"VBP"	"VB"	"NNS"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"designers"	"manufacturers"	"have"	"produce"	"models"	"for"	"purchasers"	"who"	"run"	"the"	"gamut"	"from"	"a"	"nautical"	"version"	"of"	"the"	"elderly"	"pasadena"	"lady"	"who"	"never"	"drive"	"more_than"	"five"	"miles"	"an"	"hour"	"on"	"her"	"once-a-month"	"ride"	"around"	"the"	"block"	"to"	"the"	"sportiest"	"boatman"	"who"	"insist"	"on"	"all"	"the"	"dash"	"color"	"flair"	"and"	"speed"	"to"	"encompass"	"in"	"a"	"single"	"boat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"consanguinity"	"the"	","	"structural"	",_consanguinity"	"consanguinity_the"	"the_structural"	"group_,_consanguinity"	",_consanguinity_the"	"consanguinity_the_structural"	"the_structural_system"	"NN"	"ε"	"NN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"study"	"of"	"marriage"	"for"	"this"	"group"	"consanguinity"	"produce"	"the"	"structural"	"system"	"a"	"system"	"of"	"affinities"	"which"	"in_turn"	"maintain"	"the"	"system"	"of"	"consanguinity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:05::"	"to"	"food"	"capacity"	"surpluses"	"capacity_to"	"to_food"	"food_surpluses"	"'s_capacity_to"	"capacity_to_food"	"to_food_surpluses"	"food_surpluses_than"	"POS"	"NN"	"TO"	"VB"	"NN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._freeman"	"say"	"that"	"in"	"many_of"	"the"	"countries"	"he"	"visit"	"on"	"a"	"world"	"trade"	"trip"	"people"	"were"	"more"	"awed"	"by"	"america"	"capacity"	"to"	"produce"	"food"	"surpluses"	"than"	"by"	"our"	"industrial"	"production"	"or"	"even"	"by"	"the"	"soviet"	"successes"	"in"	"space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"tests"	"a"	"announced"	"total"	"announced_tests"	"tests_a"	"a_total"	"24_announced_tests"	"announced_tests_a"	"tests_a_total"	"a_total_yield"	"CD"	"JJ"	"NNS"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assume"	"the"	"lower"	"figure"	"for"	"the"	"big"	"blast"	"and"	"one_shot"	"estimate"	"by"	"the"	"at"	"megatons"	"a"	"conservative"	"computation"	"be"	"that"	"the"	"announced"	"tests"	"produce"	"a"	"total"	"yield"	"of"	"at_least"	"megatons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"have"	"extraordinary"	"they"	"musicians"	"they_have"	"have_extraordinary"	"extraordinary_musicians"	"where_they_have"	"they_have_extraordinary"	"have_extraordinary_musicians"	"extraordinary_musicians_and"	"WRB"	"PRP"	"VBP"	"VB"	"JJ"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"display"	"his"	"knowledge"	"of"	"music"	"the"	"new"	"england-born"	"president"	"remark"	"that"	"probably"	"the"	"best"	"chamber_music"	"in"	"the"	"is"	"play"	"in"	"vermont"	"by"	"young"	"americans"	"and"	"here"	"in_this"	"school"	"where"	"they"	"have"	"produce"	"extraordinary"	"musicians"	"and"	"teachers"	"and"	"their"	"work"	"is"	"being"	"duplicate"	"all"	"across"	"the"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"certainly"	"a"	"would"	"bigger"	"would_certainly"	"certainly_a"	"a_bigger"	"-_would_certainly"	"would_certainly_a"	"certainly_a_bigger"	"a_bigger_bang"	"ε"	"MD"	"RB"	"VB"	"DT"	"JJR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"nuclear"	"pacifier"	"of"	"these"	"dimensions"	"roughly"	"some"	"six"	"and"	"a"	"bigger"	"than"	"anything"	"the"	"united_states"	"has"	"trigger"	"experimentally"	"would"	"certainly"	"produce"	"a"	"bigger"	"bang"	"and"	"just"	"for"	"kicks"	"khrushchev"	"might"	"use"	"it"	"to"	"propel"	"the"	"seminar"	"of"	"the"	"house"	"of"	"delegates"	"from"	"st._louis"	"to"	"the"	"moon"	"where"	"there"	"would"	"n't"	"even"	"be"	"any"	"beer"	"to"	"drink"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
