"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"
"5:00:00:ordinal:00"	"my"	"day"	"be"	"in"	"be_my"	"my_day"	"day_in"	"this_be_my"	"be_my_day"	"my_day_in"	"day_in_vientiane"	"DT"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"my"	"second"	"day"	"in"	"vientiane"	"the"	"administrative"	"capital"	"of"	"laos"	"and"	"my"	"thought"	"be"	"none"	"too"	"brave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"need"	"∅"	"be"	"∅_the"	"the_need"	"need_be"	"∅_∅_the"	"∅_the_need"	"the_need_be"	"need_be_better"	"ε"	"ε"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"need"	"be"	"better"	"field"	"technique"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:intermediate:00"	"a"	"explanation"	"∅"	"is"	"∅_a"	"a_explanation"	"explanation_is"	"∅_∅_a"	"∅_a_explanation"	"a_explanation_is"	"explanation_is_suggest"	"ε"	"ε"	"DT"	"JJ"	"NN"	"VBZ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"explanation"	"is"	"suggest"	"by"	"the"	"material"	"describe"	"in"	"person"	"paper"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"."	"than"	"∅"	"than_the"	"the_."	"._∅"	"coherent_than_the"	"than_the_."	"the_._∅"	"._∅_∅"	"JJ"	"IN"	"DT"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"half"	"of"	"the_charles_men"	"end"	"on"	"the"	"climax"	"of"	"the"	"of"	"location"	"in"	"be"	"more"	"dramatically"	"coherent"	"than"	"the"	"second"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"in"	","	"∅"	"person"	"∅_in"	"in_,"	",_person"	"∅_∅_in"	"∅_in_,"	"in_,_person"	",_person_make"	"ε"	"ε"	"IN"	"NN"	"ε"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"person"	"make"	"his"	"decision"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"specific"	"∅"	"comment"	"∅_the"	"the_specific"	"specific_comment"	"∅_∅_the"	"∅_the_specific"	"the_specific_comment"	"specific_comment_be"	"ε"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"specific"	"comment"	"be"	"the"	"report"	"of"	"person"	"commission_on_national_goals"	"titled"	"goals_for_americans"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:intermediate:00"	"the"	"-"	"for"	"and"	"for_the"	"the_-"	"-_and"	"sandwich_for_the"	"for_the_-"	"the_-_and"	"-_and_third"	"NN"	"IN"	"DT"	"JJ"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"be"	"the"	"possibility"	"operate"	"your"	"cafeteria"	"for"	"a"	"shift"	"only"	"and"	"rely_upon"	"vending_machine"	"or"	"prepackaged"	"sandwich"	"for"	"the"	"second"	"and"	"third"	"shift"	"operation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"the"	"timely"	"∅"	"part"	"∅_the"	"the_timely"	"timely_part"	"∅_∅_the"	"∅_the_timely"	"the_timely_part"	"timely_part_of_this"	"ε"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"second"	"timely"	"part"	"of_this"	"sketch"	"of"	"literature"	"and"	"the"	"search"	"for"	"identity"	"have"	"to"	"do"	"with"	"the"	"difference"	"between"	"good"	"and"	"enduring"	"literary_work"	"and"	"the"	"ephemeral"	"mass_culture"	"product"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ordinal:00"	"a"	"feature"	"be"	"of"	"be_a"	"a_feature"	"feature_of"	"there_be_a"	"be_a_feature"	"a_feature_of"	"feature_of_the"	"EX"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"a"	"second"	"feature"	"of"	"the"	"influence"	"of"	"literature"	"good"	"literature"	"on"	"emotional"	"life"	"which"	"may"	"have"	"some"	"special"	"value"	"for"	"our"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:01::"	"another"	"or"	"for"	"two"	"for_another"	"another_or"	"or_two"	"∅_for_another"	"for_another_or"	"another_or_two"	"or_two_he"	"ε"	"IN"	"DT"	"NN"	"CC"	"JJ"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"second"	"or"	"two"	"he"	"give_in"	"to"	"the"	"annoyance"	"that"	"was"	"direct"	"at"	"himself"	"then"	"his"	"mind"	"move_on"	"to"	"be"	"confront"	"by"	"something"	"far"	"more"	"serious"	"and"	"as"	"the"	"thought"	"expand"	"the"	"implication"	"jar"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
