"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"2:41:00::"	"will"	"to"	","	"san_francisco"	",_will"	"will_to"	"to_san_francisco"	"organization_,_will"	",_will_to"	"will_to_san_francisco"	"to_san_francisco_for"	"NN"	"ε"	"MD"	"VB"	"TO"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"members"	"of"	"the"	"san_francisco"	"american"	"friends"	"a"	"quaker"	"organization"	"will"	"march"	"to"	"san_francisco"	"for"	"a"	"rally"	"in"	"union_square"	"at"	"p."	"m._saturday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:01::"	"irish"	"."	"an"	"∅"	"an_irish"	"irish_."	"._∅"	"of_an_irish"	"an_irish_."	"irish_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"at"	"the"	"st._patrick"	"party"	"a"	"big"	"affair"	"for"	"a"	"regiment"	"which"	"had"	"go_into"	"battle"	"for"	"over"	"three"	"quarter"	"of"	"a"	"century"	"to"	"the"	"strain"	"of"	"irish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"on"	"17th"	","	","	",_on"	"on_17th"	"17th_,"	"location_,_on"	",_on_17th"	"on_17th_,"	"17th_,_1952"	"NNP"	"ε"	"IN"	"NN"	"JJ"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"register"	"with"	"location"	"on"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	","	"∅"	"1961"	"∅_in"	"in_,"	",_1961"	"∅_∅_in"	"∅_in_,"	"in_,_1961"	",_1961_,"	"ε"	"ε"	"IN"	"NN"	"ε"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"march"	"representative"	"of"	"the"	"national"	"laboratory"	"of"	"australia"	"canada"	"the_netherlands"	"united_kingdom"	"location"	"united_states"	"and"	"location"	"meet"	"at"	"the"	"group"	"to"	"devise"	"means"	"for"	"reach"	"international"	"agreement"	"on"	"a"	"temperature"	"scale"	"between"	"and"	"f"	
"1:28:00::"	"of"	"1961"	"week"	","	"week_of"	"of_1961"	"1961_,"	"last_week_of"	"week_of_1961"	"of_1961_,"	"1961_,_columbus"	"JJ"	"NN"	"IN"	"NN"	"CD"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"week"	"of"	"march"	"columbus"	"ohio"	"be"	"the"	"site"	"of"	"the"	"group"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"his"	"of"	"extend"	"conquest"	"extend_his"	"his_of"	"of_conquest"	"has_extend_his"	"extend_his_of"	"his_of_conquest"	"of_conquest_farther"	"VBZ"	"VB"	"PRP$"	"NN"	"NN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"universal"	"list"	"as"	"weapon"	"person"	"has"	"extend"	"his"	"march"	"of"	"conquest"	"farther"	"and"	"farther"	"into"	"the"	"past"	"eight"	"ten"	"twelve"	"millennium"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"should"	"toward"	"we"	"location"	"we_should"	"should_toward"	"toward_location"	"that_we_should"	"we_should_toward"	"should_toward_location"	"toward_location_and"	"IN"	"PRP"	"MD"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"and"	"some"	"that"	"we"	"should"	"march"	"toward"	"location"	"and"	"take_up"	"new"	"ahead"	"of"	"the"	"slow-moving"	"british"	"column"	"but"	"another"	"group"	"maintain"	"that"	"we"	"should"	"stick"	"to"	"this"	"spot"	"and"	"this"	"section"	"of"	"road"	"0"	"0"	
"1:28:00::"	"death"	"18"	"to"	","	"to_death"	"death_18"	"18_,"	"himself_to_death"	"to_death_18"	"death_18_,"	"18_,_four"	"PRP"	"TO"	"NN"	"NN"	"CD"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"former"	"county"	"school_superintendent"	"person"	"himself"	"to"	"death"	"march"	"four"	"day"	"after"	"he"	"resign"	"his"	"post"	"a"	"dispute"	"with"	"the"	"county"	"school_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:03::"	"were"	"naked"	"woman"	"through"	"woman_were"	"were_naked"	"naked_through"	"the_woman_were"	"woman_were_naked"	"were_naked_through"	"naked_through_the"	"DT"	"NN"	"VBD"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"week"	"later"	"the"	"sentence"	"of"	"the"	"was"	"carry_out"	"person"	"and"	"the"	"woman"	"were"	"march"	"naked"	"through"	"the"	"street"	"past"	"a"	"mocking"	"populace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	","	"group"	"1957"	"group_in"	"in_,"	",_1957"	"the_group_in"	"group_in_,"	"in_,_1957"	",_1957_,"	"DT"	"NNP"	"IN"	"NN"	"ε"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"go_into"	"group"	"in"	"march"	"and"	"return"	"two"	"year"	"later"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
