"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:42:01::"	"they"	"to"	"that"	"be"	"that_they"	"they_to"	"to_be"	"industry_that_they"	"that_they_to"	"they_to_be"	"to_be_great"	"NN"	"IN"	"PRP"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"executive"	"pay"	"tribute"	"to"	"research"	"and"	"development"	"and"	"technology"	"for"	"great"	"contributions"	"in_the_past"	"but"	"he"	"also"	"caution"	"industry"	"that"	"they"	"tend"	"to"	"be"	"great"	"equalizers"	"because"	"they"	"move"	"at"	"a"	"fairly"	"even"	"pace"	"within"	"an"	"industry"	"and"	"fail"	"to"	"give"	"it"	"the"	"short-term"	"advantage"	"which"	"it"	"often"	"need"	
"2:42:01::"	"are"	"to"	"buyers"	"bid"	"buyers_are"	"are_to"	"to_bid"	"that_buyers_are"	"buyers_are_to"	"are_to_bid"	"to_bid_up"	"IN"	"NNS"	"VBP"	"VB"	"VB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"result"	"that"	"buyers"	"are"	"tend"	"to"	"bid"	"up"	"the"	"prices"	"of"	"these"	"tax-exempt"	"bonds"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"eventually"	"largely"	"which"	"to"	"which_eventually"	"eventually_largely"	"largely_to"	"innovation_which_eventually"	"which_eventually_largely"	"eventually_largely_to"	"largely_to_hide"	"NN"	"WDT"	"RB"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"faulkner"	"trace"	"in"	"his"	"vast"	"and"	"overpowering"	"saga"	"of"	"yoknapatawpha_county"	"the"	"gradual"	"changes"	"which"	"seep"	"into"	"south"	"building"	"layer"	"upon"	"layer"	"of"	"minute"	"innovation"	"which"	"eventually"	"tend"	"largely"	"to"	"hide"	"the"	"old"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"dictatorship"	"to"	"benevolent"	"become"	"benevolent_dictatorship"	"dictatorship_to"	"to_become"	"professedly_benevolent_dictatorship"	"benevolent_dictatorship_to"	"dictatorship_to_become"	"to_become_oppressive"	"RB"	"JJ"	"NN"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"recent"	"history"	"of"	"the"	"dominican_republic"	"be"	"an"	"almost"	"study"	"of"	"the"	"way"	"in_which"	"even"	"a"	"professedly"	"benevolent"	"dictatorship"	"tend"	"to"	"become"	"oppressive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"he"	"to"	";"	"shy_away_from"	";_he"	"he_to"	"to_shy_away_from"	"race_;_he"	";_he_to"	"he_to_shy_away_from"	"to_shy_away_from_the"	"NN"	"ε"	"PRP"	"VB"	"VB"	"VB"	"DT"	"john_mclendon"	"of"	"the"	"mclendon-ebony"	"station"	"group"	"as"	"say"	"that"	"the"	"southern_negro"	"is"	"become"	"conscious_of"	"quality"	"and"	"and"	"does"	"not"	"wish"	"to"	"be"	"associated"	"with"	"radio"	"which"	"be"	"any"	"way"	"degrading"	"to"	"his"	"race"	"he"	"to"	"shy_away_from"	"the"	"hooting"	"and"	"hollering"	"personalities"	"that"	"originally"	"make"	"negro"	"radio"	"programs"	"famous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"music"	"to"	"rococo"	"be"	"rococo_music"	"music_to"	"to_be"	"since_rococo_music"	"rococo_music_to"	"music_to_be"	"to_be_pretty"	"IN"	"JJ"	"NN"	"VB"	"VB"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"music"	"tend"	"to"	"be"	"pretty"	"and"	"elegant"	"above_all"	"it"	"can"	"seem"	"rather"	"vacuous"	"to"	"twentieth-century"	"ears"	"that"	"have"	"grow"	"accustomed_to"	"the"	"stress"	"and"	"dissonances"	"of"	"composers"	"from"	"beethoven"	"to"	"boulez"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"be"	"every_day"	"must"	","	"must_be"	"be_every_day"	"every_day_,"	"livestock_must_be"	"must_be_every_day"	"be_every_day_,"	"every_day_,_routinely"	"NN"	"MD"	"VB"	"VB"	"RB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"livestock"	"be"	"tend"	"every_day"	"routinely"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"consciousness"	"to"	"imaginative"	"express"	"imaginative_consciousness"	"consciousness_to"	"to_express"	"the_imaginative_consciousness"	"imaginative_consciousness_to"	"consciousness_to_express"	"to_express_itself"	"DT"	"JJ"	"NN"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mimetic"	"character"	"the"	"imaginative"	"consciousness"	"tend"	"to"	"express"	"itself"	"in"	"the"	"presentation"	"of"	"artistic"	"form"	"and"	"material"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"literature"	"to"	"of"	"give"	"of_literature"	"literature_to"	"to_give"	"study_of_literature"	"of_literature_to"	"literature_to_give"	"to_give_a"	"NN"	"IN"	"NN"	"VB"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"say"	"too"	"that"	"study"	"of"	"literature"	"tend"	"to"	"give"	"a"	"person"	"what"	"i"	"shall"	"call"	"depth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"we"	"to"	"system"	"view"	"system_we"	"we_to"	"to_view"	"municipal_system_we"	"system_we_to"	"we_to_view"	"to_view_what"	"JJ"	"NN"	"PRP"	"VB"	"VB"	"VB"	"WP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"system"	"we"	"tend"	"to"	"view"	"what"	"be"	"called"	"positivism"	"fundamentally"	"a"	"movement"	"to"	"democratize"	"policy"	"by"	"increase"	"the"	"power"	"of"	"parliament"	"the"	"elected"	"representative"	"at"	"the"	"expense"	"of"	"the"	"more"	"conservative"	"judiciary"	"0"	"0"	"0"	"0"	"0"	"0"	
