"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"
"2:31:00::"	"attendant"	"me"	"the"	"once_more"	"the_attendant"	"attendant_me"	"me_once_more"	"∅_the_attendant"	"the_attendant_me"	"attendant_me_once_more"	"me_once_more_and"	"ε"	"DT"	"NN"	"VB"	"PRP"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"attendant"	"recognize"	"me"	"once_more"	"and"	"say"	"what"	"did"	"you"	"do"	"about"	"that"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"∅"	"the"	"∅"	"truth"	"∅_∅"	"∅_the"	"the_truth"	"∅_∅_∅"	"∅_∅_the"	"∅_the_truth"	"the_truth_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"truth"	"of"	"the"	"statement"	"by"	"the"	"institute"	"of"	"public_administration"	"that"	"metropolian_planning"	"in"	"rhode_island"	"mean"	"or"	"should"	"mean"	"state"	"planning"	"the"	"state"	"guide"	"plan"	"will"	"take_into_account"	"the"	"metropolitan"	"nature"	"of"	"many_of"	"rhode_island"	"problems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"be"	"that"	"must"	"there"	"must_be"	"be_that"	"that_there"	"it_must_be"	"must_be_that"	"be_that_there"	"that_there_are"	"PRP"	"MD"	"VB"	"VB"	"IN"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"the"	"question"	"of"	"admission"	"to"	"veterans_administration"	"hospitals"	"service-connected"	"and"	"non-service-connected"	"disabled"	"veterans"	"it"	"must"	"be"	"recognize"	"that"	"there"	"are"	"many"	"men"	"who"	"be"	"greatly"	"affected"	"by"	"war"	"service"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	","	"mercer"	"wake"	"and"	"wake_,"	",_mercer"	"mercer_and"	"half-man_wake_,"	"wake_,_mercer"	",_mercer_and"	"mercer_and_give"	"NN"	"VB"	"ε"	"VB"	"NNP"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wake"	"recognize"	"mercer"	"and"	"give"	"him"	"a"	"healthily"	"sleepy"	"grin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"or"	"those"	"acknowledge"	"efforts"	"acknowledge_or"	"or_those"	"those_efforts"	"from_acknowledge_or"	"acknowledge_or_those"	"or_those_efforts"	"those_efforts_as"	"IN"	"VB"	"CC"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"from"	"acknowledge"	"or"	"recognize"	"those"	"efforts"	"as"	"an"	"accomplished_fact"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"and"	"one"	"meet"	"another"	"meet_and"	"and_one"	"one_another"	"do_meet_and"	"meet_and_one"	"and_one_another"	"one_another_,"	"VBP"	"VB"	"CC"	"VB"	"CD"	"DT"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"they"	"meet"	"and"	"recognize"	"one"	"another"	"slap"	"backs"	"and"	"embrace"	"the"	"moment"	"soon"	"be"	"done"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"and"	"the"	"again"	"caller"	"again_and"	"and_the"	"the_caller"	"phone_again_and"	"again_and_the"	"and_the_caller"	"the_caller_,"	"NN"	"RB"	"CC"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"speak"	"into"	"phone"	"again"	"and"	"recognize"	"the"	"caller"	"i"	"resume"	"my"	"everyday"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"seven"	"that"	"all"	"independence"	"all_seven"	"seven_that"	"that_independence"	"∅_all_seven"	"all_seven_that"	"seven_that_independence"	"that_independence_be"	"ε"	"DT"	"CD"	"VB"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seven"	"recognize"	"that"	"independence"	"be"	"but"	"the"	"first_step"	"toward"	"build"	"a"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"we"	"that"	"when"	"our"	"when_we"	"we_that"	"that_our"	",_when_we"	"when_we_that"	"we_that_our"	"that_our_enemy"	"ε"	"WRB"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"we"	"become"	"firm"	"enough"	"to"	"stand"	"for"	"those"	"ideals"	"which"	"know"	"to"	"be"	"right"	"when"	"we"	"become"	"hard"	"enough"	"to"	"refuse"	"to"	"aid"	"nations"	"which"	"do"	"not"	"permit"	"self-determination"	"we"	"become"	"strong"	"enough"	"to"	"resist"	"any_more"	"drifts"	"towards"	"socialism"	"in"	"our"	"own"	"nation"	"when"	"we"	"recognize"	"that"	"our"	"enemy"	"be"	"communism"	"not"	"war"	"and"	"when"	"we"	"realize"	"that"	"concessions"	"to"	"communists"	"do"	"not"	"insure"	"peace"	"or"	"freedom"	"then"	"and"	"only"	"then"	"will"	"we"	"no_longer"	"be"	"soft"	"0"	"0"	
"2:31:01::"	"system"	"that"	"nassau"	"its"	"nassau_system"	"system_that"	"that_its"	"the_nassau_system"	"nassau_system_that"	"system_that_its"	"that_its_major"	"DT"	"NNP"	"NN"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"system"	"recognize"	"that"	"its"	"major"	"task"	"it"	"to"	"broaden"	"reference"	"service"	"what"	"with"	"the"	"constant"	"expansion"	"of"	"education"	"and"	"knowledge"	"and"	"the"	"pressure"	"of"	"population"	"growth"	"in"	"a"	"metropolitan"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
