"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"3:00:00::"	"the"	"coast"	"along"	"of"	"along_the"	"the_coast"	"coast_of"	"and_along_the"	"along_the_coast"	"the_coast_of"	"coast_of_location"	"CC"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"take"	"eight"	"ship"	"and"	"go"	"across"	"the"	"location"	"and"	"along"	"the"	"north"	"coast"	"of"	"location"	"to"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"headed"	"over"	"be"	"the"	"be_headed"	"headed_over"	"over_the"	"that_be_headed"	"be_headed_over"	"headed_over_the"	"over_the_location"	"IN"	"VB"	"JJ"	"RB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"take"	"the"	"formation"	"wide"	"around"	"a-26"	"attack"	"bomber"	"that"	"be"	"headed"	"north"	"over"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"red_river_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"earl"	"of"	"location"	"a"	"noble"	"humanitarian"	"scot"	"concerned"	"with"	"the"	"plight"	"of"	"the"	"crofter"	"of"	"his"	"native"	"location"	"conceive"	"a"	"plan"	"to"	"settle"	"them"	"in"	"the"	"valley"	"of"	"the"	"red_river"	"of"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"both"	"and"	"change"	"south"	"change_both"	"both_and"	"and_south"	"of_change_both"	"change_both_and"	"both_and_south"	"and_south_of"	"IN"	"NN"	"DT"	"RB"	"CC"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"trade"	"in"	"a_few"	"commodity"	"note"	"above"	"was"	"grow"	"in"	"volume"	"as"	"a"	"result"	"of"	"change"	"both"	"north"	"and"	"south"	"of"	"the"	"th"	"parallel"	"0"	"0"	"0"	
"1:15:02::"	"the"	"was"	"that"	"pick"	"that_the"	"the_was"	"was_pick"	"feel_that_the"	"that_the_was"	"the_was_pick"	"was_pick_on"	"VB"	"IN"	"DT"	"NN"	"VBD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"over"	"a_hundred"	"year"	"have"	"feel"	"that"	"the"	"north"	"was"	"pick"	"on"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"."	"of"	"∅"	"of_the"	"the_."	"._∅"	"factory_worker_of_the"	"of_the_."	"the_._∅"	"._∅_∅"	"NN"	"IN"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"pre"	"civil_war"	"year"	"the"	"south"	"argue"	"that"	"the"	"was"	"not"	"less"	"humanely"	"treat"	"than"	"the"	"factory_worker"	"of"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"wing"	"for"	"they"	"the"	"they_wing"	"wing_for"	"for_the"	"before_they_wing"	"they_wing_for"	"wing_for_the"	"for_the_jazz_festival"	"IN"	"PRP"	"VB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"anyone"	"who"	"remember"	"newport"	"at"	"its"	"less_than"	"maximum"	"violence"	"this"	"view"	"of"	"what"	"the"	"and"	"girl"	"do"	"in"	"the"	"springtime"	"before"	"they"	"wing"	"north"	"for"	"the"	"jazz_festival"	"ought"	"to"	"prove"	"entertaining"	"0"	"0"	
"1:15:02::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"understand_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"VB"	"RB"	"RB"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"nature"	"of"	"the"	"opposition"	"between"	"liberal"	"bourbon"	"is"	"too"	"little"	"understand"	"in"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"."	"in"	"∅"	"in_the"	"the_."	"._∅"	"live_in_the"	"in_the_."	"the_._∅"	"._∅_∅"	"VB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"not"	"think"	"that"	"my"	"experience"	"be"	"typical"	"for"	"southerner"	"live"	"in"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"door"	"of"	"two"	"the"	"two_door"	"door_of"	"of_the"	"``_two_door"	"two_door_of"	"door_of_the"	"of_the_location"	"ε"	"JJ"	"NN"	"JJ"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"jeweler"	"watchmaker"	"become"	"the"	"town"	"first"	"telegrapher"	"in"	"a"	"dwelling"	"he"	"build"	"himself"	"and"	"his"	"business"	"two"	"door"	"north"	"of"	"the"	"location"	"or"	"one"	"door"	"north"	"of"	"the"	"group"	"manchester"	"vermont"	
