"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"
"1:28:00::"	"special"	"of"	"a"	"the"	"a_special"	"special_of"	"of_the"	"depict_a_special"	"a_special_of"	"special_of_the"	"of_the_general"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the_charles_men"	"consist_of"	"not"	"of"	"a"	"connected"	"narrative"	"but"	"a"	"group"	"of"	"short_story"	"each"	"depict"	"a"	"special"	"phase"	"of"	"the"	"general"	"subject"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"those"	"that"	"weed_out"	"draw"	"weed_out_those"	"those_that"	"that_draw"	"to_weed_out_those"	"weed_out_those_that"	"those_that_draw"	"that_draw_least"	"TO"	"VB"	"DT"	"NN"	"WDT"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"have"	"you"	"audit"	"your"	"recently"	"to"	"weed_out"	"those"	"phase"	"that"	"draw"	"least"	"participation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"these"	"of"	"of"	"an"	"of_these"	"these_of"	"of_an"	"each_of_these"	"of_these_of"	"these_of_an"	"of_an_effective"	"DT"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"magnitude"	"of"	"effort"	"cost"	"of"	"each"	"of"	"these"	"phase"	"of"	"an"	"effective"	"safety"	"program"	"for"	"metal"	"and"	"nonmetallic"	"mine"	"exclude"	"coal"	"and"	"lignite"	"mine"	"and"	"the"	"scope"	"and"	"adequacy"	"of"	"state"	"mine"	"safety"	"law"	"applicable"	"to"	"such"	"mine"	"and"	"the"	"enforcement"	"of"	"such"	"law"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"another"	"in"	"at"	"the"	"at_another"	"another_in"	"in_the"	"∅_at_another"	"at_another_in"	"another_in_the"	"in_the_therapy"	"ε"	"IN"	"JJ"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"phase"	"in"	"the"	"therapy"	"when"	"a"	"pathogenic"	"mother"	"introject"	"begin"	"to"	"emerge"	"more_and_more"	"upon"	"the"	"investigative"	"scene"	"she"	"mutter"	"in"	"a"	"low"	"but"	"intense"	"voice"	"to"	"herself"	"i"	"hate"	"that"	"woman"	"inside"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"aqueous"	"and"	"the"	"the"	"the_aqueous"	"aqueous_and"	"and_the"	"towards_the_aqueous"	"the_aqueous_and"	"aqueous_and_the"	"and_the_hydrocarbon"	"IN"	"DT"	"JJ"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"related_to"	"micelle"	"formation"	"be"	"the"	"technologically"	"important"	"ability"	"of"	"detergent"	"active"	"to"	"congregate"	"at"	"oil-water_interface"	"in"	"such"	"manner"	"that"	"the"	"polar"	"or"	"ionized"	"end"	"of"	"the"	"molecule"	"is"	"direct"	"towards"	"the"	"aqueous"	"phase"	"and"	"the"	"hydrocarbon"	"chain"	"towards"	"the"	"oily"	"phase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"oily"	"."	"the"	"∅"	"the_oily"	"oily_."	"._∅"	"towards_the_oily"	"the_oily_."	"oily_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"related_to"	"micelle"	"formation"	"be"	"the"	"technologically"	"important"	"ability"	"of"	"detergent"	"active"	"to"	"congregate"	"at"	"oil-water_interface"	"in"	"such"	"a"	"manner"	"the"	"polar"	"or"	"ionized"	"end"	"of"	"the"	"molecule"	"is"	"direct"	"towards"	"aqueous"	"phase"	"and"	"the"	"hydrocarbon"	"chain"	"towards"	"the"	"oily"	"phase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"condensed"	"."	"contiguous"	"∅"	"contiguous_condensed"	"condensed_."	"._∅"	"of_contiguous_condensed"	"contiguous_condensed_."	"condensed_._∅"	"._∅_∅"	"IN"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"substance"	"detergent"	"active"	"also"	"tend"	"to"	"be"	"strongly"	"from"	"aqueous"	"medium"	"onto"	"surface"	"of"	"contiguous"	"condensed"	"phase"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"a"	"which"	"of"	"was"	"of_a"	"a_which"	"which_was"	"product_of_a"	"of_a_which"	"a_which_was"	"which_was_end"	"NN"	"IN"	"DT"	"NN"	"WDT"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dipylon_geometric"	"pottery"	"of"	"athens"	"and"	"the"	"iliad"	"be"	"amazing"	"manifestation"	"of"	"the"	"potentiality"	"of"	"greek"	"civilization"	"but"	"both"	"be"	"among"	"the"	"last"	"product"	"of"	"a"	"phase"	"which"	"was"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"liquid"	"thermal"	"for"	"reaction"	"for_liquid"	"liquid_thermal"	"thermal_reaction"	"sample_for_liquid"	"for_liquid_thermal"	"liquid_thermal_reaction"	"thermal_reaction_study"	"NN"	"IN"	"NN"	"NN"	"JJ"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"for"	"liquid"	"phase"	"thermal"	"reaction"	"study"	"were"	"prepare"	"in"	"pyrex"	"capillary_tubing"	"mm"	"i.d."	"and"	"about"	"cm"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"liquid"	"thermal"	"the"	"reaction"	"the_liquid"	"liquid_thermal"	"thermal_reaction"	"study_the_liquid"	"the_liquid_thermal"	"liquid_thermal_reaction"	"thermal_reaction_,"	"VB"	"DT"	"NN"	"NN"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"liquid"	"phase"	"thermal"	"reaction"	"some"	"tube"	"from"	"different"	"manifold"	"filling"	"were"	"prepare"	"and"	"analyze"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
