"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"2:32:00::"	"been"	"this"	"had"	"week"	"had_been"	"been_this"	"this_week"	"karns_had_been"	"had_been_this"	"been_this_week"	"this_week_to"	"NNP"	"VBD"	"VBN"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"karns"	"been"	"schedule"	"this"	"week"	"to"	"hear"	"seven"	"cases"	"involve"	"persons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"cases"	"for"	"seven"	"trial"	"seven_cases"	"cases_for"	"for_trial"	"the_seven_cases"	"seven_cases_for"	"cases_for_trial"	"for_trial_also"	"DT"	"CD"	"NNS"	"VB"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"after"	"read"	"his"	"statement"	"discharge"	"the"	"d"	"ward"	"case"	"karns"	"tell"	"wexler"	"that"	"the"	"seven"	"cases"	"schedule"	"for"	"trial"	"also"	"involve"	"persons"	"who"	"had"	"been"	"subpoena"	"he"	"would"	"dismiss"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"is"	"to"	"also"	"hold"	"also_is"	"is_to"	"to_hold"	"hatfield_also_is"	"also_is_to"	"is_to_hold"	"to_hold_a"	"NNP"	"RB"	"VBZ"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hatfield"	"is"	"schedule"	"to"	"hold"	"a"	"public"	"united_nations"	"day"	"reception"	"in"	"the"	"state"	"capitol"	"on"	"tuesday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"for"	"and"	"7"	"and_is"	"is_for"	"for_7"	"labor_and_is"	"and_is_for"	"is_for_7"	"for_7_p."	"NN"	"CC"	"VBZ"	"VB"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dinner"	"is"	"sponsor"	"organized"	"labor"	"and"	"is"	"schedule"	"for"	"p."	"m."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"''"	"to"	"breakthrough"	"fill"	"breakthrough_''"	"''_to"	"to_fill"	"``_breakthrough_''"	"breakthrough_''_to"	"''_to_fill"	"to_fill_the"	"ε"	"NNP"	"ε"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"friday"	"night"	"the"	"delegates"	"hear"	"the"	"need"	"their"	"forthcoming"	"program"	"breakthrough"	"schedule"	"to"	"fill"	"the"	"churches"	"for"	"the"	"next"	"two"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"colleges"	"what"	"and"	"they"	"and_colleges"	"colleges_what"	"what_they"	"universities_and_colleges"	"and_colleges_what"	"colleges_what_they"	"what_they_call"	"NNS"	"CC"	"NNS"	"VB"	"WP"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"the"	"period"	"during"	"the"	"days"	"of"	"autumn"	"when"	"universities"	"and"	"colleges"	"schedule"	"what"	"they"	"call"	"homecoming"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"teacher"	"a"	"certain"	"``"	"certain_teacher"	"teacher_a"	"a_``"	"a_certain_teacher"	"certain_teacher_a"	"teacher_a_``"	"a_``_fear"	"DT"	"JJ"	"NN"	"VB"	"DT"	"ε"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"psalm"	"a"	"certain"	"schedule"	"a"	"fear"	"party"	"for"	"her"	"fourth"	"grade"	"pupils"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"session"	"for"	"u._n."	"today"	"u._n._session"	"session_for"	"for_today"	"the_u._n._session"	"u._n._session_for"	"session_for_today"	"for_today_will"	"DT"	"NNP"	"NN"	"VB"	"IN"	"NN"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"session"	"schedule"	"for"	"today"	"will"	"meet"	"under"	"the"	"cloud"	"of"	"his"	"passing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"owners"	"to"	"and"	"begin"	"and_owners"	"owners_to"	"to_begin"	"managers_and_owners"	"and_owners_to"	"owners_to_begin"	"to_begin_here"	"NNS"	"CC"	"NNS"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"coahr"	"letter"	"come"	"on"	"the"	"eve"	"of"	"large"	"gathering"	"of"	"theater"	"managers"	"and"	"owners"	"schedule"	"to"	"begin"	"here"	"sunday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"are"	"for"	"assignments"	"november"	"assignments_are"	"are_for"	"for_november"	"guest_assignments_are"	"assignments_are_for"	"are_for_november"	"for_november_14"	"NN"	"NNS"	"VBP"	"VB"	"IN"	"NNP"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"assignments"	"are"	"schedule"	"for"	"november"	"and"	"with"	"the"	"orchestra_sinfonica_siciliana"	"in"	"palermo"	"and"	"the"	"orchestra"	"of"	"radio_cologne"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
