"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"3:00:00::"	"but"	"counterpart"	"have"	"in"	"have_but"	"but_counterpart"	"counterpart_in"	"character_have_but"	"have_but_counterpart"	"but_counterpart_in"	"counterpart_in_earlier"	"NN"	"VB"	"CC"	"JJ"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"low-class"	"have"	"but"	"few"	"counterpart"	"in"	"earlier"	"southern"	"novel"	"deal"	"with"	"plantation"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"area"	"∅"	","	"∅_∅"	"∅_area"	"area_,"	"∅_∅_∅"	"∅_∅_area"	"∅_area_,"	"area_,_if"	"ε"	"ε"	"ε"	"JJ"	"NN"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"area"	"if"	"any"	"be"	"as_good_as"	"prepared"	"shelter"	"but"	"they"	"be"	"worth"	"know"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"how"	"does"	"or"	"not"	"or_how"	"how_does"	"does_not"	"year_or_how"	"or_how_does"	"how_does_not"	"does_not_matter"	"NN"	"CC"	"WRB"	"JJ"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"once"	"then"	"for"	"how"	"year"	"or"	"how"	"few"	"does"	"not"	"matter"	"my"	"world"	"be"	"bound"	"round"	"by"	"fence"	"when"	"i"	"be"	"too"	"small"	"to"	"reach"	"the"	"apple_tree"	"bough"	"to"	"twist"	"my"	"knee"	"over"	"it"	"and"	"pull_up"	"myself"	"up"	"0"	
"3:00:00::"	"∅"	"state"	"∅"	"make"	"∅_∅"	"∅_state"	"state_make"	"∅_∅_∅"	"∅_∅_state"	"∅_state_make"	"state_make_effective"	"ε"	"ε"	"ε"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"make"	"effective"	"use"	"of"	"their"	"existing"	"vocational"	"education"	"program"	"or"	"funds"	"for"	"the"	"purpose"	"of"	"attract"	"new"	"industry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"have"	"enrollee"	"may"	"unless"	"may_have"	"have_enrollee"	"enrollee_unless"	"area_may_have"	"may_have_enrollee"	"have_enrollee_unless"	"enrollee_unless_there"	"NN"	"MD"	"VB"	"JJ"	"NN"	"IN"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"training_program"	"in"	"depressed"	"area"	"may"	"have"	"few"	"enrollee"	"unless"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"and"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"the"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"community"	
"3:00:00::"	"mighty"	"right"	"have"	"in"	"have_mighty"	"mighty_right"	"right_in"	"wife_have_mighty"	"have_mighty_right"	"mighty_right_in"	"right_in_the"	"NN"	"VB"	"RB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"those"	"day"	"wife"	"have"	"mighty"	"few"	"right"	"in"	"the"	"domestic"	"sphere"	"and"	"even"	"fewer"	"in"	"the"	"sexual"	"sphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"very"	"wife"	"``"	"''"	"``_very"	"very_wife"	"wife_''"	"∅_``_very"	"``_very_wife"	"very_wife_''"	"wife_''_,"	"ε"	"ε"	"RB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"wife"	"say"	"person"	"who"	"balance"	"the"	"checkbook"	"fix"	"the"	"car"	"choose"	"where"	"the"	"family"	"will"	"live"	"and"	"deal"	"with"	"the"	"tradesman"	"are"	"suddenly"	"going_to"	"become"	"submissive"	"where"	"sex"	"is"	"concern"	"0"	"0"	"0"	"0"	
"3:00:00::"	"last"	"day"	"the"	"''"	"the_last"	"last_day"	"day_''"	"until_the_last"	"the_last_day"	"last_day_''"	"day_''_."	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"been_after"	"her"	"for"	"years"	"person"	"say"	"but"	"i"	"never"	"been"	"able"	"to"	"anywhere"	"until"	"the"	"last"	"few"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"("	"of"	"possibly"	"of_the"	"the_("	"(_possibly"	"one_of_the"	"of_the_("	"the_(_possibly"	"(_possibly_only"	"JJ"	"IN"	"DT"	"JJ"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"of"	"the"	"few"	"possibly"	"only"	"composer"	"person"	"has"	"be"	"able"	"to"	"work"	"with"	"so"	"closely"	"for"	"they"	"hold"	"their"	"meeting"	"in"	"person"	"study"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"last"	"day"	"the"	"without"	"the_last"	"last_day"	"day_without"	"out_the_last"	"the_last_day"	"last_day_without"	"day_without_a"	"RB"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"curse"	"himself"	"for"	"ride"	"out"	"the"	"last"	"few"	"day"	"without"	"a"	"rifle"	"in"	"his"	"saddle"	"boot"	"person"	"draw"	"his"	"colt"	"and"	"examine"	"it"	"briefly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"small"	"quite"	"commission"	"quite_a"	"a_small"	"small_commission"	"handle_quite_a"	"quite_a_small"	"a_small_commission"	"small_commission_,"	"VB"	"RB"	"JJ"	"JJ"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"us"	"we"	"handle"	"quite"	"a"	"few"	"small"	"commission"	"from"	"spot"	"drawing"	"for"	"advertising_agency"	"uptown"	"to"	"magazine"	"work"	"and"	"quick"	"lettering"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"but"	"compare"	","	"with"	",_but"	"but_compare"	"compare_with"	"animal_,_but"	",_but_compare"	"but_compare_with"	"compare_with_person"	"NN"	"ε"	"CC"	"JJ"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ever"	"since"	"bambi"	"and"	"more"	"recently"	"born_free"	"there"	"have"	"be"	"of"	"book"	"about"	"animal"	"but"	"few"	"compare"	"with"	"person"	"wry"	"understate"	"charming"	"and"	"immensely"	"readable"	"my_friend_,"	"the"	"quizzical_salamander"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"but"	"have"	","	"the"	",_but"	"but_have"	"have_the"	"essential_,_but"	",_but_have"	"but_have_the"	"have_the_strength"	"JJ"	"ε"	"CC"	"JJ"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pushup"	"be"	"but"	"few"	"have"	"the"	"strength"	"for"	"them"	"at_first"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"last"	"day"	"the"	"flood"	"the_last"	"last_day"	"day_flood"	"of_the_last"	"the_last_day"	"last_day_flood"	"day_flood_person"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wraithlike"	"of"	"the"	"last"	"few"	"day"	"flood"	"person"	"mind"	"and"	"he"	"rub"	"his"	"unshaved"	"chin"	"and"	"feel"	"again"	"the"	"ache"	"in"	"his"	"kidney"	"cause"	"by"	"his"	"saddle"	"odyssey"	"from"	"boston"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"``"	"crank_call"	"∅"	"''"	"∅_``"	"``_crank_call"	"crank_call_''"	"∅_∅_``"	"∅_``_crank_call"	"``_crank_call_''"	"crank_call_''_,"	"ε"	"ε"	"ε"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"crank_call"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"last"	"year"	"the"	"over"	"the_last"	"last_year"	"year_over"	"of_the_last"	"the_last_year"	"last_year_over"	"year_over_whether"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"controversy"	"the"	"last"	"few"	"year"	"over"	"whether"	"architect"	"or"	"interior_designer"	"should"	"plan"	"the"	"interior"	"of"	"modern"	"building"	"has"	"bring"	"clearly"	"into"	"focus"	"one"	"important"	"difference_of_opinion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"first"	"experiment"	"the"	"*"	"the_first"	"first_experiment"	"experiment_*"	"in_the_first"	"the_first_experiment"	"first_experiment_*"	"experiment_*_*"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"first"	"few"	"experiment"	"f"	"was"	"pass_through"	"dowex-2-chloride"	"twice"	"and"	"absorb"	"twice"	"with"	"mg"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"last"	"century"	"these"	"and"	"these_last"	"last_century"	"century_and"	"over_these_last"	"these_last_century"	"last_century_and"	"century_and_the"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"progress"	"of"	"over"	"these"	"last"	"few"	"century"	"and"	"the"	"gradual"	"replacement"	"of"	"biblical"	"by"	"scientific"	"category"	"of"	"reality"	"have"	"to"	"a"	"large"	"extent"	"empty"	"the"	"spirit_world"	"of"	"the"	"entity"	"which"	"previously"	"populate"	"it"	"0"	"0"	"0"	"0"	
"3:00:00::"	"be"	"but"	"england"	"extremely"	"england_be"	"be_but"	"but_extremely"	"in_england_be"	"england_be_but"	"be_but_extremely"	"but_extremely_militant"	"IN"	"NN"	"VB"	"JJ"	"CC"	"RB"	"JJ"	"location"	"publish"	"identical"	"denunciation"	"of"	"person"	"elevation"	"group"	"and"	"the"	"group"	"ignore"	"it"	"group"	"snicker"	"at"	"it"	"and"	"the"	"group"	"simply"	"report"	"it"	"fosterites"	"in"	"england"	"be"	"but"	"extremely"	"militant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"∅"	"of"	"∅"	"the"	"∅_∅"	"∅_of"	"of_the"	"∅_∅_∅"	"∅_∅_of"	"∅_of_the"	"of_the_neighbor"	"ε"	"ε"	"ε"	"JJ"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"the"	"neighbor"	"come"	"but"	"person"	"come"	"call"	"by"	"tragedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"next"	"day"	"the"	"they"	"the_next"	"next_day"	"day_they"	"in_the_next"	"the_next_day"	"next_day_they"	"day_they_have"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"next"	"few"	"day"	"they"	"have"	"cause"	"to"	"rejoice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"so"	"people"	"know"	"."	"know_so"	"so_people"	"people_."	"and_know_so"	"know_so_people"	"so_people_."	"people_._∅"	"CC"	"VB"	"RB"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"because"	"we"	"be"	"in"	"location"	"he"	"say"	"know"	"so"	"few"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"last"	"year"	"the"	","	"the_last"	"last_year"	"year_,"	"in_the_last"	"the_last_year"	"last_year_,"	"year_,_the"	"IN"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"last"	"few"	"year"	"the"	"application"	"of"	"chromatographic"	"and"	"modern"	"technique"	"to"	"the"	"problem"	"of"	"isolate"	"tsh"	"has"	"lead"	"to"	"further"	"purification"	"person"	"and"	"person"	"person"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
