"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"
"2:39:00::"	"he"	"down"	"as"	"the"	"as_he"	"he_down"	"down_the"	"murmur_as_he"	"as_he_down"	"he_down_the"	"down_the_barrel"	"VB"	"IN"	"PRP"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"that"	"be"	"a"	"pleasure"	"to"	"see"	"the"	"big"	"black"	"murmur"	"he"	"stare"	"down"	"the"	"barrel"	"of"	"his"	"rifle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"they"	"at"	"∅"	"him"	"∅_they"	"they_at"	"at_him"	"∅_∅_they"	"∅_they_at"	"they_at_him"	"at_him_."	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stare"	"at"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"silently"	"sit"	"."	"sit_and"	"and_silently"	"silently_."	"lawyers_sit_and"	"sit_and_silently"	"and_silently_."	"silently_._∅"	"NNS"	"VB"	"CC"	"VB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"police"	"arrive"	"find"	"mcclellan"	"and"	"the"	"lawyers"	"sit"	"and"	"stare"	"silently"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"i"	"out"	"as"	"the"	"as_i"	"i_out"	"out_the"	"depressed_as_i"	"as_i_out"	"i_out_the"	"out_the_bus"	"JJ"	"IN"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"feel"	"lonely"	"depressed"	"as"	"i"	"stare"	"out"	"the"	"bus"	"window"	"at"	"chicago"	"grim"	"dirty"	"west_side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"then"	"at"	","	"clayton"	",_then"	"then_at"	"at_clayton"	"sleeve_,_then"	",_then_at"	"then_at_clayton"	"at_clayton_in"	"NN"	"ε"	"RB"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"wipe"	"his"	"lips"	"a"	"sleeve"	"then"	"stare"	"at"	"clayton"	"in"	"a"	"childish"	"kind_of"	"wonder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"at"	"stand"	"him"	"stand_and"	"and_at"	"at_him"	"men_stand_and"	"stand_and_at"	"and_at_him"	"at_him_for"	"NNS"	"VB"	"CC"	"VB"	"IN"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"seventeen"	"stand"	"and"	"stare"	"at"	"him"	"for"	"a"	"moment"	"longer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"at"	"∅"	"the"	"∅_he"	"he_at"	"at_the"	"∅_∅_he"	"∅_he_at"	"he_at_the"	"at_the_dipper"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stare"	"at"	"the"	"dipper"	"turn"	"it"	"over_and_over"	"in"	"his"	"wide"	"calloused"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"eye"	"with"	"bright_blue"	"a"	"bright_blue_eye"	"eye_with"	"with_a"	"whose_bright_blue_eye"	"bright_blue_eye_with"	"eye_with_a"	"with_a_kind_of"	"WP$"	"JJ"	"NN"	"VB"	"IN"	"DT"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"a"	"complex"	"and"	"man"	"whose"	"bright_blue"	"eye"	"stare"	"with"	"a"	"kind_of"	"frozen"	"candour"	"into"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"at"	"turn"	"the"	"turn_to"	"to_at"	"at_the"	"and_turn_to"	"turn_to_at"	"to_at_the"	"at_the_blank"	"CC"	"VB"	"VB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"pile"	"everything"	"neatly"	"in"	"a"	"corner"	"of"	"cellar"	"and"	"turn"	"to"	"stare"	"at"	"the"	"blank"	"stone"	"wall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"person"	"at"	"∅"	"him"	"∅_person"	"person_at"	"at_him"	"∅_∅_person"	"∅_person_at"	"person_at_him"	"at_him_without"	"ε"	"ε"	"NNP"	"VB"	"IN"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stare"	"at"	"him"	"without"	"answer"	"and"	"let"	"his"	"hand"	"fall"	"to"	"his"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
