"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"2:32:00::"	"to"	"their"	"want"	"codes"	"want_to"	"to_their"	"their_codes"	"will_want_to"	"want_to_their"	"to_their_codes"	"their_codes_on"	"MD"	"VB"	"VB"	"VB"	"PRP$"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"soon"	"some"	"members"	"of"	"the"	"industry"	"groups"	"doubtless"	"will"	"want"	"to"	"amend"	"their"	"codes"	"on"	"grounds"	"that"	"they"	"will"	"suffer"	"unfairly"	"from"	"the"	"efforts"	"of"	"non-code"	"competitors"	
"2:32:00::"	"bill"	"the"	"a"	"national_defense_education_act"	"a_bill"	"bill_the"	"the_national_defense_education_act"	"on_a_bill"	"a_bill_the"	"bill_the_national_defense_education_act"	"the_national_defense_education_act_of"	"IN"	"DT"	"NN"	"VB"	"DT"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"could"	"rescue"	"the"	"bill"	"would"	"some"	"quick"	"progress"	"on"	"a"	"bill"	"amend"	"the"	"national_defense_education_act"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"lady"	"."	"the"	"∅"	"the_lady"	"lady_."	"._∅"	",_the_lady"	"the_lady_."	"lady_._∅"	"._∅_∅"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"mean"	"that"	"you"	"have"	"a"	"nice"	"dear"	"the"	"lady"	"amend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"which"	"the"	"of"	"george-barden_act"	"of_which"	"which_the"	"the_george-barden_act"	",_of_which"	"of_which_the"	"which_the_george-barden_act"	"the_george-barden_act_."	"ε"	"RB"	"RB"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"latest"	"major"	"change"	"in"	"this"	"program"	"was"	"introduce"	"the"	"national_defense_education_act"	"of"	"title"	"of"	"which"	"amend"	"the"	"george-barden_act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"as"	"("	")"	"42"	")_as"	"as_("	"(_42"	"328_)_as"	")_as_("	"as_(_42"	"(_42_u._s._c."	"CD"	"ε"	"IN"	"VB"	"ε"	"CD"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"the"	"act"	"of"	"july"	"stat."	"as"	"amend"	"u._s._c."	"is"	"further"	"amend"	"to"	"read"	"as_follows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"further"	"to"	"is"	"read"	"is_further"	"further_to"	"to_read"	",_is_further"	"is_further_to"	"further_to_read"	"to_read_as_follows"	"ε"	"VBZ"	"JJ"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"of"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"act"	"of"	"july"	"stat."	"as"	"amend"	"u._s._c."	"is"	"further"	"amend"	"to"	"read"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"hereby"	"to"	"is"	"read"	"is_hereby"	"hereby_to"	"to_read"	",_is_hereby"	"is_hereby_to"	"hereby_to_read"	"to_read_:"	"ε"	"VBZ"	"RB"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"section"	"of"	"the"	"joint_resolution"	"of"	"september"	"stat."	"u._s._c."	"d"	"is"	"hereby"	"amend"	"read"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"third"	"the"	"the"	"enabling_act"	"the_third"	"third_the"	"the_enabling_act"	"∅_the_third"	"the_third_the"	"third_the_enabling_act"	"the_enabling_act_for"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"third"	"amend"	"the"	"enabling_act"	"for"	"creation"	"of"	"the"	"location"	"location"	"for"	"which"	"a"	"special"	"constitutional"	"amendment"	"previously"	"was"	"adopt"	"0"	"0"	"0"	
"2:32:00::"	"as"	","	","	"authorize"	",_as"	"as_,"	",_authorize"	"small_business_act_,_as"	",_as_,"	"as_,_authorize"	",_authorize_the"	"JJ"	"ε"	"RB"	"VB"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"section"	"b"	"of"	"the"	"small_business_act"	"as"	"authorize"	"the"	"sba"	"to"	"make"	"a"	"complete"	"inventory"	"of"	"the"	"productive"	"facility"	"of"	"small"	"business_concern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"as"	"."	","	"∅"	",_as"	"as_."	"._∅"	"farm_credit_act_of_1933_,_as"	",_as_."	"as_._∅"	"._∅_∅"	"NN"	"ε"	"RB"	"VB"	"ε"	"ε"	"ε"	"be"	"eligible"	"to"	"borrow"	"from"	"a"	"group"	"a"	"cooperative"	"must"	"be"	"an"	"association"	"in"	"which"	"farmer"	"act"	"together"	"in"	"process"	"and"	"market"	"farm"	"product"	"purchase"	"farm"	"supply"	"or"	"furnish"	"farm"	"business"	"services"	"and"	"must"	"meet"	"the"	"requirement"	"set_forth"	"in"	"farm_credit_act_of_1933"	"as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
