"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:33:00::"	"they"	"an"	"that"	"estate_tax"	"that_they"	"they_an"	"an_estate_tax"	"realize_that_they"	"that_they_an"	"they_an_estate_tax"	"an_estate_tax_problem"	"VB"	"IN"	"PRP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"today"	"many_of"	"those"	"men"	"are"	"retirement"	"age"	"and"	"suddenly"	"realize"	"that"	"they"	"face"	"an"	"estate_tax"	"problem"	"with"	"their"	"closely"	"hold"	"companies"	"and"	"also"	"that"	"they"	"have"	"no"	"second-echelon"	"management"	"in"	"their"	"firms"	"0"	"0"	"0"	
"2:42:02::"	"to"	"the"	"him"	"congregation"	"him_to"	"to_the"	"the_congregation"	"ask_him_to"	"him_to_the"	"to_the_congregation"	"the_congregation_."	"VB"	"PRP"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"introduce"	"each"	"new"	"member"	"to"	"congregation"	"ask"	"him"	"to"	"face"	"the"	"congregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:03::"	"that"	"communities"	"dilemma"	"such_as"	"dilemma_that"	"that_communities"	"communities_such_as"	"a_dilemma_that"	"dilemma_that_communities"	"that_communities_such_as"	"communities_such_as_ours"	"DT"	"NN"	"WDT"	"VB"	"NNS"	"JJ"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"providence_journal"	"editorial"	"jan."	"entitled"	"east_greenwich"	"faces"	"a"	"housing_development"	"point"	"to"	"a"	"dilemma"	"that"	"face"	"communities"	"such_as"	"ours"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"are"	"a"	"we"	"future"	"we_are"	"are_a"	"a_future"	"that_we_are"	"we_are_a"	"are_a_future"	"a_future_of"	"IN"	"PRP"	"VBP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sprinkel"	"strongly"	"refute"	"the"	"neo-stagnationist"	"thesis"	"that"	"we"	"are"	"face"	"a"	"future"	"of"	"limited"	"and"	"slow"	"growth"	"declare"	"that"	"this"	"pessimism"	"is"	"base"	"on"	"very"	"limited"	"and"	"questionable"	"evidence"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"never"	"such"	"has"	"great"	"has_never"	"never_such"	"such_great"	"country_has_never"	"has_never_such"	"never_such_great"	"such_great_dangers"	"NN"	"VBZ"	"RB"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"draper"	"declare"	"as"	"i"	"see"	"it"	"country"	"has"	"never"	"face"	"such"	"great"	"dangers"	"as"	"threaten"	"us"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"liable_to"	"similar"	"'re"	"situations"	"'re_liable_to"	"liable_to_similar"	"similar_situations"	"we_'re_liable_to"	"'re_liable_to_similar"	"liable_to_similar_situations"	"similar_situations_in_this"	"PRP"	"VBP"	"JJ"	"VB"	"JJ"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"he"	"decline"	"to"	"suggest"	"how"	"he"	"say"	"that"	"sooner_or_later"	"we"	"must"	"castro"	"for"	"unless"	"we"	"do"	"we"	"liable_to"	"face"	"similar"	"situations"	"in_this"	"hemisphere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"would"	"the"	"line"	"threat"	"line_would"	"would_the"	"the_threat"	"his_line_would"	"line_would_the"	"would_the_threat"	"the_threat_of"	"PRP$"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_york"	"central_railroad"	"president"	"alfred_e._perlman"	"tuesday"	"his"	"line"	"would"	"face"	"the"	"threat"	"of"	"bankruptcy"	"if"	"the"	"chesapeake"	"ohio"	"and"	"baltimore"	"ohio"	"railroads"	"merge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"the"	"turn"	"men"	"turn_to"	"to_the"	"the_men"	"she_turn_to"	"turn_to_the"	"to_the_men"	"the_men_again"	"PRP"	"VB"	"VB"	"VB"	"DT"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"slowly"	"turn"	"to"	"face"	"the"	"men"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"these"	"pressure"	"realities"	"pressure_to"	"to_these"	"these_realities"	"heavier_pressure_to"	"pressure_to_these"	"to_these_realities"	"these_realities_than"	"JJR"	"NN"	"TO"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"few"	"business"	"groups"	"in"	"recent"	"have"	"come"	"under"	"heavier"	"pressure"	"to"	"face"	"these"	"realities"	"than"	"real_estate_brokers"	"and"	"home"	"builders"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"they"	"a"	"realize"	"new"	"realize_they"	"they_a"	"a_new"	"guerrillas_realize_they"	"realize_they_a"	"they_a_new"	"a_new_problem"	"NNS"	"VB"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"realize"	"they"	"face"	"a"	"new"	"problem"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
