"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"2:31:12::"	"plan"	"these"	"care"	"benefits"	"care_plan"	"plan_these"	"these_benefits"	"aged_care_plan"	"care_plan_these"	"plan_these_benefits"	"these_benefits_for"	"JJ"	"NN"	"NN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"care"	"plan"	"carry"	"these"	"benefits"	"for"	"persons"	"over"	"who"	"be"	"under"	"the"	"social_security"	"and"	"railroad"	"retirement"	"systems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"will"	"the"	"that"	"economy"	"that_will"	"will_the"	"the_economy"	"expansion_that_will"	"that_will_the"	"will_the_economy"	"the_economy_back"	"NN"	"WDT"	"MD"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sprinkel"	"tell"	"conferees"	"that"	"the"	"recent"	"improvement"	"in"	"economic"	"activity"	"be"	"not"	"a"	"temporary"	"in"	"the"	"pan"	"but"	"the"	"beginning"	"of"	"a"	"substantial"	"cyclical"	"expansion"	"that"	"will"	"carry"	"the"	"economy"	"back"	"to"	"full"	"employment"	"levels"	"and"	"witness"	"a"	"renewal"	"of"	"our"	"traditional"	"growth"	"pattern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"and"	"big"	"softly"	"sticks"	"softly_and"	"and_big"	"big_sticks"	"speak_softly_and"	"softly_and_big"	"and_big_sticks"	"big_sticks_over"	"VB"	"RB"	"CC"	"VB"	"JJ"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"both"	"mr._k"	"have"	"so_far"	"to"	"speak"	"softly"	"and"	"carry"	"big"	"sticks"	"over"	"laos"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"and"	"a"	"softly"	"sizable"	"softly_and"	"and_a"	"a_sizable"	"speak_softly_and"	"softly_and_a"	"and_a_sizable"	"a_sizable_stick"	"VB"	"RB"	"CC"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"mr._kennedy"	"softly"	"and"	"carry"	"a"	"sizable"	"stick"	"is"	"make"	"the"	"best"	"of"	"a"	"bad"	"situation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"to"	"communist"	"use"	"agents"	"use_to"	"to_communist"	"communist_agents"	"were_use_to"	"use_to_communist"	"to_communist_agents"	"communist_agents_to"	"VBD"	"VB"	"TO"	"VB"	"NNP"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"russian"	"tanks"	"and"	"artillery"	"parade"	"through"	"the"	"streets"	"of"	"havana"	"russian"	"intrigue"	"in"	"the"	"congo"	"and"	"arms"	"drops"	"in"	"laos"	"use"	"the"	"same"	"ilyushin"	"transports"	"that"	"were"	"use"	"to"	"carry"	"communist"	"agents"	"to"	"the"	"congo"	"make"	"it"	"plain"	"once_more"	"that"	"the"	"cold_war"	"be"	"all_of"	"a_piece"	"in"	"space"	"and"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"mr._kennedy"	"26"	","	"and"	",_mr._kennedy"	"mr._kennedy_26"	"26_and"	"more_,_mr._kennedy"	",_mr._kennedy_26"	"mr._kennedy_26_and"	"26_and_mr._nixon"	"JJR"	"ε"	"NNP"	"VB"	"CD"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"of"	"cities"	"with"	"populations"	"of"	"more"	"mr._kennedy"	"carry"	"and"	"mr._nixon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"and_then"	"all"	","	"the"	",_and_then"	"and_then_all"	"all_the"	"spring_,_and_then"	",_and_then_all"	"and_then_all_the"	"all_the_candidates"	"NN"	"ε"	"RB"	"VB"	"PDT"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"it"	"will"	"simply"	"delay"	"the"	"debates"	"the"	"qualifications"	"are"	"close"	"next"	"spring"	"and_then"	"carry"	"all"	"the"	"candidates"	"on"	"a"	"tour"	"of"	"debates"	"it"	"can"	"provide"	"a"	"service"	"to"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"trucks"	"rock"	"big"	"and"	"big_trucks"	"trucks_rock"	"rock_and"	"the_big_trucks"	"big_trucks_rock"	"trucks_rock_and"	"rock_and_concrete"	"DT"	"JJ"	"NNS"	"VB"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"work_on"	"the"	"schuylkill_expressway"	"and"	"if"	"had"	"not"	"been"	"for"	"the"	"big"	"trucks"	"carry"	"rock"	"and"	"concrete"	"there"	"would"	"n't"	"be"	"an"	"expressway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:09::"	"capable_of"	"the"	"seem"	"load"	"seem_capable_of"	"capable_of_the"	"the_load"	"n't_seem_capable_of"	"seem_capable_of_the"	"capable_of_the_load"	"the_load_."	"RB"	"VB"	"JJ"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so_far"	"the"	"platoons"	"on"	"left"	"right_fielders"	"do"	"n't"	"seem"	"capable_of"	"carry"	"the"	"load"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"for"	"liquid"	"indispensable"	"refreshments"	"indispensable_for"	"for_liquid"	"liquid_refreshments"	"be_indispensable_for"	"indispensable_for_liquid"	"for_liquid_refreshments"	"liquid_refreshments_."	"VB"	"JJ"	"IN"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"n't"	"forget"	"when"	"you"	"take"	"the"	"hills"	"or"	"the"	"beach"	"that"	"your"	"cooler"	"which"	"you"	"might"	"have"	"use"	"for"	"wine"	"beer-cooling"	"on"	"your"	"terrace"	"or"	"back"	"yard"	"be"	"indispensable"	"for"	"carry"	"liquid"	"refreshments"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"and"	"her"	","	"into"	",_and"	"and_her"	"her_into"	"knees_,_and"	",_and_her"	"and_her_into"	"her_into_the"	"NNS"	"ε"	"CC"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"pick_up"	"her"	"up"	"slide"	"one"	"hand"	"under"	"shoulders"	"the"	"under"	"her"	"knees"	"and"	"carry"	"her"	"into"	"the"	"house"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"and"	"with_it"	"one"	"the"	"one_and"	"and_with_it"	"with_it_the"	"record_one_and"	"one_and_with_it"	"and_with_it_the"	"with_it_the_promise"	"NN"	"CD"	"CC"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dekalb"	"budget"	"for"	"be"	"record"	"one"	"and"	"carry"	"with_it"	"the"	"promise"	"of"	"no"	"tax"	"increase"	"to"	"make"	"it"	"balance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"children"	"whole"	"the"	"grains"	"the_children"	"children_whole"	"whole_grains"	",_the_children"	"the_children_whole"	"children_whole_grains"	"whole_grains_to"	"ε"	"DT"	"NNS"	"VB"	"JJ"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"their"	"frequent"	"hikes"	"into"	"nearby"	"mountains"	"the"	"children"	"carry"	"whole"	"grains"	"to"	"munch"	"along"	"the"	"trail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:02::"	"to"	"the"	"``"	"issues"	"``_to"	"to_the"	"the_issues"	"pledge_``_to"	"``_to_the"	"to_the_issues"	"the_issues_to"	"NN"	"ε"	"TO"	"VB"	"DT"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"richard_j._hughes"	"make"	"his"	"morris_county"	"debut"	"in"	"his"	"bid"	"for"	"the"	"gubernatorial"	"nomination"	"here"	"last"	"night"	"with"	"a"	"pledge"	"to"	"carry"	"the"	"issues"	"to"	"every"	"corner"	"of"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:03::"	"could"	"perhaps"	","	"50"	",_could"	"could_perhaps"	"perhaps_50"	"b-70_,_could"	",_could_perhaps"	"could_perhaps_50"	"perhaps_50_or"	"NNP"	"ε"	"MD"	"VB"	"RB"	"CD"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"large"	"aircraft"	"such_as"	"the"	"or"	"b-70"	"could"	"carry"	"perhaps"	"or"	"small"	"nuclear_weapons"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:05::"	"by"	"the"	"simplify"	"results"	"simplify_by"	"by_the"	"the_results"	"be_simplify_by"	"simplify_by_the"	"by_the_results"	"the_results_to"	"VB"	"VB"	"IN"	"VB"	"DT"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"various"	"mathematical_processes"	"be"	"simplify"	"by"	"carry"	"the"	"results"	"to"	"only"	"two"	"or"	"three"	"decimal"	"places"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
