"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"
"2:31:01::"	"charge"	"up"	"parking"	","	"parking_charge"	"charge_up"	"up_,"	"the_parking_charge"	"parking_charge_up"	"charge_up_,"	"up_,_there"	"DT"	"NN"	"NN"	"VB"	"RB"	"ε"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"grin"	"at"	"him"	"hand"	"him"	"a_couple_of"	"dollars"	"and"	"say"	"the"	"time"	"you"	"get"	"the"	"parking"	"charge"	"figure"	"up"	"there"	"should"	"be"	"a"	"cigar"	"in"	"it"	"for"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"he"	"his"	"∅"	"best"	"∅_he"	"he_his"	"his_best"	"∅_∅_he"	"∅_he_his"	"he_his_best"	"his_best_bet"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"JJS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"figure"	"his"	"best"	"bet"	"be"	"a"	"call"	"on"	"the"	"sheriff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"has"	"in"	"who"	"very"	"who_has"	"has_in"	"in_very"	"woman_who_has"	"who_has_in"	"has_in_very"	"in_very_interesting"	"NN"	"WP"	"VBZ"	"VB"	"IN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"had"	"be"	"a"	"threesome"	"at"	"the"	"party"	"in"	"the"	"suite"	"bedroom"	"miss_harrington"	"this"	"be"	"diane"	"choice"	"for"	"a"	"roman"	"name"	"another"	"who"	"has"	"figure"	"in"	"very"	"interesting"	"events"	"and"	"one"	"of"	"your"	"well-known"	"american"	"actors"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"he"	","	","	"be"	",_he"	"he_,"	",_be"	"approach_,_he"	",_he_,"	"he_,_be"	",_be_to"	"NN"	"ε"	"PRP"	"VB"	"ε"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"best"	"he"	"figure"	"be"	"to"	"try"	"to"	"influence"	"young"	"people"	"like"	"the"	"high"	"schoolers"	"he"	"and"	"his"	"wife"	"serve"	"as"	"advisors"	"at_first"	"presbyterian_church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"early"	"revere"	"about"	"in"	"about_early"	"early_revere"	"revere_in"	"fiction_about_early"	"about_early_revere"	"early_revere_in"	"revere_in_swedish"	"NN"	"IN"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"write"	"four"	"of"	"fiction"	"about"	"early"	"figure"	"revere"	"in"	"swedish"	"memory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"to"	"the"	"∅"	"value"	"∅_to"	"to_the"	"the_value"	"∅_∅_to"	"∅_to_the"	"to_the_value"	"the_value_of"	"ε"	"ε"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"figure"	"the"	"value"	"of"	"the"	"farm"	"in_terms_of"	"investment"	"income"	"divide"	"the"	"estimated"	"annual"	"net"	"farm"	"income"	"by"	"the"	"percentage"	"that"	"you"	"could"	"expect"	"to"	"get"	"in"	"interest"	"if"	"the"	"money"	"were"	"invest"	"in"	"some"	"way"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"balance_sheet"	"which"	"and"	"management"	"and_balance_sheet"	"balance_sheet_which"	"which_management"	"profit_and_loss_and_balance_sheet"	"and_balance_sheet_which"	"balance_sheet_which_management"	"which_management_can"	"NN"	"CC"	"NN"	"NN"	"WDT"	"NN"	"MD"	"individual"	"in"	"your"	"organization"	"who"	"can"	"shepherd"	"a"	"new"	"product"	"through"	"to"	"commercialization"	"who"	"can"	"develop"	"reliable"	"estimate"	"of"	"sale"	"volume"	"production"	"and"	"distribution_cost"	"and"	"translate"	"the"	"whole"	"profit_and_loss"	"and"	"balance_sheet"	"which"	"management"	"can"	"act_on"	"with"	"some"	"assurance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"expenditure"	"of"	"daily"	"$"	"daily_expenditure"	"expenditure_of"	"of_$"	"average_daily_expenditure"	"daily_expenditure_of"	"expenditure_of_$"	"of_$_29"	"JJ"	"JJ"	"NN"	"NN"	"IN"	"ε"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"compute"	"the"	"cost"	"for"	"two"	"people"	"to"	"by"	"automobile"	"come_up"	"with"	"an"	"average"	"daily"	"expenditure"	"figure"	"of"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"of"	"?"	"set"	"∅"	"set_of"	"of_?"	"?_∅"	"this_set_of"	"set_of_?"	"of_?_∅"	"?_∅_∅"	"DT"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"does"	"the"	"camping"	"do"	"to"	"this"	"set"	"of"	"figure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"some"	"on"	"do"	"a"	"do_some"	"some_on"	"on_a"	"had_do_some"	"do_some_on"	"some_on_a"	"on_a_scrap"	"VBD"	"VB"	"DT"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"do"	"some"	"figure"	"on"	"a"	"scrap"	"of"	"paper"	"and"	"give"	"him"	"the"	"various"	"kind"	"of"	"board"	"and"	"two-by-four"	"which"	"properly"	"handle"	"would"	"he"	"had"	"assure"	"him"	"turn_into"	"a"	"workbench"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
