"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"
"2:41:00::"	"they"	"to"	"and_how"	"the"	"and_how_they"	"they_to"	"to_the"	"be_and_how_they"	"and_how_they_to"	"they_to_the"	"to_the_rest"	"VB"	"RB"	"PRP"	"VB"	"VB"	"DT"	"NN"	"investigations"	"of"	"linguistics"	"and"	"psychiatry"	"have"	"establish"	"in_point_of_fact"	"that"	"no_matter"	"what"	"the"	"subject"	"of"	"conversation"	"be"	"or"	"what"	"words"	"are_involved"	"it"	"be"	"impossible"	"for"	"people"	"to"	"talk"	"at_all"	"without"	"tell"	"over_and_over_again"	"what"	"sort_of"	"people"	"they"	"and_how"	"they"	"to"	"the"	"rest"	"of"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"study"	"to"	"present"	"the"	"present_study"	"study_to"	"to_the"	"the_present_study"	"present_study_to"	"study_to_the"	"to_the_theory"	"DT"	"JJ"	"NN"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"study"	"relate"	"to"	"the"	"theory"	"of"	"functional"	"systems"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"as"	"to"	"so_far"	"the"	"so_far_as"	"as_to"	"to_the"	",_so_far_as"	"so_far_as_to"	"as_to_the"	"to_the_sale"	"ε"	"RB"	"IN"	"VB"	"VB"	"DT"	"NN"	"0"	"information"	"is"	"hereby"	"give"	"that"	"mr._timothy_palmer"	"of"	"newburyport"	"mass."	"has"	"agree"	"to"	"take_charge"	"of"	"the"	"concerns"	"of"	"the"	"patentees"	"of"	"the"	"chain"	"bridge"	"in"	"the"	"states"	"of"	"massachusetts"	"new_hampshire"	"vermont"	"rhode_island"	"and"	"connecticut"	"so_far"	"as"	"relate"	"the"	"sale"	"of"	"patent_rights"	"and"	"the"	"construction"	"of"	"chain"	"bridges"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"applications"	"to"	"any"	"bridges"	"any_applications"	"applications_to"	"to_bridges"	"attend_to_any_applications"	"any_applications_to"	"applications_to_bridges"	"to_bridges_and"	"VB"	"DT"	"NNS"	"VB"	"VB"	"NNS"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr."	"palmer"	"will"	"any"	"applications"	"relate"	"to"	"bridges"	"and"	"if"	"desire"	"will"	"view"	"the"	"proposed"	"site"	"and"	"lay_out"	"and"	"superintend"	"the"	"work"	"or"	"recommend"	"a"	"suitable"	"person"	"to"	"execute"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"more"	"tax_bill"	"directly"	"tax_bill_was"	"was_more"	"more_directly"	"the_tax_bill_was"	"tax_bill_was_more"	"was_more_directly"	"more_directly_to"	"DT"	"NN"	"VB"	"VB"	"RBR"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"tardiness"	"of"	"the"	"administration"	"in"	"make"	"dedication"	"has"	"cause"	"legislators"	"to"	"suspect"	"the"	"tax_bill"	"was"	"relate"	"more"	"directly"	"to"	"an"	"over-all"	"shortage"	"of"	"cash"	"than"	"to"	"segregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"they"	"to"	"as"	"anti-trust"	"as_they"	"they_to"	"to_anti-trust"	"proposals_as_they"	"as_they_to"	"they_to_anti-trust"	"to_anti-trust_law_enforcement"	"NNS"	"IN"	"PRP"	"VB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"congressman_wilbur_d._mills"	"chairman"	"of"	"the"	"house"	"ways"	"and"	"means"	"committee"	"ask"	"the"	"for"	"its"	"views"	"on"	"these"	"legislative"	"proposals"	"as"	"they"	"relate"	"to"	"anti-trust"	"law_enforcement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"robinson"	","	","	"he"	",_robinson"	"robinson_,"	",_he"	"reach_,_robinson"	",_robinson_,"	"robinson_,_he"	",_he_stop"	"VB"	"ε"	"NNP"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"st"	"street"	"reach"	"robinson"	"relate"	"he"	"stop"	"the"	"bus"	"and"	"tell"	"the"	"youths"	"he"	"was"	"go"	"to"	"call"	"the"	"cta"	"supervisor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"question"	"to"	"the"	"their"	"the_question"	"question_to"	"to_their"	"answer_the_question"	"the_question_to"	"question_to_their"	"to_their_efforts"	"VB"	"DT"	"NN"	"VB"	"VB"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"few"	"the"	"question"	"relate"	"to"	"their"	"efforts"	"to"	"assess"	"movable"	"property"	"that"	"the"	"results"	"be"	"inconclusive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"had_to"	"tragedy"	"be"	"tragedy_to"	"to_had_to"	"had_to_be"	"group_tragedy_to"	"tragedy_to_had_to"	"to_had_to_be"	"had_to_be_give"	"JJ"	"NN"	"TO"	"VB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"everyone"	"with"	"a"	"or"	"group"	"tragedy"	"to"	"relate"	"had_to"	"be"	"give"	"his"	"day"	"in"	"court"	"as"	"in"	"some"	"vast"	"collective"	"dirge"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"conference"	"to"	"international"	"saline"	"international_conference"	"conference_to"	"to_saline"	"and_international_conference"	"international_conference_to"	"conference_to_saline"	"to_saline_water"	"CC"	"JJ"	"NN"	"VB"	"VB"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"foster"	"and"	"participate"	"in"	"regional"	"and"	"international"	"conference"	"relate"	"to"	"saline"	"water"	"conversion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
