"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"
"1:26:00::"	"job"	"."	"future"	"∅"	"future_job"	"job_."	"._∅"	"on_future_job"	"future_job_."	"job_._∅"	"._∅_∅"	"IN"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"and"	"local"	"agency"	"the"	"vocational"	"education"	"field"	"must"	"be"	"encourage"	"adopt"	"a"	"wide"	"outlook"	"on"	"future"	"job"	"opportunity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"employment"	"afterwards"	"better"	","	"better_employment"	"employment_afterwards"	"afterwards_,"	"for_better_employment"	"better_employment_afterwards"	"employment_afterwards_,"	"afterwards_,_and"	"IN"	"JJ"	"NN"	"NN"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"training_program"	"in"	"a"	"depressed"	"area"	"may"	"have"	"few"	"enrollee"	"there"	"be"	"some"	"apparent"	"prospect"	"for"	"better"	"employment"	"opportunity"	"afterwards"	"and"	"the"	"prospect"	"may"	"be"	"poor"	"if"	"the"	"training"	"is"	"aim"	"solely"	"at"	"job"	"in"	"the"	"local"	"community"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"employment"	"."	"and"	"∅"	"and_employment"	"employment_."	"._∅"	"job_and_employment"	"and_employment_."	"employment_._∅"	"._∅_∅"	"NN"	"CC"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"choose"	"a"	"location"	"within"	"easy"	"commuting"	"of"	"both"	"the"	"regular"	"job"	"and"	"employment"	"opportunity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"this"	"to"	"than"	"expose"	"than_this"	"this_to"	"to_expose"	"anti-semitism_than_this"	"than_this_to"	"this_to_expose"	"to_expose_the"	"NN"	"IN"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"more"	"could"	"be"	"ask"	"for"	"a"	"trial"	"to"	"warn"	"the"	"world"	"against"	"anti-semitism"	"than"	"this"	"opportunity"	"to"	"expose"	"the"	"exact"	"link"	"between"	"the"	"respectable"	"anti-semite"	"and"	"the"	"concentration_camp"	"brute"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"economic"	"did"	","	"not"	",_economic"	"economic_did"	"did_not"	"1840_,_economic"	",_economic_did"	"economic_did_not"	"did_not_increase"	"CD"	"ε"	"JJ"	"NN"	"VBD"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"population"	"at"	"location"	"increase"	"rapidly"	"from"	"in"	"in"	"economic"	"opportunity"	"did"	"not"	"increase"	"at"	"a"	"similar"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"educational"	"for"	"further"	"out-of-school"	"further_educational"	"educational_for"	"for_out-of-school"	"in_further_educational"	"further_educational_for"	"educational_for_out-of-school"	"for_out-of-school_youth"	"IN"	"VB"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"adult_education"	"course"	"work-study_program"	"of"	"various"	"sort"	"be"	"all"	"evidence"	"of"	"a"	"continuing"	"interest"	"the"	"school"	"in"	"further"	"educational"	"opportunity"	"for"	"out-of-school"	"youth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"to"	"have"	"take"	"have_the"	"the_to"	"to_take"	"person_have_the"	"have_the_to"	"the_to_take"	"to_take_the"	"NNP"	"VB"	"DT"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"opportunity"	"to"	"take"	"the"	"bottle"	"of"	"opium"	"from"	"person"	"room"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"have"	"to"	"he"	"rebut"	"he_have"	"have_to"	"to_rebut"	"and_he_have"	"he_have_to"	"have_to_rebut"	"to_rebut_it"	"CC"	"PRP"	"VB"	"NN"	"TO"	"VB"	"PRP"	"not"	"deny"	"due_process"	"in"	"the"	"administrative"	"proceedings"	"because"	"the"	"statement"	"in_question"	"be"	"in"	"his"	"file"	"to"	"which"	"he"	"have"	"access"	"he"	"have"	"to"	"rebut"	"it"	"both"	"before"	"the"	"hearing_officer"	"of"	"the"	"group"	"and"	"before"	"the"	"appeal_board"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"timely"	","	"him"	"before"	"him_timely"	"timely_,"	",_before"	"give_him_timely"	"him_timely_,"	"timely_,_before"	",_before_its"	"VB"	"PRP"	"JJ"	"NN"	"ε"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"first"	"contend"	"that"	"the"	"group"	"deny"	"procedural"	"due_process"	"by"	"not"	"give"	"him"	"timely"	"opportunity"	"before"	"its"	"final"	"recommendation"	"to"	"the"	"appeal_board"	"to"	"answer"	"the"	"statement"	"of"	"the"	"local"	"board"	"as"	"to"	"his"	"claim"	"of"	"devote"	"hour"	"to"	"actual"	"preaching"	
"1:26:00::"	"ample"	"to"	"have"	"demonstrate"	"have_ample"	"ample_to"	"to_demonstrate"	"child_have_ample"	"have_ample_to"	"ample_to_demonstrate"	"to_demonstrate_their"	"NN"	"VB"	"JJ"	"NN"	"TO"	"VB"	"PRP$"	"individual"	"difference"	"in"	"maturation"	"and"	"the"	"development"	"of"	"readiness"	"for"	"learn"	"to"	"read"	"indicate"	"that"	"not"	"until"	"the"	"third"	"grade"	"have"	"most"	"have"	"ample"	"opportunity"	"to"	"demonstrate"	"their"	"capacity"	"for"	"school"	"achievement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
