"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"
"2:31:01::"	"somehow"	"about"	"had"	"the"	"had_somehow"	"somehow_about"	"about_the"	"that_had_somehow"	"had_somehow_about"	"somehow_about_the"	"about_the_dallas"	"WDT"	"VBD"	"RB"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"even"	"a"	"cable"	"in"	"french"	"a"	"bank"	"in"	"switzerland"	"that"	"had"	"somehow"	"learn"	"about"	"the"	"dallas"	"stock"	"offering"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"we"	"what"	"before"	"it"	"before_we"	"we_what"	"what_it"	"long_before_we"	"before_we_what"	"we_what_it"	"what_it_be"	"JJ"	"IN"	"PRP"	"VB"	"WP"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fruitful"	"course"	"of"	"metropolitanization"	"that"	"you"	"recommend"	"is"	"currently"	"practice"	"by"	"town"	"of"	"east_greenwich"	"and"	"have"	"its"	"inception"	"long"	"before"	"we"	"learn"	"what"	"it"	"be"	"called"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"well"	"which"	"lesson"	"will"	"lesson_well"	"well_which"	"which_will"	"a_lesson_well"	"lesson_well_which"	"well_which_will"	"which_will_increase"	"DT"	"NN"	"RB"	"VB"	"WDT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rather_than"	"view"	"the"	"abortive"	"recovery"	"in"	"as"	"a"	"reason"	"for"	"believe"	"we"	"have"	"lose"	"prospects"	"growth"	"he"	"say"	"it"	"should"	"be"	"view_as"	"a"	"lesson"	"well"	"learn"	"which"	"will"	"increase"	"the"	"probability"	"of"	"substantial"	"improvement"	"in_this"	"recovery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"she"	"belly_dancing"	"say"	"at"	"say_she"	"she_belly_dancing"	"belly_dancing_at"	",_say_she"	"say_she_belly_dancing"	"she_belly_dancing_at"	"belly_dancing_at_family"	"ε"	"VB"	"PRP"	"VB"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jemela"	"surname"	"gerby"	"seem"	"hong_kong"	"oriental"	"but"	"have"	"a"	"spanish"	"father"	"and"	"an"	"indian"	"mother"	"be_born"	"in"	"and"	"educate"	"at"	"holy_cross_academy"	"and"	"textile"	"high_school"	"say"	"she"	"learn"	"belly_dancing"	"at"	"family"	"picnics"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"who"	"the"	"divorcee"	"dance"	"divorcee_who"	"who_the"	"the_dance"	"brazilian_divorcee_who"	"divorcee_who_the"	"who_the_dance"	"the_dance_from"	"JJ"	"NN"	"WP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"marlene"	"surname"	"adamo"	"a"	"brazilian"	"divorcee"	"learn"	"the"	"dance"	"from"	"arabic"	"friends"	"in"	"paris"	"now"	"live"	"on"	"manhattan"	"west_side"	"be"	"about"	"the"	"best"	"belly_dancer"	"work"	"the"	"casbah"	"love"	"it"	"so_much"	"that"	"she"	"dance"	"on"	"her"	"day_off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"have_to"	"to"	"you"	"live"	"you_have_to"	"have_to_to"	"to_live"	"that_you_have_to"	"you_have_to_to"	"have_to_to_live"	"to_live_with_it"	"IN"	"PRP"	"VB"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"it"	"did"	"n't"	"take"	"judy_garland"	"showman"	"long"	"to"	"realize"	"that"	"this"	"sort_of"	"be"	"par"	"for"	"the"	"course"	"at"	"newport"	"and"	"that"	"you"	"have_to"	"learn"	"to"	"live"	"with_it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"to"	"how"	"investors"	"many_of"	"investors_to"	"to_how"	"how_many_of"	"for_investors_to"	"investors_to_how"	"to_how_many_of"	"how_many_of_the"	"IN"	"NNS"	"TO"	"VB"	"WRB"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"going_to"	"take"	"for"	"investors"	"to"	"learn"	"how"	"many_of"	"the"	"toll-road"	"bonds"	"will"	"pay_out"	"in"	"full"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"you"	"this"	"and"	":"	"and_you"	"you_this"	"this_:"	",_and_you"	"and_you_this"	"you_this_:"	"this_:_∅"	"ε"	"CC"	"PRP"	"VB"	"DT"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"secretary_hodges"	"through"	"the"	"plant"	"and"	"you"	"learn"	"this"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"and"	"than"	"listen"	"to"	"listen_and"	"and_than"	"than_to"	"ready_to_listen_and"	"listen_and_than"	"and_than_to"	"than_to_enunciate"	"JJ"	"VB"	"CC"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"impression"	"has"	"nevertheless"	"been"	"give"	"during"	"these"	"three"	"days"	"despite"	"mr._rusk"	"personal"	"popularity"	"that"	"the"	"united_states"	"come"	"to"	"oslo"	"in"	"a"	"somewhat"	"tentative"	"and"	"exploratory"	"frame_of_mind"	"more"	"ready_to"	"listen"	"and"	"learn"	"than"	"to"	"enunciate"	"firm"	"policy"	"on"	"a"	"global"	"scale"	"with"	"detailed"	"application"	"to"	"individual"	"danger"	"spots"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"also"	"to"	"they"	"readjust"	"they_also"	"also_to"	"to_readjust"	"that_they_also"	"they_also_to"	"also_to_readjust"	"to_readjust_to"	"IN"	"PRP"	"RB"	"VB"	"TO"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._marr"	"also"	"have"	"a_number_of"	"parolees"	"to"	"mother"	"watch"	"to"	"see"	"that"	"do"	"not"	"break"	"their"	"parole"	"and"	"that"	"they"	"also"	"learn"	"to"	"readjust"	"to"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
