"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:31:01::"	"were"	"29"	"yorkers"	"th"	"yorkers_were"	"were_29"	"29_th"	"new_yorkers_were"	"yorkers_were_29"	"were_29_th"	"29_th_street"	"NNP"	"NNPS"	"VBD"	"VB"	"CD"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"exchange"	"be"	"not_only"	"but"	"commonplace"	"last"	"in"	"manhattan"	"as"	"more_and_more"	"new"	"yorkers"	"were"	"discover"	"th"	"street"	"and"	"eighth_avenue"	"where"	"half_a_dozen"	"small"	"nightclubs"	"with"	"names"	"like"	"arabian_nights"	"grecian"	"palace"	"and"	"egyptian"	"gardens"	"be"	"the"	"american"	"inpost"	"of"	"belly_dancing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"i"	"that"	"∅"	"the"	"∅_i"	"i_that"	"that_the"	"∅_∅_i"	"∅_i_that"	"i_that_the"	"that_the_girls"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"discover"	"that"	"the"	"girls"	"had"	"shrewdly"	"vacate"	"the"	"kitchen"	"and"	"were"	"play"	"quietly"	"in"	"the"	"living_room"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"be"	"before"	"probably"	"the"	"probably_be"	"be_before"	"before_the"	"will_probably_be"	"probably_be_before"	"be_before_the"	"before_the_marriage"	"MD"	"RB"	"VB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"early"	"approaches"	"be"	"wise"	"understanding"	"and"	"patient"	"satisfactions"	"of"	"marital"	"fulfillment"	"will"	"probably"	"be"	"discover"	"before"	"the"	"marriage"	"be"	"much"	"older"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"in_order_to"	"the"	"attempt"	"ranking"	"attempt_in_order_to"	"in_order_to_the"	"the_ranking"	"were_attempt_in_order_to"	"attempt_in_order_to_the"	"in_order_to_the_ranking"	"the_ranking_of"	"VBD"	"VB"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interviews"	"with"	"members"	"of"	"brandywine"	"population"	"were"	"attempt"	"in_order_to"	"discover"	"the"	"ranking"	"of"	"the"	"various"	"families"	"in"	"the"	"population"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"for"	"how"	"physiology"	"genes"	"physiology_for"	"for_how"	"how_genes"	"and_physiology_for"	"physiology_for_how"	"for_how_genes"	"how_genes_affect"	"CC"	"NN"	"IN"	"VB"	"WRB"	"NNS"	"VB"	"chicago"	"happily"	"find"	"its"	"top"	"scholar"	"in"	"caltech"	"acting"	"dean"	"of"	"the"	"faculty"	"dynamic"	"geneticist_george_wells_beadle"	"who"	"share"	"the"	"nobel_prize"	"in"	"medicine"	"and"	"physiology"	"for"	"how"	"genes"	"affect"	"heredity"	"by"	"control"	"cell"	"chemistry"	"time"	"cover"	"july_14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"you"	"that"	"after"	"fact"	"after_you"	"you_that"	"that_fact"	"but_after_you"	"after_you_that"	"you_that_fact"	"that_fact_,"	"CC"	"IN"	"PRP"	"VB"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"well"	"most_of"	"our"	"fears"	"may"	"unfounded"	"but"	"after"	"you"	"discover"	"that"	"fact"	"you"	"have"	"something"	"else"	"to"	"worry"	"about"	"why"	"then"	"do"	"we"	"have"	"these"	"fears"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"missionary"	"when"	"american"	"he"	"american_missionary"	"missionary_when"	"when_he"	"an_american_missionary"	"american_missionary_when"	"missionary_when_he"	"when_he_came_to"	"DT"	"NNP"	"JJ"	"VB"	"WRB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"last"	"month"	"in"	"an"	"american"	"missionary"	"discover"	"when"	"he"	"came_to"	"pay"	"his"	"hotel_bill"	"that"	"the"	"usual"	"rate"	"had"	"been"	"double"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"to"	"the"	"while"	"crowning"	"while_to"	"to_the"	"the_crowning"	"a_while_to"	"while_to_the"	"to_the_crowning"	"the_crowning_virtue"	"DT"	"RB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"qualities"	"alone"	"however"	"would"	"not"	"account_for"	"their"	"success"	"it"	"take"	"me"	"a"	"while"	"to"	"discover"	"the"	"crowning"	"virtue"	"that"	"complete"	"this"	"company"	"collective"	"personality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"had"	"that"	"she"	"where"	"she_had"	"had_that"	"that_where"	"life_she_had"	"she_had_that"	"had_that_where"	"that_where_there"	"NN"	"PRP"	"VBD"	"VB"	"IN"	"WRB"	"EX"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"early"	"in"	"life"	"she"	"had"	"discover"	"that"	"where"	"there"	"be"	"men"	"there"	"be"	"money"	"and"	"with"	"the"	"two"	"come"	"luxury"	"and"	"liquor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:03::"	"it"	"-"	"targets"	"no"	"targets_it"	"it_-"	"-_no"	"any_targets_it"	"targets_it_-"	"it_-_no"	"-_no_need"	"DT"	"NNS"	"PRP"	"VB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"would"	"be"	"even"	"more"	"valuable"	"because"	"same"	"aircraft"	"could"	"immediately"	"destroy"	"any"	"targets"	"it"	"discover"	"no"	"need"	"to"	"wait"	"for"	"a"	"missile"	"to"	"come"	"all_the_way"	"from"	"the"	"united_states"	"with"	"the"	"chance"	"that"	"the"	"target"	"if"	"it"	"be"	"mobile"	"would"	"be"	"gone"	"0"	"0"	"0"	"0"	"0"	
