"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"1:14:00::"	"the"	","	"of"	"usually"	"of_the"	"the_,"	",_usually"	"minority_of_the"	"of_the_,"	"the_,_usually"	",_usually_located"	"NN"	"IN"	"DT"	"NN"	"ε"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"most"	"state"	"trade"	"and"	"industrial"	"training"	"provide"	"in"	"a"	"minority"	"of"	"the"	"high_school"	"usually"	"located"	"in"	"the"	"larger"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"allow"	"student"	"funds"	"to"	"funds_allow"	"allow_student"	"student_to"	"federal_funds_allow"	"funds_allow_student"	"allow_student_to"	"student_to_gain"	"JJ"	"NN"	"VB"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"formally"	"organized"	"vocational_program"	"by"	"federal"	"funds"	"allow"	"high_school"	"student"	"to"	"gain"	"experience"	"in"	"a"	"field"	"of"	"work"	"which"	"be"	"likely"	"to"	"lead"	"to"	"a"	"full-time"	"job"	"on"	"graduation"	"0"	
"1:14:00::"	"any"	"where"	"in"	"he"	"in_any"	"any_where"	"where_he"	"youth_in_any"	"in_any_where"	"any_where_he"	"where_he_is"	"NN"	"IN"	"DT"	"NN"	"WRB"	"PRP"	"VB"	"later"	"chapter"	"deal"	"with"	"the"	"suburban"	"school"	"i"	"shall"	"discuss"	"the"	"importance"	"of"	"arrange"	"a"	"program"	"for"	"the"	"academically"	"talented"	"and"	"highly"	"gifted"	"youth"	"in"	"where"	"he"	"is"	"find"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"technical"	"."	"or"	"∅"	"or_technical"	"technical_."	"._∅"	"vocational_or_technical"	"or_technical_."	"technical_._∅"	"._∅_∅"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most_of"	"our"	"largest"	"city"	"have"	"or"	"more"	"vocational"	"or"	"technical"	"high_school"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"technical"	"in"	"or"	"the"	"or_technical"	"technical_in"	"in_the"	"vocational_or_technical"	"or_technical_in"	"technical_in_the"	"in_the_large"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"or"	"technical"	"high_school"	"in"	"the"	"large"	"city"	"must"	"be"	"reckon"	"as"	"permanent"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"vocational"	"be"	"new"	"the"	"new_vocational"	"vocational_be"	"be_the"	"a_new_vocational"	"new_vocational_be"	"vocational_be_the"	"be_the_group"	"DT"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"excellent"	"example"	"of"	"a"	"location"	"of"	"a"	"new"	"vocational"	"high_school"	"be"	"the"	"group"	"in"	"chicago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"a"	"football_team"	"for"	","	"for_a"	"a_football_team"	"football_team_,"	"manager_for_a"	"for_a_football_team"	"a_football_team_,"	"football_team_,_and"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ten"	"student"	"manager"	"for"	"a"	"high_school"	"football_team"	"and"	"of"	"these"	"manager"	"a"	"proportion"	"p"	"be"	"licensed"	"driver"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"oklahoma"	","	"in"	"as"	"in_oklahoma"	"oklahoma_,"	",_as"	"principal_in_oklahoma"	"in_oklahoma_,"	"oklahoma_,_as"	",_as_teacher"	"NN"	"IN"	"NN"	"NN"	"ε"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"serve"	"as"	"and"	"principal"	"in"	"oklahoma"	"high_school"	"as"	"teacher"	"and"	"athletic"	"director"	"at"	"group"	"as"	"an"	"instructor"	"at"	"the"	"group"	"and"	"as"	"an"	"associate_professor"	"of"	"education"	"at"	"group"	
"1:14:00::"	"his"	"french_teacher"	","	"."	",_his"	"his_french_teacher"	"french_teacher_."	"person_,_his"	",_his_french_teacher"	"his_french_teacher_."	"french_teacher_._∅"	"NNP"	"ε"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"le"	"petit_dejeuner"	"person"	"say"	"in"	"an"	"accent"	"that"	"credit"	"to"	"person"	"his"	"high_school"	"french_teacher"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"''"	"year"	","	"year_in"	"in_''"	"''_,"	"three_year_in"	"year_in_''"	"in_''_,"	"''_,_he"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"kick"	"about"	"extra_points"	"in"	"try"	"three"	"year"	"in"	"high_school"	"he"	"say"	"and"	"make"	"in_a_row"	"at"	"one"	"time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
