"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"2:33:03::"	"to"	"against"	"try"	"the"	"try_to"	"to_against"	"against_the"	"chamber_of_commerce_try_to"	"try_to_against"	"to_against_the"	"against_the_danger"	"NN"	"VB"	"TO"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"georgia_state"	"try"	"to"	"guard"	"against"	"the"	"danger"	"of"	"eliminate"	"potential"	"candidates"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"then"	"his"	","	"colony"	",_then"	"then_his"	"his_colony"	"indian_war_,_then"	",_then_his"	"then_his_colony"	"his_colony_'s"	"NNP"	"ε"	"RB"	"VB"	"PRP$"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"on"	"a"	"military_mission"	"for"	"his"	"native"	"virginia"	"youthful"	"george_washington"	"touch_off"	"the_french"	"and"	"indian_war"	"then"	"guard"	"his"	"colony"	"frontier"	"as"	"head"	"of"	"its"	"militia"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:03::"	","	","	"operator"	"and"	"operator_,"	",_,"	",_and"	"boiler_operator_,"	"operator_,_,"	",_,_and"	",_and_24"	"NN"	"NN"	"ε"	"NN"	"ε"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"you"	"watch"	"work"	"for"	"boiler"	"operator"	"guard"	"and"	"hour"	"day"	"day"	"week"	"operation"	"in_order"	"to"	"minimize"	"overtime"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:03::"	"to"	"against"	"∅"	"the"	"∅_to"	"to_against"	"against_the"	"∅_∅_to"	"∅_to_against"	"to_against_the"	"against_the_tyranny"	"ε"	"ε"	"TO"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guard"	"against"	"the"	"tyranny"	"of"	"a"	"numerical"	"majority"	"person"	"develop"	"his"	"theory"	"of"	"concurrent"	"majority"	"which"	"he"	"say"	"by"	"give"	"to"	"each"	"portion"	"of"	"the"	"community"	"which"	"may"	"be"	"unequally"	"affected"	"by"	"the"	"action"	"of"	"government"	"a"	"negative"	"on"	"the"	"prevent"	"all"	"partial"	"or"	"local"	"legislation"	
"1:18:03::"	"union"	"appear"	"three"	","	"three_union"	"union_appear"	"appear_,"	"∅_three_union"	"three_union_appear"	"union_appear_,"	"appear_,_carry"	"ε"	"JJ"	"JJ"	"NN"	"VB"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"union"	"guard"	"appear"	"carry"	"their"	"rifle"	"at"	"ready"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:03::"	"the"	"came_to_life"	"∅"	"with"	"∅_the"	"the_came_to_life"	"came_to_life_with"	"∅_∅_the"	"∅_the_came_to_life"	"the_came_to_life_with"	"came_to_life_with_astonishing"	"ε"	"ε"	"DT"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guard"	"came_to_life"	"with"	"astonishing"	"menace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:03::"	"the"	"lower"	"∅"	"their"	"∅_the"	"the_lower"	"lower_their"	"∅_∅_the"	"∅_the_lower"	"the_lower_their"	"lower_their_rifle"	"ε"	"ε"	"DT"	"NN"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"guard"	"lower"	"their"	"rifle"	"and"	"their"	"rifle"	"and"	"peer"	"at"	"person"	"with"	"sullen"	"puzzled"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"to"	"the"	"cat"	"mouse"	"cat_to"	"to_the"	"the_mouse"	"the_cat_to"	"cat_to_the"	"to_the_mouse"	"the_mouse_'"	"DT"	"NN"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"such_as"	"send"	"the"	"to"	"guard"	"the"	"mouse"	"or"	"the"	"falcon"	"to"	"protect"	"the"	"dove"	"or"	"most"	"terribly"	"sharp"	"of"	"all"	"the"	"human_being"	"to"	"save"	"humanity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"nose"	"or"	"a"	"hip_pad"	"a_nose"	"nose_or"	"or_hip_pad"	"have_a_nose"	"a_nose_or"	"nose_or_hip_pad"	"or_hip_pad_but"	"VB"	"DT"	"NN"	"NN"	"CC"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"does"	"n't"	"have"	"a"	"nose"	"guard"	"or"	"hip_pad"	"but"	"he"	"one"	"of"	"the"	"most"	"valuable"	"member"	"of"	"the"	"group"	"team"	"that"	"will"	"be"	"heavily"	"favor"	"saturday"	"over"	"oklahoma"	"in"	"the"	"cotton_bowl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:01::"	"and"	"person"	"him"	"claim"	"him_and"	"and_person"	"person_claim"	"hit_him_and"	"him_and_person"	"and_person_claim"	"person_claim_it"	"VB"	"PRP"	"CC"	"NN"	"NNP"	"VB"	"PRP"	"make"	"themselves"	"a"	"comforting"	"break"	"on"	"the"	"opening"	"kickoff"	"when"	"denver"	"person"	"was"	"jar"	"loose"	"from"	"the"	"ball"	"when"	"person"	"the"	"speedy"	"halfback"	"hit"	"him"	"and"	"person"	"claim"	"it"	"for"	"dallas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
