"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"1:18:03::"	"the"	"when"	"and"	"you"	"and_the"	"the_when"	"when_you"	"person_and_the"	"and_the_when"	"the_when_you"	"when_you_'ve"	"NNP"	"CC"	"DT"	"NN"	"WRB"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"send_out"	"a"	"pickup"	"person"	"and"	"the"	"boy"	"when"	"you"	"get"	"enough"	"to"	"go_on"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"his"	"inside"	"of"	","	"of_his"	"his_inside"	"inside_,"	"three_of_his"	"of_his_inside"	"his_inside_,"	"inside_,_and"	"JJ"	"IN"	"PRP$"	"NN"	"RB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"person"	"did"	"n't"	"like"	"person"	"but"	"with"	"person"	"and"	"three"	"of"	"his"	"boy"	"inside"	"and"	"not"	"likely"	"to"	"come_out"	"and"	"person"	"such"	"a"	"valuable"	"salesman"	"person"	"say"	"all"	"the"	"nuisance"	"and"	"danger"	"of"	"get_in_touch"	"with"	"practically"	"a"	"whole"	"new"	"bunch"	"of"	"boy"	"why"	"did"	"everything"	"have"	"to"	"happen"	"at_once"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"of"	"-"	"bunch"	"why"	"bunch_of"	"of_-"	"-_why"	"new_bunch_of"	"bunch_of_-"	"of_-_why"	"-_why_did"	"JJ"	"NN"	"IN"	"NN"	"ε"	"WRB"	"VBD"	"did"	"n't"	"like"	"person"	"but"	"what"	"with"	"person"	"and"	"three"	"of"	"his"	"boy"	"inside"	"and"	"not"	"likely"	"to"	"come_out"	"and"	"person"	"such"	"a"	"valuable"	"salesman"	"person"	"say"	"all"	"the"	"nuisance"	"and"	"danger"	"of"	"get_in_touch"	"with"	"practically"	"whole"	"new"	"bunch"	"of"	"why"	"did"	"everything"	"have"	"to"	"happen"	"at_once"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"teenage"	"and"	"of"	"girl"	"of_teenage"	"teenage_and"	"and_girl"	"thousand_of_teenage"	"of_teenage_and"	"teenage_and_girl"	"and_girl_to"	"NN"	"IN"	"JJ"	"NN"	"CC"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"group"	"shooting"	"development"	"program"	"announce"	"a"	"new"	"design"	"to"	"expose"	"thousand"	"of"	"teenage"	"boy"	"and"	"girl"	"to"	"the"	"healthy"	"fun"	"enjoy"	"through"	"the"	"participation"	"in"	"the"	"shooting"	"sport"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"for"	"within"	"vocational_program"	"easy"	"vocational_program_for"	"for_within"	"within_easy"	"significant_vocational_program_for"	"vocational_program_for_within"	"for_within_easy"	"within_easy_reach"	"JJ"	"NN"	"IN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"my"	"view"	"there"	"should"	"be"	"school"	"which"	"offer"	"significant"	"vocational_program"	"for"	"boy"	"within"	"easy"	"reach"	"of"	"every"	"family"	"in"	"a"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"my"	"''"	"of"	"."	"of_my"	"my_''"	"''_."	"one_of_my"	"of_my_''"	"my_''_."	"''_._∅"	"JJ"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"my"	"boy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"hearted"	"in"	"best"	"the"	"best_hearted"	"hearted_in"	"in_the"	"the_best_hearted"	"best_hearted_in"	"hearted_in_the"	"in_the_world"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"person"	"sigh"	"the"	"bank"	"president"	"the"	"hearted"	"boy"	"in"	"the"	"world"	"but"	"absentminded"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"person"	"as"	"begin"	"as_a"	"a_person"	"person_begin"	"∅_as_a"	"as_a_person"	"a_person_begin"	"person_begin_the"	"ε"	"IN"	"DT"	"NN"	"NNP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"boy"	"person"	"begin"	"the"	"long"	"process"	"of"	"extract"	"the"	"goodness"	"of"	"the"	"out-of-doors"	"its"	"tang"	"of"	"weather"	"its"	"change"	"of"	"season"	"its"	"variable"	"mood"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"of"	"."	"that"	"∅"	"that_of"	"of_."	"._∅"	"as_that_of"	"that_of_."	"of_._∅"	"._∅_∅"	"IN"	"IN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"percentage"	"of"	"jewish"	"girl"	"who"	"attend"	"be"	"almost"	"as"	"high"	"as"	"that"	"of"	"boy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	","	"among"	"there"	"among_the"	"the_,"	",_there"	"∅_among_the"	"among_the_,"	"the_,_there"	",_there_is"	"ε"	"IN"	"DT"	"NN"	"ε"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"boy"	"there"	"is"	"very"	"little"	"bravado"	"about"	"drinking"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
