"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"
"1:06:00::"	"a"	"of"	"only"	"person"	"only_a"	"a_of"	"of_person"	"probably_only_a"	"only_a_of"	"a_of_person"	"of_person_'s"	"RB"	"RB"	"DT"	"NN"	"IN"	"NNP"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"indian"	"was"	"again"	"raise"	"his"	"bottle"	"but"	"my"	"astonished"	"relief"	"probably"	"only"	"a"	"fraction"	"of"	"person"	"the"	"bottle"	"this"	"time"	"go"	"to"	"the"	"indian"	"lip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"specific"	"be"	"the"	"1"	"the_specific"	"specific_be"	"be_1"	"in_the_specific"	"the_specific_be"	"specific_be_1"	"be_1_:"	"IN"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"pass_through"	"f"	"through"	"deae_cellulose"	"the"	"titer"	"of"	"to"	"wtv"	"in"	"the"	"specific"	"fraction"	"be"	"of"	"the"	"titer"	"before"	"such"	"passage"	"precipitin"	"ring"	"test"	"by"	"person"	"but"	"mere"	"dilution"	"of"	"the"	"conjugate"	"to"	"did"	"not"	"satisfactorily"	"remove"	"nonspecific"	"staining"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"staining"	"."	"nonspecifically"	"∅"	"nonspecifically_staining"	"staining_."	"._∅"	"have_nonspecifically_staining"	"nonspecifically_staining_."	"staining_._∅"	"._∅_∅"	"VB"	"RB"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"both"	"the"	"direct"	"and"	"indirect"	"method"	"staining"	"the"	"conjugate"	"have"	"nonspecifically"	"staining"	"fraction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"milliliter"	"with"	"second"	"sweet_clover"	"second_milliliter"	"milliliter_with"	"with_sweet_clover"	"and_second_milliliter"	"second_milliliter_with"	"milliliter_with_sweet_clover"	"with_sweet_clover_tissue"	"CC"	"JJ"	"NN"	"NN"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"our"	"work"	"the"	"best"	"procedure"	"for"	"remove"	"substance"	"cause"	"nonspecific"	"staining"	"in_order"	"to"	"obtain"	"specific"	"conjugate"	"was"	"to"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"in"	"some"	"case"	"to"	"absorb"	"the"	"first"	"and"	"second"	"milliliter"	"fraction"	"with"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"small"	"of"	"a"	"a"	"a_small"	"small_of"	"of_a"	"worth_a_small"	"a_small_of"	"small_of_a"	"of_a_cent"	"NN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"some"	"time"	"ago"	"person"	"age"	"a"	"diabetic"	"since"	"he"	"be"	"six"	"stop"	"use"	"insulin"	"because"	"he"	"had"	"buy"	"a"	"magic"	"spike"	"a"	"glass"	"tube"	"about"	"the"	"size"	"of"	"pencil"	"fill"	"with"	"barium"	"chloride"	"worth"	"a"	"small"	"of"	"a"	"cent"	"sell"	"by"	"the"	"group"	"of"	"location"	"for"	"as"	"a"	"cure-all"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"contain"	"of"	"antibody"	"of_the"	"the_contain"	"contain_antibody"	"property_of_the"	"of_the_contain"	"the_contain_antibody"	"contain_antibody_of"	"NN"	"IN"	"DT"	"NN"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"present"	"work"	"whole"	"serum"	"have"	"been"	"fractionate"	"by"	"chromatography"	"on"	"deae_cellulose"	"use"	"single"	"gradient"	"similar"	"to"	"describe"	"by"	"person"	"and"	"person"	"and"	"certain"	"chemical"	"and"	"serological"	"property"	"of"	"the"	"fraction"	"contain"	"antibody"	"of"	"the"	"abo"	"and"	"rh"	"system"	"have"	"been"	"describe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"in"	"from"	"determine"	"the"	"determine_in"	"in_from"	"from_the"	"were_determine_in"	"determine_in_from"	"in_from_the"	"from_the_serum"	"VBD"	"VB"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anti"	"a"	"and"	"anti"	"b"	"were"	"determine"	"in"	"fraction"	"from"	"the"	"serum"	"of"	"group"	"a"	"group"	"b"	"or"	"group"	"o"	"donor"	"by"	"the"	"following"	"tube"	"agglutination"	"method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"ml"	"were"	"12"	"collect"	"12_ml"	"ml_were"	"were_collect"	"and_12_ml"	"12_ml_were"	"ml_were_collect"	"were_collect_."	"CC"	"JJ"	"NN"	"NN"	"VBD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"flow_rate"	"of"	"f"	"was"	"and"	"ml"	"fraction"	"were"	"collect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	","	"from"	"identification"	"the"	"identification_,"	",_from"	"from_the"	"protein_identification_,"	"identification_,_from"	",_from_the"	"from_the_column"	"NN"	"NN"	"ε"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"identification"	"fraction"	"from"	"the"	"column"	"were"	"concentrate"	"by"	"pervaporation"	"against"	"a"	"stream"	"of"	"air"	"at"	"c"	"or"	"by"	"negative"	"pressure"	"dialysis"	"in"	"an"	"apparatus"	"which"	"permit"	"simultaneous"	"concentration"	"of"	"the"	"protein"	"and"	"dialysis"	"against"	"isotonic"	"saline"	
"1:27:00::"	"chromatographic"	"concentrated"	"a"	"by"	"a_chromatographic"	"chromatographic_concentrated"	"concentrated_by"	"or_a_chromatographic"	"a_chromatographic_concentrated"	"chromatographic_concentrated_by"	"concentrated_by_negative"	"CC"	"DT"	"JJ"	"NN"	"JJ"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"paper_electrophoresis"	"was"	"to"	"be"	"use"	"for"	"preparation"	"eight"	"of"	"a"	"whole"	"serum"	"sample"	"or"	"a"	"chromatographic"	"fraction"	"concentrated"	"by"	"negative"	"pressure"	"dialysis"	"were"	"run"	"chamber"	"under"	"the"	"condition"	"describe"	"above"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
