"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"
"2:35:00::"	"had"	"regional"	"who"	"leader"	"who_had"	"had_regional"	"regional_leader"	",_who_had"	"who_had_regional"	"had_regional_leader"	"regional_leader_richard_lauchli"	"ε"	"WP"	"VBD"	"VB"	"JJ"	"NN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"maneuvers"	"were"	"hold"	"in_secret"	"after"	"a"	"regional"	"seminar"	"for"	"the"	"minutemen"	"hold"	"in"	"nearby"	"shiloh"	"had"	"been"	"break_up"	"the"	"previous"	"day"	"by"	"deputy_sheriffs"	"who"	"had"	"arrest"	"regional"	"leader"	"richard_lauchli"	"of"	"collinsville"	"ill."	"and"	"seize"	"four"	"operative"	"weapons"	"include"	"a"	"browning"	"machine_gun"	"two"	"browning"	"automatic_rifles"	"and"	"an"	"m-4"	"rifle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"in"	"lawrence_g._huntley"	"phoenix"	"lawrence_g._huntley_was"	"was_in"	"in_phoenix"	"robber_lawrence_g._huntley_was"	"lawrence_g._huntley_was_in"	"was_in_phoenix"	"in_phoenix_,"	"NN"	"NNP"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"wife"	"of"	"bank"	"robber"	"lawrence_g._huntley"	"was"	"arrest"	"in"	"phoenix"	"ariz."	"last"	"week"	"and"	"will"	"be"	"return"	"to"	"portland"	"to"	"face"	"charges"	"of"	"assault"	"and"	"robbery"	"portland"	"detectives"	"say"	"friday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"sunday"	"man"	"after"	"man_was"	"was_sunday"	"sunday_after"	"atlanta_man_was"	"man_was_sunday"	"was_sunday_after"	"sunday_after_break"	"NNP"	"NN"	"VBD"	"VB"	"NNP"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"year-old"	"atlanta"	"was"	"arrest"	"sunday"	"after"	"break"	"into"	"the"	"home"	"of"	"relatives"	"in"	"search"	"of"	"his"	"wife"	"hit"	"his"	"uncle"	"with"	"a"	"rock"	"and"	"assault"	"two"	"police_officers"	"who"	"try"	"to"	"subdue"	"him"	"police"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"they"	"ronald_m._thomas"	"say"	","	"say_they"	"they_ronald_m._thomas"	"ronald_m._thomas_,"	"a._l._crawford_jr._say_they"	"say_they_ronald_m._thomas"	"they_ronald_m._thomas_,"	"ronald_m._thomas_,_of"	"NNP"	"VB"	"PRP"	"VB"	"NNP"	"ε"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"patrolmen_j._w._slate"	"and"	"say"	"they"	"arrest"	"ronald_m._thomas"	"of"	"nakoma_st."	"nw"	"after"	"he"	"assault"	"the"	"officers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"been"	"in"	"have"	"a"	"have_been"	"been_in"	"in_a"	"to_have_been"	"have_been_in"	"been_in_a"	"in_a_mass"	"TO"	"VB"	"VBN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_least"	"americans"	"were"	"to"	"have"	"been"	"arrest"	"in"	"a"	"mass"	"political"	"roundup"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"yesterday"	"on"	"fbi"	"a"	"fbi_yesterday"	"yesterday_on"	"on_a"	"the_fbi_yesterday"	"fbi_yesterday_on"	"yesterday_on_a"	"on_a_perjury"	"DT"	"NNP"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"yesterday"	"arrest"	"on"	"a"	"perjury"	"charge"	"one"	"of"	"the"	"members"	"of"	"the"	"jury"	"that"	"fail"	"to"	"reach"	"a"	"verdict"	"in"	"the"	"freedom_rider"	"bus"	"burn"	"trial"	"four"	"weeks"	"ago"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"was"	"yesterday"	","	"on"	",_was"	"was_yesterday"	"yesterday_on"	"wilmette_,_was"	",_was_yesterday"	"was_yesterday_on"	"yesterday_on_a"	"NNP"	"ε"	"VBD"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"curtis_allen_huff"	"of"	"lake"	"av."	"wilmette"	"arrest"	"yesterday"	"on"	"a"	"suppressed"	"federal"	"warrant"	"charge"	"him"	"with"	"embezzle"	"an"	"undetermined"	"amount_of_money"	"from"	"the"	"first_federal"	"savings_and_loan_association"	"s._dearborn_st."	"where"	"he"	"formerly"	"was"	"employ"	"as"	"an"	"attorney"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"of"	"that"	"person"	"that_the"	"the_of"	"of_person"	"clear_that_the"	"that_the_of"	"the_of_person"	"of_person_was"	"JJ"	"IN"	"DT"	"NN"	"IN"	"NNP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"morning"	"hour"	"become"	"clear"	"that"	"the"	"arrest"	"of"	"person"	"was"	"have"	"no"	"sobering"	"effect"	"upon"	"the"	"man"	"of"	"the"	"somers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"more"	","	"``"	"i"	"``_more"	"more_,"	",_i"	"∅_``_more"	"``_more_,"	"more_,_i"	",_i_fear"	"ε"	"ε"	"JJ"	"NN"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arrest"	"i"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"under"	","	"place"	"and"	"place_under"	"under_,"	",_and"	"be_place_under"	"place_under_,"	"under_,_and"	",_and_now"	"VB"	"VB"	"IN"	"NN"	"ε"	"CC"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"mast"	"was"	"raise"	"person"	"give"	"the"	"for"	"person"	"and"	"person"	"to"	"be"	"place"	"under"	"arrest"	"and"	"now"	"three"	"figure"	"in"	"irons"	"sprawl"	"upon"	"the"	"open"	"deck"	"and"	"terror"	"stalk"	"the"	"somers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
