"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"2:41:00::"	"to"	"research"	"development_command"	"in"	"development_command_to"	"to_research"	"research_in"	"and_development_command_to"	"development_command_to_research"	"to_research_in"	"research_in_procedures"	"CC"	"NNP"	"TO"	"VB"	"NN"	"IN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"period"	"from"	"july"	"through"	"january"	"additional"	"research"	"affiliations"	"were"	"with"	"the"	"u._s._army_medical_research"	"and"	"development_command"	"to"	"conduct"	"research"	"in"	"procedures"	"for"	"quantitative"	"electron_microscopy"	"and"	"for"	"the"	"study"	"of"	"biophysical"	"and"	"biological"	"studies"	"of"	"the"	"structure"	"and"	"function"	"of"	"ocular"	"tissue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"in"	"the"	"∅"	"membership_preparation-inquirers"	"∅_in"	"in_the"	"the_membership_preparation-inquirers"	"∅_∅_in"	"∅_in_the"	"in_the_membership_preparation-inquirers"	"the_membership_preparation-inquirers_'"	"ε"	"ε"	"IN"	"VB"	"DT"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"the"	"membership_preparation-inquirers"	"class"	"the"	"pastor"	"should"	"plan"	"a"	"variety"	"of"	"teaching"	"techniques"	"in_order_to"	"develop"	"greater"	"interest"	"on"	"the"	"part"	"of"	"the"	"class"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"∅"	"examinations"	"∅"	","	"∅_∅"	"∅_examinations"	"examinations_,"	"∅_∅_∅"	"∅_∅_examinations"	"∅_examinations_,"	"examinations_,_use"	"ε"	"ε"	"ε"	"VB"	"NNS"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"examinations"	"use"	"a"	"true-false"	"check"	"sheet"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"children"	"by"	"retarded"	"the"	"retarded_children"	"children_by"	"by_the"	"for_retarded_children"	"retarded_children_by"	"children_by_the"	"by_the_east_greenwich"	"IN"	"JJ"	"NNS"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"education"	"for"	"retarded"	"children"	"conduct"	"by"	"the"	"east_greenwich"	"school_system"	"have"	"pupils"	"from"	"at_least"	"one"	"neighboring"	"community"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"had"	"the"	"he"	"20"	"he_had"	"had_the"	"the_20"	"∅_he_had"	"he_had_the"	"had_the_20"	"the_20_-"	"ε"	"PRP"	"VBD"	"VB"	"DT"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"conduct"	"the"	"piece"	"band"	"in_a_series"	"of"	"concerts"	"at"	"blue_lake"	"park"	"during"	"the"	"summer"	"months"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"headquarters"	"a"	"at"	"guidance"	"at_headquarters"	"headquarters_a"	"a_guidance"	"librarian_at_headquarters"	"at_headquarters_a"	"headquarters_a_guidance"	"a_guidance_program"	"NN"	"IN"	"NN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"system"	"understand"	"that"	"one"	"of"	"its"	"primary"	"responsibilities"	"be"	"to"	"bring_together"	"children"	"books"	"together"	"consequently"	"an"	"experienced"	"children"	"librarian"	"at"	"headquarters"	"conduct"	"a"	"guidance"	"program"	"design"	"to"	"promote"	"well-planned"	"library"	"activities"	"cooperate"	"with"	"the"	"children"	"librarians"	"in"	"member"	"libraries"	"by"	"means"	"of"	"individual"	"conferences"	"workshops"	"and"	"frequent"	"visits"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"also"	"the"	","	"``"	",_also"	"also_the"	"the_``"	"cycle_,_also"	",_also_the"	"also_the_``"	"the_``_leonore"	"NN"	"ε"	"RB"	"VB"	"DT"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._wallenstein"	"who"	"will"	"lead"	"all_of"	"the"	"in"	"the"	"cycle"	"also"	"conduct"	"the"	"leonore"	"overture"	"no."	"and"	"the"	"fourth_symphony"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"who"	"bonn"	","	"'s"	",_who"	"who_bonn"	"bonn_'s"	"volker_wangenheim_,_who"	",_who_bonn"	"who_bonn_'s"	"bonn_'s_sta"	"NNP"	"ε"	"WP"	"VB"	"NNP"	"POS"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"volker_wangenheim"	"conduct"	"bonn"	"sta"	"dtisches"	"orchester"	"on"	"the"	"following"	"evening"	"make"	"one"	"more"	"conscious_of"	"the"	"process"	"of"	"interpretation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"recently"	"the"	"jorda"	"orchestre_philharmonique"	"jorda_recently"	"recently_the"	"the_orchestre_philharmonique"	",_jorda_recently"	"jorda_recently_the"	"recently_the_orchestre_philharmonique"	"the_orchestre_philharmonique_de"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NNP"	"FW"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"his"	"five-month"	"abroad"	"jorda"	"recently"	"conduct"	"the"	"orchestre_philharmonique"	"de"	"bordeau"	"in"	"france"	"and"	"the"	"santa_cecilia_orchestra"	"in"	"rome"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"evegeni_dubovskoi"	"an"	"∅"	"exceptionally"	"∅_evegeni_dubovskoi"	"evegeni_dubovskoi_an"	"an_exceptionally"	"∅_∅_evegeni_dubovskoi"	"∅_evegeni_dubovskoi_an"	"evegeni_dubovskoi_an_exceptionally"	"an_exceptionally_large"	"ε"	"ε"	"NNP"	"VB"	"DT"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"conduct"	"an"	"exceptionally"	"large"	"orchestra"	"one"	"contain"	"excellent"	"soloists"	"the"	"violin"	"solos"	"by"	"the"	"concertmaster"	"guy_lumia"	"be"	"especially"	"fine"	"but"	"one"	"in_which"	"the"	"core"	"of"	"traveling"	"players"	"and"	"the"	"body"	"of"	"men"	"add"	"locally"	"had"	"not"	"have"	"time"	"to"	"achieve"	"much"	"unity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
