"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"
"2:37:00::"	"need"	"being"	"maris"	"classify"	"maris_need"	"need_being"	"being_classify"	"nor_maris_need"	"maris_need_being"	"need_being_classify"	"being_classify_an"	"CC"	"NNP"	"VB"	"VB"	"VBG"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"neither"	"mantle"	"maris"	"need"	"fear"	"being"	"classify"	"an"	"intellectual"	"but"	"lately"	"mantle"	"has"	"show"	"unusual"	"devotion"	"to"	"an"	"intellectual"	"opus"	"henry_miller"	"tropic_of_cancer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:03::"	"to"	"in"	"nothing"	"world"	"nothing_to"	"to_in"	"in_world"	"have_nothing_to"	"nothing_to_in"	"to_in_world"	"in_world_competition"	"VB"	"NN"	"TO"	"VB"	"IN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"peterson"	"say"	"have"	"nothing"	"to"	"fear"	"in"	"world"	"competition"	"if"	"it"	"dare"	"to"	"be"	"original"	"in"	"both"	"marketing"	"and"	"product"	"ideas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:03::"	"to"	"failure"	"reason"	","	"reason_to"	"to_failure"	"failure_,"	"no_reason_to"	"reason_to_failure"	"to_failure_,"	"failure_,_but"	"DT"	"NN"	"TO"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"have"	"reason"	"to"	"fear"	"failure"	"but"	"we"	"must"	"be"	"extraordinarily"	"patient"	"the"	"assistant"	"secretary"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"all"	"the"	";"	"supposed"	";_all"	"all_the"	"the_supposed"	"terms_;_all"	";_all_the"	"all_the_supposed"	"the_supposed_stigma"	"NNS"	"ε"	"DT"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rationale"	"for"	"this"	"avoidance"	"was"	"frequently"	"express"	"in"	"economic"	"terms"	"all"	"fear"	"the"	"supposed"	"stigma"	"they"	"believe"	"would"	"inevitably"	"attach_to"	"any"	"realtor"	"who"	"openly"	"introduce"	"non-white"	"particularly"	"negro"	"peoples"	"into"	"all-white"	"restricted"	"areas"	"0"	
"2:37:03::"	"who"	"that"	","	"the"	",_who"	"who_that"	"that_the"	"police_,_who"	",_who_that"	"who_that_the"	"that_the_throng"	"NN"	"ε"	"WP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"go_home"	"happy"	"except"	"newport"	"police"	"who"	"fear"	"that"	"the"	"throng"	"depart"	"at"	"might"	"meet"	"head-on"	"the"	"night"	"crowd"	"draw"	"nigh"	"and"	"those"	"deprived_of"	"their"	"happy_hour"	"at"	"the"	"cocktail"	"bar"	"0"	"0"	"0"	
"2:37:03::"	"shall"	"to"	"never"	"negotiate"	"never_shall"	"shall_to"	"to_negotiate"	"we_never_shall"	"never_shall_to"	"shall_to_negotiate"	"to_negotiate_''"	"PRP"	"RB"	"MD"	"VB"	"TO"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"be"	"right"	"when"	"he"	"say"	"we"	"shall"	"never"	"out"	"of"	"fear"	"and"	"we"	"never"	"shall"	"fear"	"to"	"negotiate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:03::"	"communist_russia"	"the"	"that"	"resurgence"	"that_communist_russia"	"communist_russia_the"	"the_resurgence"	"be_that_communist_russia"	"that_communist_russia_the"	"communist_russia_the_resurgence"	"the_resurgence_of"	"VB"	"IN"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"truth"	"that"	"communist_russia"	"fear"	"the"	"resurgence"	"of"	"german"	"militarism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"to"	"these"	"reason"	"trees"	"reason_to"	"to_these"	"these_trees"	"no_reason_to"	"reason_to_these"	"to_these_trees"	"these_trees_that"	"DT"	"NN"	"TO"	"VB"	"DT"	"NNS"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"she"	"no"	"reason"	"to"	"fear"	"these"	"trees"	"that"	"whisper"	"their"	"secrets"	"above"	"her"	"head"	"as"	"she"	"pass"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"i"	"?"	"shall"	"∅"	"shall_i"	"i_?"	"?_∅"	"whom_shall_i"	"shall_i_?"	"i_?_∅"	"?_∅_∅"	"WP"	"MD"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"lord"	"be"	"my"	"light"	"and"	"salvation"	"whom"	"shall"	"i"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"and"	"ghosts"	"hope"	"."	"hope_and"	"and_ghosts"	"ghosts_."	",_hope_and"	"hope_and_ghosts"	"and_ghosts_."	"ghosts_._∅"	"ε"	"VB"	"CC"	"VB"	"NNS"	"ε"	"ε"	"suddenly"	"a"	"night"	"of"	"savage"	"moonlight"	"and"	"scudding"	"clouds"	"when"	"she"	"and"	"adelia"	"having"	"dare"	"each"	"had"	"steal"	"out"	"of"	"their"	"great"	"safe"	"house"	"and"	"come"	"here"	"hand_in_hand"	"hope"	"and"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
