"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"
"2:30:00::"	"was"	"with"	"it"	"malice"	"it_was"	"was_with"	"with_malice"	"like_it_was"	"it_was_with"	"was_with_malice"	"with_malice_aforethought"	"IN"	"PRP"	"VBD"	"VB"	"IN"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"deal"	"at"	"las_putas_buenas"	"where"	"the"	"two"	"knife-men"	"jump"	"you"	"say"	"with"	"interest"	"that"	"sound"	"like"	"it"	"was"	"set_up"	"with"	"malice"	"aforethought"	"by"	"the"	"luscious"	"mrs._peralta"	"does"	"n't"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"the"	"of"	"to"	"a"	"to_the"	"the_of"	"of_a"	"agree_to_the"	"to_the_of"	"the_of_a"	"of_a_communist"	"VB"	"TO"	"DT"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"geneva"	"in"	"to"	"get"	"the"	"war"	"in"	"indo-china"	"settled"	"the_british"	"and"	"french"	"give_in"	"russian"	"and"	"communist"	"chinese"	"demands"	"and"	"agree"	"to"	"the"	"set_up"	"of"	"a"	"communist"	"state"	"north"	"viet_nam"	"which"	"then"	"predictably"	"become"	"a"	"base"	"for"	"communist"	"operations"	"against"	"neighboring"	"south"	"viet_nam"	"and"	"laos"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"and"	"them"	"ring"	"up"	"ring_and"	"and_them"	"them_up"	"the_ring_and"	"ring_and_them"	"and_them_up"	"them_up_,"	"DT"	"NN"	"CC"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"the"	"juniors"	"enter"	"the"	"ring"	"the"	"steward"	"announce"	"after_all"	"juniors"	"had"	"move"	"their"	"dogs"	"around"	"the"	"ring"	"and"	"set_up"	"them"	"up"	"they"	"could"	"relax"	"with"	"their"	"dogs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:02::"	"be"	"for"	"class"	"the"	"class_be"	"be_for"	"for_the"	"a_class_be"	"class_be_for"	"be_for_the"	"for_the_juniors"	"DT"	"NNP"	"VB"	"VB"	"IN"	"DT"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"been"	"suggest"	"that"	"a"	"class"	"be"	"set_up"	"for"	"the"	"juniors"	"who"	"be"	"overage"	"and"	"cannot"	"enter"	"the"	"junior_classes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"in"	"an"	"interested"	"international"	"interested_in"	"in_an"	"an_international"	"mainly_interested_in"	"interested_in_an"	"in_an_international"	"an_international_inspection"	"RB"	"JJ"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"united_states"	"state_department"	"officials"	"explain"	"be"	"mainly"	"interested"	"in"	"set_up"	"an"	"international"	"inspection"	"system"	"which"	"will"	"prevent"	"laos"	"from"	"being"	"use"	"as"	"a"	"base"	"for"	"communist"	"attacks"	"on"	"neighboring"	"thailand"	"and"	"south"	"viet_nam"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"to"	"a"	"∅"	"co-operative"	"∅_to"	"to_a"	"a_co-operative"	"∅_∅_to"	"∅_to_a"	"to_a_co-operative"	"a_co-operative_library"	"ε"	"ε"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"set_up"	"a"	"co-operative"	"library"	"system"	"the"	"law"	"require"	"a"	"central"	"book"	"collection"	"of"	"nonfiction"	"volumes"	"as"	"the"	"nucleus"	"and"	"the"	"system"	"is"	"organize"	"around"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:03::"	"we"	"."	"shockwave"	"∅"	"shockwave_we"	"we_."	"._∅"	"the_shockwave_we"	"shockwave_we_."	"we_._∅"	"._∅_∅"	"DT"	"NN"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"then"	"maybe"	"it"	"the"	"shockwave"	"we"	"set_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"field_tent"	"for"	"the"	"the"	"the_field_tent"	"field_tent_for"	"for_the"	"under_the_field_tent"	"the_field_tent_for"	"field_tent_for_the"	"for_the_guests"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"NNS"	"leave"	"the"	"bandstand"	"to"	"return"	"to"	"his"	"office"	"the"	"slender"	"sun-tanned"	"chief_executive"	"pause"	"along"	"the"	"way"	"to"	"shake_hands"	"with"	"the"	"members"	"of"	"the"	"audience"	"in"	"wheel"	"chairs"	"form"	"the"	"first"	"row"	"under"	"field_tent"	"for"	"the"	"guests"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"are"	"on"	"transom"	"the"	"transom_are"	"are_on"	"on_the"	"and_transom_are"	"transom_are_on"	"are_on_the"	"on_the_jig"	"CC"	"NN"	"VBP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"the"	"and"	"transom"	"are"	"set_up"	"on"	"the"	"jig"	"and"	"temporarily"	"brace"	"a_piece"	"of"	"three-inch-wide"	"mahogany"	"only"	"widths"	"will"	"be"	"give"	"since"	"the"	"inch"	"thickness"	"is"	"use"	"throughout"	"is"	"butt"	"between"	"frames"	"one"	"and"	"two"	"below"	"the"	"line"	"of"	"the"	"keelson"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"has"	"at_least"	"situation"	"a"	"situation_has"	"has_at_least"	"at_least_a"	"proxy_situation_has"	"situation_has_at_least"	"has_at_least_a"	"at_least_a_partial"	"NN"	"NN"	"VBZ"	"VB"	"RB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"this"	"situation"	"has"	"set_up"	"at_least"	"a"	"partial"	"barrier"	"between"	"the"	"medium"	"esp"	"and"	"the"	"absent"	"sitter"	"mind"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
