"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"4:02:00::"	"discuss"	"."	"are"	"∅"	"are_discuss"	"discuss_."	"._∅"	"equipment_are_discuss"	"are_discuss_."	"discuss_._∅"	"._∅_∅"	"NN"	"VBP"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"general"	"requirement"	"for"	"land"	"labor"	"equipment"	"are"	"discuss"	"below"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"discuss"	"be"	"∅"	"some"	"∅_discuss"	"discuss_be"	"be_some"	"∅_∅_discuss"	"∅_discuss_be"	"discuss_be_some"	"be_some_of"	"ε"	"ε"	"VB"	"RB"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"below"	"be"	"some"	"of"	"the"	"main"	"thing"	"to"	"look_for"	"when"	"you"	"select"	"a"	"part-time"	"farm"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"from"	","	"approach"	"the"	"approach_from"	"from_,"	",_the"	"the_approach_from"	"approach_from_,"	"from_,_the"	",_the_side"	"DT"	"NN"	"IN"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"rapid"	"rate"	"closure"	"the"	"approach"	"from"	"below"	"the"	"side"	"and"	"ahead"	"there"	"would"	"be"	"only"	"a"	"moment"	"when"	"damage"	"could"	"be"	"do"	
"4:02:06::"	"street"	"."	"busy"	"∅"	"busy_street"	"street_."	"._∅"	"the_busy_street"	"busy_street_."	"street_._∅"	"._∅_∅"	"DT"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reach"	"the"	"porch"	"rail"	"beyond"	"view"	"of"	"the"	"window"	"he"	"feverishly"	"scan"	"the"	"busy"	"street"	"below"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	","	"describe"	"1"	"this"	"1_,"	",_describe"	"describe_this"	"part_1_,"	"1_,_describe"	",_describe_this"	"describe_this_abstract"	"NN"	"JJ"	"ε"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"part"	"describe"	"this"	"abstract"	"model"	"by"	"spell_out"	"its"	"assumption"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	","	","	"2"	"find"	"2_,"	",_,"	",_find"	"part_2_,"	"2_,_,"	",_,_find"	",_find_it"	"NN"	"JJ"	"ε"	"RB"	"ε"	"VB"	"PRP"	"model"	"then"	"the"	"industry"	"is"	"presume"	"to"	"realize"	"that"	"they"	"could"	"successfully"	"resist"	"a"	"change"	"in"	"the"	"basic"	"wage"	"rate"	"but"	"since"	"such"	"a"	"change"	"be"	"the"	"only"	"effective"	"means"	"to"	"raise"	"price"	"they"	"may"	"in"	"circumstance"	"to"	"be"	"spell_out"	"part"	"below"	"find"	"to"	"their"	"advantage"	"to"	"allow"	"the"	"wage"	"rise"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"ballroom"	","	"the"	"the"	"the_ballroom"	"ballroom_,"	",_the"	"in_the_ballroom"	"the_ballroom_,"	"ballroom_,_the"	",_the_dark"	"IN"	"DT"	"NN"	"RB"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"ballroom"	"below"	"the"	"dark"	"had"	"give_way"	"to"	"moonlight"	"come_in"	"through"	"the"	"bank"	"of"	"french_window"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"see"	"him"	","	"the"	",_see"	"see_him"	"him_the"	"air_,_see"	",_see_him"	"see_him_the"	"him_the_long"	"NN"	"ε"	"VB"	"RB"	"PRP"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_york"	"lie"	"bleach"	"in"	"the"	"summer"	"sun"	"and"	"the"	"fish_hawk"	"fly"	"in"	"the"	"heated"	"air"	"see"	"below"	"him"	"the"	"long"	"triangular"	"wedge"	"of"	"location"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"sound"	"in"	"hear"	"the"	"hear_sound"	"sound_in"	"in_the"	"they_hear_sound"	"hear_sound_in"	"sound_in_the"	"in_the_street"	"PRP"	"VB"	"NN"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"through"	"the"	"open"	"they"	"hear"	"sound"	"below"	"in"	"the"	"street"	"cartwheel"	"a"	"tired"	"horse"	"plodding"	"step"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"discuss"	"("	"is"	"pp."	"is_discuss"	"discuss_("	"(_pp."	"iodocompound_is_discuss"	"is_discuss_("	"discuss_(_pp."	"(_pp._76"	"NN"	"VBZ"	"VB"	"RB"	"ε"	"NNS"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"chemical"	"nature"	"the"	"iodocompound"	"is"	"discuss"	"below"	"pp."	"et_seq."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
