"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"
"2:31:02::"	"was"	"to"	"miss_margaret_pierson"	"rule"	"miss_margaret_pierson_was"	"was_to"	"to_rule"	",_miss_margaret_pierson_was"	"miss_margaret_pierson_was_to"	"was_to_rule"	"to_rule_over"	"ε"	"NNP"	"VBD"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"achaeans"	"entertain"	"wednesday"	"last"	"their"	"annual"	"carnival"	"masquerade_ball"	"miss_margaret_pierson"	"was"	"choose"	"to"	"rule"	"over"	"the"	"festivities"	"present"	"at"	"the"	"muncipal_auditorium"	"and"	"choose"	"as"	"her"	"ladies"	"in"	"waiting"	"be"	"misses"	"clayton_nairne"	"eleanor_eustis"	"lynn_chapman"	"irwin_leatherman"	"of"	"robinsonville"	"miss."	"and"	"helene_rowley"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"and"	"as"	"muncipal_auditorium"	"her"	"muncipal_auditorium_and"	"and_as"	"as_her"	"the_muncipal_auditorium_and"	"muncipal_auditorium_and_as"	"and_as_her"	"as_her_ladies"	"DT"	"NNP"	"CC"	"VB"	"IN"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"the"	"achaeans"	"entertain"	"wednesday"	"last"	"at"	"their"	"annual"	"carnival"	"masquerade_ball"	"miss_margaret_pierson"	"choose"	"to"	"rule"	"over"	"the"	"festivities"	"present"	"at"	"the"	"muncipal_auditorium"	"and"	"choose"	"as"	"her"	"ladies"	"in"	"waiting"	"be"	"misses"	"clayton_nairne"	"eleanor_eustis"	"lynn_chapman"	"irwin_leatherman"	"of"	"robinsonville"	"miss."	"and"	"helene_rowley"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"mrs._g._henry_pierson_jr."	"a"	","	"white"	",_mrs._g._henry_pierson_jr."	"mrs._g._henry_pierson_jr._a"	"a_white"	"queen_,_mrs._g._henry_pierson_jr."	",_mrs._g._henry_pierson_jr._a"	"mrs._g._henry_pierson_jr._a_white"	"a_white_brocade"	"NN"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"mother"	"of"	"queen"	"mrs._g._henry_pierson_jr."	"choose"	"a"	"white"	"brocade"	"gown"	"make"	"on"	"slim"	"lines"	"with"	"panels"	"of"	"tomato-red"	"and"	"bright"	"green"	"satin"	"extend"	"down"	"the"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"has"	"to"	"he"	"be"	"he_has"	"has_to"	"to_be"	"that_he_has"	"he_has_to"	"has_to_be"	"to_be_the"	"IN"	"PRP"	"VBZ"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state_controller_arthur_levitt"	"on_the_other_hand"	"cannot"	"effectively"	"that"	"he"	"has"	"choose"	"to"	"be"	"the"	"candidate"	"of"	"those"	"party"	"leaders"	"who"	"as"	"a"	"rule"	"have"	"show"	"livelier"	"interest"	"in"	"political"	"power"	"than"	"in"	"the"	"city"	"welfare"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"as"	","	"international_champion"	",_was"	"was_as"	"as_international_champion"	"irish_setter_,_was"	",_was_as"	"was_as_international_champion"	"as_international_champion_of"	"NN"	"ε"	"VBD"	"VB"	"IN"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"betty_lou_ham"	"age"	"holyoke"	"mass."	"show"	"an"	"was"	"choose"	"as"	"international_champion"	"of"	"the"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"had"	"catatonia"	"they"	"because"	"they_had"	"had_catatonia"	"catatonia_because"	";_they_had"	"they_had_catatonia"	"had_catatonia_because"	"catatonia_because_of"	"ε"	"PRP"	"VBD"	"VB"	"NNP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"had"	"buy"	"their"	"house"	"in"	"catatonia"	"after"	"investigate"	"the"	"regions"	"of"	"suburbia"	"surrounding"	"new_york"	"they"	"had"	"choose"	"catatonia"	"because"	"of"	"its"	"reputation"	"for"	"excellent"	"schools"	"beaches"	"and"	"abundance"	"of"	"names"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"leningrad_state_kirov_ballet"	"tonight"	"the"	"to"	"the_leningrad_state_kirov_ballet"	"leningrad_state_kirov_ballet_tonight"	"tonight_to"	",_the_leningrad_state_kirov_ballet"	"the_leningrad_state_kirov_ballet_tonight"	"leningrad_state_kirov_ballet_tonight_to"	"tonight_to_give"	"ε"	"DT"	"NNP"	"VB"	"RB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"its"	"final"	"change"	"of"	"bill"	"its"	"london"	"season"	"the"	"leningrad_state_kirov_ballet"	"choose"	"tonight"	"to"	"give"	"one"	"of"	"those"	"choreographic"	"miscellanies"	"known"	"as"	"a"	"gala"	"program"	"at"	"the"	"royal"	"opera_house"	"covent_garden"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"party"	"to"	"the"	"lead"	"the_party"	"party_to"	"to_lead"	"candidate_the_party"	"the_party_to"	"party_to_lead"	"to_lead_it"	"NN"	"DT"	"NN"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"platforms"	"be"	"meaningless"	"the"	"program"	"of"	"either"	"party"	"be"	"what"	"the"	"vision"	"and"	"conscience"	"of"	"the"	"candidate"	"the"	"party"	"choose"	"to"	"lead"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"was"	"because"	"library"	"of"	"library_was"	"was_because"	"because_of"	"center_library_was"	"library_was_because"	"was_because_of"	"because_of_its"	"NN"	"NN"	"VBD"	"VB"	"IN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"subject"	"library"	"was"	"choose"	"because"	"of"	"its"	"demonstrated"	"strength"	"in"	"a"	"particular"	"area"	"which"	"headquarters"	"could"	"then"	"build"	"upon"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"in"	"a"	"as"	"wife"	"as_in"	"in_a"	"a_wife"	"∅_as_in"	"as_in_a"	"in_a_wife"	"a_wife_,"	"ε"	"IN"	"IN"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"choose"	"a"	"wife"	"it"	"be"	"only"	"sensible"	"to"	"consider"	"also"	"how"	"appealing"	"a"	"pool"	"is_likely"	"to"	"be"	"in"	"bad_weather"	"as_well"	"as"	"in"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"now"	"apartments"	"those"	","	"those_now"	"now_apartments"	"apartments_,"	"among_those_now"	"those_now_apartments"	"now_apartments_,"	"apartments_,_leo_j._pantas"	"IN"	"DT"	"RB"	"VB"	"NNS"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"economic"	"and"	"personal"	"vary"	"widely"	"among"	"those"	"now"	"choose"	"apartments"	"leo_j._pantas"	"vice_president"	"of"	"a"	"hardware"	"manufacturing"	"company"	"point_out"	"recently"	"that"	"many"	"apartment"	"seekers"	"seem"	"to"	"have"	"one"	"characteristic"	"in"	"common"	"a"	"desire"	"for"	"greater"	"convenience"	"and"	"freedom"	"from"	"the"	"problems"	"involve"	"in"	"maintain"	"a"	"house"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"you"	"to"	"whether"	"agree"	"whether_you"	"you_to"	"to_agree"	",_whether_you"	"whether_you_to"	"you_to_agree"	"to_agree_with"	"ε"	"IN"	"PRP"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._linus_pauling"	"a"	"nobel_prize"	"winner"	"in"	"chemistry"	"has"	"less"	"ambiguous"	"whether"	"you"	"choose"	"to"	"agree"	"with"	"him"	"or"	"not"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"between"	"a"	"distinguish"	"great"	"distinguish_between"	"between_a"	"a_great"	"by_distinguish_between"	"distinguish_between_a"	"between_a_great"	"a_great_evil"	"IN"	"VB"	"IN"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"of"	"the"	"replies"	"to"	"mr._toynbee"	"without"	"conscious"	"resort"	"to"	"the"	"traditional"	"terminology"	"with"	"regard_to"	"the"	"permission"	"of"	"evil"	"succeed"	"in"	"restore"	"the"	"actual"	"context"	"in_which"	"present"	"moral"	"and"	"political"	"decisions"	"must"	"be"	"by"	"distinguish"	"between"	"choose"	"a"	"great"	"evil"	"and"	"choose"	"in"	"danger"	"of_this"	"evil"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"and"	"in"	"evil"	"danger"	"evil_and"	"and_in"	"in_danger"	"great_evil_and"	"evil_and_in"	"and_in_danger"	"in_danger_of_this"	"JJ"	"JJ"	"CC"	"VB"	"IN"	"NN"	"RB"	"the"	"replies"	"to"	"mr._toynbee"	"without"	"conscious"	"resort"	"to"	"the"	"traditional"	"terminology"	"with"	"regard_to"	"the"	"permission"	"of"	"evil"	"succeed"	"in"	"restore"	"the"	"actual"	"context"	"in_which"	"present"	"moral"	"and"	"political"	"decisions"	"must"	"be"	"make"	"by"	"distinguish"	"between"	"choose"	"a"	"great"	"evil"	"and"	"in"	"danger"	"of_this"	"evil"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"life"	"by"	"of"	"the"	"of_life"	"life_by"	"by_the"	"style_of_life"	"of_life_by"	"life_by_the"	"by_the_beat_generation"	"NN"	"IN"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"life"	"choose"	"by"	"the"	"beat_generation"	"the"	"rhythm"	"and"	"ritual"	"they"	"have"	"adopt"	"as"	"uniquely"	"their"	"own"	"is"	"design"	"to"	"enhance"	"the"	"value"	"of"	"the"	"sexual"	"experience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"manufacturers"	"to"	"two"	"take"	"two_manufacturers"	"manufacturers_to"	"to_take"	",_two_manufacturers"	"two_manufacturers_to"	"manufacturers_to_take"	"to_take_the"	"ε"	"CD"	"NNS"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"there"	"has"	"be"	"some"	"avant_garde"	"indication"	"that"	"contemporary"	"furniture"	"might"	"go_back"	"to"	"boxy"	"look"	"of"	"the"	"and"	"two"	"manufacturers"	"choose"	"to"	"take"	"the"	"approach"	"of"	"the"	"sophisticated"	"but"	"warm"	"look"	"in"	"contemporary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:02::"	"he"	"-"	"but"	"usually"	"but_he"	"he_-"	"-_usually"	",_but_he"	"but_he_-"	"he_-_usually"	"-_usually_-"	"ε"	"CC"	"PRP"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"things"	"be"	"god"	"but"	"he"	"choose"	"usually"	"to"	"work"	"through"	"people"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"be"	"the"	"will"	"republican_party"	"will_be"	"be_the"	"the_republican_party"	"jones_will_be"	"will_be_the"	"be_the_republican_party"	"the_republican_party_'s"	"NNP"	"MD"	"VB"	"VB"	"DT"	"NN"	"POS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sandman"	"tell"	"the"	"gathering"	"that"	"reports"	"from"	"workers"	"on"	"local"	"level"	"all_over"	"the"	"state"	"indicate"	"that"	"jones"	"will"	"be"	"choose"	"the"	"republican_party"	"nominee"	"with"	"the"	"largest"	"majority"	"give"	"a"	"candidate"	"in"	"recent"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"should"	"louis"	"liberals"	"14"	"liberals_should"	"should_louis"	"louis_14"	"that_liberals_should"	"liberals_should_louis"	"should_louis_14"	"louis_14_,"	"IN"	"NNPS"	"MD"	"VB"	"NNP"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"truly"	"that"	"should"	"choose"	"louis"	"as"	"a"	"bogey-symbol"	"of"	"conservatism"	"be"	"grotesquely"	"ironic"	"consider"	"the"	"louis"	"character"	"of"	"their"	"grand"	"monarque"	"fdr"	"not_only"	"in"	"his"	"accretion"	"of"	"absolute"	"power"	"and"	"personal"	"deification"	"le"	"roi"	"gouverne"	"par"	"lui"	"meme"	"but"	"in"	"the"	"disastrous"	"effects"	"of"	"his"	"spending"	"and"	"war"	"policies"	
"2:31:00::"	"should"	"the"	"general"	"bolder"	"general_should"	"should_the"	"the_bolder"	"a_general_should"	"general_should_the"	"should_the_bolder"	"the_bolder_''"	"DT"	"NN"	"MD"	"VB"	"DT"	"JJR"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"in"	"doubt"	"as"	"to"	"two"	"of"	"action"	"a"	"general"	"should"	"choose"	"the"	"bolder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
