"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"
"2:32:00::"	"can"	"to"	"you"	"the"	"you_can"	"can_to"	"to_the"	"feel_you_can"	"you_can_to"	"can_to_the"	"to_the_next"	"VB"	"PRP"	"MD"	"VB"	"TO"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"you"	"you"	"can"	"stand_up"	"to"	"the"	"next"	"legislative"	"session"	"and"	"defend"	"this"	"contract"	"ask"	"mrs._grace_o._peck"	"representative"	"from"	"multnomah_county"	"of"	"the"	"commission"	"chairman"	"joseph_e._harvey_jr."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"barton"	"."	"∅"	"∅"	"∅_barton"	"barton_."	"._∅"	"∅_∅_barton"	"∅_barton_."	"barton_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stand_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"and"	"∅"	"thank"	"∅_he"	"he_and"	"and_thank"	"∅_∅_he"	"∅_he_and"	"he_and_thank"	"and_thank_her"	"ε"	"ε"	"PRP"	"VB"	"CC"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stand_up"	"and"	"thank"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"discoverer"	"and"	"the"	"beckon"	"the_discoverer"	"discoverer_and"	"and_beckon"	",_the_discoverer"	"the_discoverer_and"	"discoverer_and_beckon"	"and_beckon_to"	"ε"	"DT"	"NN"	"VB"	"CC"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"a"	"lordly"	"and"	"gesture"	"the"	"discoverer"	"stand_up"	"and"	"beckon"	"to"	"the"	"closest"	"of"	"his"	"fellows"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	","	"well"	"vigorous"	"under"	"vigorous_,"	",_well"	"well_under"	"also_vigorous_,"	"vigorous_,_well"	",_well_under"	"well_under_the"	"RB"	"JJ"	"ε"	"VB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"brahm"	"sonata"	"in"	"a"	"although"	"vigorous"	"stand_up"	"well"	"under"	"the"	"two"	"artists"	"strong"	"large-scale"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"you"	"in_public"	"when"	"and"	"when_you"	"you_in_public"	"in_public_and"	"``_when_you"	"when_you_in_public"	"you_in_public_and"	"in_public_and_take"	"ε"	"WRB"	"PRP"	"VB"	"RB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"stand_up"	"in_public"	"and"	"take"	"vows"	"to"	"strive"	"to"	"set"	"an"	"example"	"before"	"your"	"children"	"and"	"to"	"teach"	"them"	"the"	"fundamentals"	"of"	"the"	"christian"	"faith"	"you"	"strive"	"a_little"	"harder"	"to"	"uphold"	"those"	"vows"	"explain"	"the"	"slender"	"vice_president"	"of"	"the"	"young"	"couples"	"sunday_school_class"	
"2:38:00::"	"person"	"."	"∅"	"∅"	"∅_person"	"person_."	"._∅"	"∅_∅_person"	"∅_person_."	"person_._∅"	"._∅_∅"	"ε"	"ε"	"NNP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stand_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"person"	"abruptly"	"∅"	","	"∅_person"	"person_abruptly"	"abruptly_,"	"∅_∅_person"	"∅_person_abruptly"	"person_abruptly_,"	"abruptly_,_then"	"ε"	"ε"	"NNP"	"VB"	"RB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"stand_up"	"abruptly"	"then"	"sit_down"	"just"	"as"	"abruptly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"not"	"to"	"for"	"them"	"for_not"	"not_to"	"to_them"	"husband_for_not"	"for_not_to"	"not_to_them"	"to_them_."	"NN"	"IN"	"RB"	"VB"	"TO"	"PRP"	"ε"	"according"	"to"	"person"	"many"	"wife"	"despise"	"their"	"husband"	"for"	"not"	"to"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"who"	"for"	"anyone"	"his"	"anyone_who"	"who_for"	"for_his"	"mean_anyone_who"	"anyone_who_for"	"who_for_his"	"for_his_right"	"VB"	"NN"	"WP"	"VB"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"mean"	"who"	"stand_up"	"for"	"his"	"right"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"and"	"box"	"demand"	"box_,"	",_and"	"and_demand"	"the_box_,"	"box_,_and"	",_and_demand"	"and_demand_water"	"DT"	"NN"	"ε"	"VB"	"CC"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"person"	"one"	"of"	"the"	"guest"	"the"	"box"	"stand_up"	"and"	"demand"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"."	"paper"	"∅"	"paper_and"	"and_."	"._∅"	"the_paper_and"	"paper_and_."	"and_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sigh"	"person"	"drop"	"paper"	"and"	"stand_up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
