"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"2:39:00::"	"had"	"a"	"i"	"drive-in"	"i_had"	"had_a"	"a_drive-in"	"∅_i_had"	"i_had_a"	"had_a_drive-in"	"a_drive-in_down"	"ε"	"PRP"	"VBD"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"had"	"notice"	"a"	"drive-in"	"down"	"the"	"road"	"a"	"quarter"	"of"	"a"	"mile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"n't"	"it"	"did"	"."	"did_n't"	"n't_it"	"it_."	"i_did_n't"	"did_n't_it"	"n't_it_."	"it_._∅"	"PRP"	"VBD"	"RB"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"n't"	"notice"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:04::"	"never"	"the"	"mercer"	"needle"	"mercer_never"	"never_the"	"the_needle"	"∅_mercer_never"	"mercer_never_the"	"never_the_needle"	"the_needle_touch"	"ε"	"NNP"	"RB"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"never"	"notice"	"the"	"needle"	"touch"	"his"	"arm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"a"	"at_last"	"return"	"at_last_he"	"he_a"	"a_return"	"∅_at_last_he"	"at_last_he_a"	"he_a_return"	"a_return_of"	"ε"	"RB"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"notice"	"a"	"return"	"of"	"the"	"inwardness"	"of"	"pain"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:04::"	"to"	"the"	"begin"	"middle-age"	"begin_to"	"to_the"	"the_middle-age"	"one_begin_to"	"begin_to_the"	"to_the_middle-age"	"the_middle-age_spread"	"CD"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"then"	"begin"	"to"	"notice"	"the"	"middle-age"	"spread"	"the"	"gray"	"hairs"	"the"	"eyeglasses"	"bodies"	"that"	"be"	"too"	"thin"	"or"	"too"	"heavy"	"the"	"fading"	"signs"	"of"	"old"	"beauty"	"the"	"athlete"	"of"	"by-gone"	"years"	"who"	"wear"	"a"	"size"	"suit"	"and"	"puff"	"when"	"he"	"has"	"finish"	"a"	"sentence"	"of"	"any"	"length"	"then"	"it"	"is"	"time"	"to"	"break_up"	"it"	"up"	"and"	"move_on"	
"2:39:00::"	"i"	"which"	"thing"	"i"	"thing_i"	"i_which"	"which_i"	"one_thing_i"	"thing_i_which"	"i_which_i"	"which_i_have"	"CD"	"NN"	"PRP"	"VB"	"WDT"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"i"	"notice"	"which"	"i"	"have"	"seldom"	"hear"	"mention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"would"	"what"	"she"	"he"	"she_would"	"would_what"	"what_he"	"hope_she_would"	"she_would_what"	"would_what_he"	"what_he_was"	"VB"	"PRP"	"MD"	"VB"	"WP"	"PRP"	"VBD"	"0"	"0"	"0"	"the"	"cleansing"	"tissue"	"she"	"had"	"been"	"use"	"had"	"been"	"fall"	"on"	"the"	"floor"	"and"	"he"	"get_up"	"and"	"pick_up"	"one"	"then"	"another"	"hope"	"would"	"notice"	"what"	"he"	"was"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"anything"	"herself"	"about"	"herself_and"	"and_anything"	"anything_about"	"from_herself_and"	"herself_and_anything"	"and_anything_about"	"anything_about_him"	"IN"	"PRP"	"CC"	"VB"	"NN"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"maybe"	"i"	"could"	"he"	"say"	"surprise"	"that"	"she"	"turn"	"from"	"herself"	"and"	"notice"	"anything"	"about"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:04::"	"he"	"the"	"then"	"cloud"	"then_he"	"he_the"	"the_cloud"	"∅_then_he"	"then_he_the"	"he_the_cloud"	"the_cloud_race"	"ε"	"RB"	"PRP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"notice"	"the"	"cloud"	"race"	"upon"	"them"	"heavy"	"ominous"	"leaden"	"cloud"	"that"	"form"	"even"	"as"	"they"	"slice"	"over"	"the"	"crest"	"of"	"the"	"surrounding"	"hills"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:04::"	"have"	"in"	"we"	"his"	"we_have"	"have_in"	"in_his"	"power_we_have"	"we_have_in"	"have_in_his"	"in_his_early"	"NN"	"PRP"	"VBP"	"VB"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"carry_out"	"this"	"exalted"	"conception"	"the"	"author"	"has"	"the"	"vivid"	"realism"	"and"	"imaginative"	"power"	"we"	"have"	"notice"	"in"	"his"	"early"	"poetry"	"and"	"carry_out"	"them"	"out"	"on"	"a"	"grand"	"scale"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
