"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:18:00::"	"by"	"."	"offer"	"∅"	"offer_by"	"by_."	"._∅"	"answer_offer_by"	"offer_by_."	"by_._∅"	"._∅_∅"	"NN"	"VB"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blockade"	"be"	"answer"	"offer"	"by"	"expert"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"civilian"	","	"and"	"could"	"and_civilian"	"civilian_,"	",_could"	"military_and_civilian"	"and_civilian_,"	"civilian_,_could"	",_could_restore"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"blockade"	"in"	"the"	"view"	"military"	"and"	"civilian"	"expert"	"could"	"restore"	"tooth"	"to"	"the"	"monroe_doctrine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"military"	"say"	"∅"	"a"	"∅_military"	"military_say"	"say_a"	"∅_∅_military"	"∅_military_say"	"military_say_a"	"say_a_tight"	"ε"	"ε"	"NN"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expert"	"say"	"a"	"tight"	"naval_blockade"	"off"	"cuban"	"port"	"and"	"at"	"the"	"approach"	"to"	"cuban"	"water"	"would"	"require"	"two"	"naval"	"task_force"	"each"	"build"	"around"	"an"	"aircraft_carrier"	"with"	"a"	"complement"	"of"	"about"	"plane"	"and"	"several"	"destroyer"	
"1:18:00::"	"the"	"."	"say"	"∅"	"say_the"	"the_."	"._∅"	",_say_the"	"say_the_."	"the_._∅"	"._∅_∅"	"ε"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"plenty"	"the"	"expert"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"many"	","	"to"	"this"	"to_many"	"many_,"	",_this"	"∅_to_many"	"to_many_,"	"many_,_this"	",_this_trend"	"ε"	"TO"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"expert"	"this"	"trend"	"be"	"inevitable"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"∅"	"say"	"∅"	"the"	"∅_∅"	"∅_say"	"say_the"	"∅_∅_∅"	"∅_∅_say"	"∅_say_the"	"say_the_partner"	"ε"	"ε"	"ε"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"say"	"the"	"partner"	"in"	"marriage"	"like"	"these"	"can"	"almost"	"be"	"type"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"other"	"say"	"∅"	","	"∅_other"	"other_say"	"say_,"	"∅_∅_other"	"∅_other_say"	"other_say_,"	"say_,_however"	"ε"	"ε"	"JJ"	"NN"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"expert"	"say"	"however"	"that"	"if"	"sexual"	"domination"	"by"	"one"	"or"	"the"	"partner"	"exist"	"for"	"longer"	"than"	"a"	"brief"	"period"	"it"	"be"	"likely"	"to"	"shake"	"the"	"marriage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"of"	"who"	"number"	"could"	"number_of"	"of_who"	"who_could"	"a_number_of"	"number_of_who"	"of_who_could"	"who_could_see"	"JJ"	"NN"	"JJ"	"NN"	"WP"	"MD"	"VB"	"the"	"reason"	"for"	"the"	"value"	"of"	"this"	"procedure"	"be"	"simply"	"that"	"the"	"applicant"	"were"	"test"	"at"	"work"	"in"	"different"	"situation"	"by"	"the"	"judgment"	"of"	"a"	"number"	"of"	"who"	"could"	"see"	"how"	"the"	"salesman"	"conduct"	"themselves"	"with"	"different"	"but"	"typical"	"restaurant"	"owner"	"and"	"manager"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"defensive"	","	"ball-hawking"	"was"	"ball-hawking_defensive"	"defensive_,"	",_was"	"the_ball-hawking_defensive"	"ball-hawking_defensive_,"	"defensive_,_was"	",_was_cite"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"defensive"	"expert"	"was"	"cite"	"for"	"his"	"performance"	"against"	"group"	"in"	"group"	"nationally"	"televise"	"victory"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"the"	"themselves"	","	"be"	",_the"	"the_themselves"	"themselves_be"	"for_that_matter_,_the"	",_the_themselves"	"the_themselves_be"	"themselves_be_a"	"RB"	"ε"	"DT"	"NN"	"PRP"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for_that_matter"	"expert"	"themselves"	"be"	"a"	"mixed"	"breed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
