"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"
"2:33:01::"	"``"	"on"	"is"	"the"	"is_``"	"``_on"	"on_the"	"gop_is_``"	"is_``_on"	"``_on_the"	"on_the_carcass"	"NNP"	"VBZ"	"ε"	"VB"	"IN"	"DT"	"NN"	"sen._walter_h._jones_r-bergen"	"last"	"night"	"disagree"	"on"	"the"	"value"	"of"	"use"	"as"	"a"	"campaign"	"issue"	"a"	"remark"	"by"	"richard_j._hughes"	"democratic"	"gubernatorial"	"candidate"	"that"	"the"	"gop"	"is"	"campaign"	"the"	"carcass"	"of"	"eisenhower_republicanism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"to"	"on"	"republican_party"	"the"	"republican_party_to"	"to_on"	"on_the"	"the_republican_party_to"	"republican_party_to_on"	"to_on_the"	"on_the_carcass"	"DT"	"NN"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hughes"	"say"	"monday"	"it"	"be"	"the"	"intention"	"of"	"the"	"republican_party"	"to"	"campaign"	"on"	"the"	"carcass"	"of_what"	"they"	"call"	"eisenhower_republicanism"	"but"	"the"	"heart"	"stop"	"beat"	"and"	"the"	"lifeblood"	"congeal"	"after"	"eisenhower"	"retire"	"0"	"0"	"0"	"0"	
"2:41:10::"	"time"	"for"	"available"	"mr._mitchell"	"available_time"	"time_for"	"for_mr._mitchell"	"his_available_time"	"available_time_for"	"time_for_mr._mitchell"	"for_mr._mitchell_be"	"PRP$"	"JJ"	"NN"	"VB"	"VB"	"NNP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sandman"	"say"	"the"	"announcement"	"that"	"sen._clifford_case_r-n._j."	"has"	"decide"	"spend"	"all"	"his"	"available"	"time"	"campaign"	"for"	"mr._mitchell"	"be"	"a"	"dead"	"giveaway"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"election"	","	"april"	"bestow"	"april_election"	"election_,"	",_bestow"	"the_april_election"	"april_election_,"	"election_,_bestow"	",_bestow_upon"	"DT"	"NN"	"NN"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"as"	"part"	"of"	"the"	"same"	"arrangement"	"person"	"had"	"in"	"the"	"spirit"	"of"	"peace"	"and"	"good_will"	"and"	"in"	"exchange"	"armed"	"support"	"in"	"the"	"election"	"campaign"	"bestow"	"upon"	"person"	"a"	"third"	"share"	"in"	"the"	"group"	"proceeds"	"and"	"a"	"cut"	"in"	"the"	"person"	"beer"	"trade"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"develop"	"to"	"are"	"protect"	"are_develop"	"develop_to"	"to_protect"	"association_are_develop"	"are_develop_to"	"develop_to_protect"	"to_protect_or"	"NN"	"VBP"	"VB"	"NN"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many"	"industry"	"association"	"are"	"develop"	"campaign"	"to"	"protect"	"or"	"enhance"	"the"	"share"	"of"	"the"	"consumer"	"dollar"	"being"	"spend"	"on"	"their"	"particular"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"vigorous"	"of"	"a"	"interpretation"	"a_vigorous"	"vigorous_of"	"of_interpretation"	"follow_a_vigorous"	"a_vigorous_of"	"vigorous_of_interpretation"	"of_interpretation_and"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"follow"	"vigorous"	"campaign"	"of"	"interpretation"	"and"	"leadership"	"development"	"by"	"oep"	"director"	"person"	"today"	"thousand"	"of"	"secondary_school"	"college"	"and"	"university"	"have"	"shooting"	"and"	"hunting"	"education"	"in"	"their"	"physical_education"	"and"	"recreation"	"program"	
"1:11:00::"	"presidential"	"provide"	"our"	"much"	"our_presidential"	"presidential_provide"	"provide_much"	"∅_our_presidential"	"our_presidential_provide"	"presidential_provide_much"	"provide_much_debate"	"ε"	"PRP$"	"JJ"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"presidential"	"campaign"	"provide"	"much"	"debate"	"and"	"argument"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:02::"	"the"	"-"	"of"	"tie"	"of_the"	"the_-"	"-_tie"	"homer_of_the"	"of_the_-"	"the_-_tie"	"-_tie_the"	"NN"	"IN"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"blast"	"over"	"left"	"in"	"the"	"fourth"	"fourth"	"homer"	"of"	"the"	"campaign"	"tie"	"the"	"score"	"and"	"person"	"first"	"major_league"	"home_run"	"in"	"the"	"fifth"	"put"	"the"	"group"	"back"	"in_front"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"'s"	"."	"person"	"∅"	"person_'s"	"'s_."	"._∅"	"for_person_'s"	"person_'s_."	"'s_._∅"	"._∅_∅"	"IN"	"NNP"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"group"	"public_relations"	"director"	"resign"	"tuesday"	"work"	"for"	"person"	"campaign"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"lead_up"	"∅"	"to"	"∅_the"	"the_lead_up"	"lead_up_to"	"∅_∅_the"	"∅_the_lead_up"	"the_lead_up_to"	"lead_up_to_the"	"ε"	"ε"	"DT"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"campaign"	"lead_up"	"to"	"the"	"election"	"be"	"not"	"so"	"quiet"	"however"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
