"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:39:00::"	"she"	"any"	"if"	"unusual"	"if_she"	"she_any"	"any_unusual"	"∅_if_she"	"if_she_any"	"she_any_unusual"	"any_unusual_preoccupation"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"sense"	"any"	"unusual"	"preoccupation"	"on"	"the"	"part"	"of"	"her"	"mother"	"she"	"did"	"not"	"comment"	"upon"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"that"	"in"	"complete"	"in_the"	"the_that"	"that_complete"	"at_least_in_the"	"in_the_that"	"the_that_complete"	"that_complete_form"	"RB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dictionary"	"be"	"a"	"dictionary"	"at_least"	"in"	"the"	"sense"	"that"	"complete"	"form"	"are"	"use"	"as"	"the"	"basis"	"for"	"match"	"text"	"occurrence"	"with"	"dictionary_entry"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:05::"	"the"	"of"	"with_respect_to"	"harmony"	"with_respect_to_the"	"the_of"	"of_harmony"	"particularly_with_respect_to_the"	"with_respect_to_the_of"	"the_of_harmony"	"of_harmony_,"	"RB"	"JJ"	"DT"	"NN"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"any"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"sense"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"sense"	"of"	"a"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"most"	"careful"	"exploration"	"of"	"the"	"particular"	"feature"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	
"1:09:05::"	"or"	"of"	","	"``"	",_or"	"or_of"	"of_``"	"tension_,_or"	",_or_of"	"or_of_``"	"of_``_a"	"NN"	"ε"	"CC"	"NN"	"IN"	"ε"	"DT"	"any"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"great"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"sense"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"of"	"a"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"most"	"careful"	"exploration"	"of"	"the"	"particular"	"feature"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"the"	"that"	"in"	"everyone"	"in_the"	"the_that"	"that_everyone"	",_in_the"	"in_the_that"	"the_that_everyone"	"that_everyone_agree"	"ε"	"IN"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"not"	"mean"	"to"	"suggest"	"these"	"assumption"	"be"	"self-evident"	"in"	"the"	"sense"	"that"	"everyone"	"agree"	"with"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"qualified"	"i"	"the"	"have"	"the_qualified"	"qualified_i"	"i_have"	"in_the_qualified"	"the_qualified_i"	"qualified_i_have"	"i_have_indicate"	"IN"	"DT"	"JJ"	"NN"	"PRP"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"condition"	"be"	"unobtainable"	"be"	"even"	"approachable"	"in"	"the"	"qualified"	"sense"	"i"	"have"	"indicate"	"without"	"the"	"prior"	"defeat"	"of"	"world"	"communism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:05::"	"no"	"that"	","	"she"	",_no"	"no_that"	"that_she"	"person_,_no"	",_no_that"	"no_that_she"	"that_she_had"	"NNP"	"ε"	"JJ"	"NN"	"IN"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"feel"	"no"	"towards"	"person"	"no"	"sense"	"that"	"she"	"had"	"betray"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:05::"	"a"	"of"	"her"	"normal"	"her_a"	"a_of"	"of_normal"	"to_her_a"	"her_a_of"	"a_of_normal"	"of_normal_everyday"	"TO"	"PRP$"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"dress"	"and"	"the"	"routine"	"restore"	"to"	"her"	"a"	"sense"	"of"	"normal"	"everyday"	"life"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:04::"	"by"	"''"	"unnourished"	"to"	"unnourished_by"	"by_''"	"''_to"	"``_unnourished_by"	"unnourished_by_''"	"by_''_to"	"''_to_believe"	"ε"	"JJ"	"IN"	"NN"	"ε"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"is"	"not"	"a"	"medieval"	"mental"	"or"	"an"	"attitude"	"unnourished"	"by"	"sense"	"to"	"believe"	"that"	"husband"	"and"	"wife"	"should"	"not"	"be"	"subject"	"to"	"such"	"a"	"risk"	"or"	"that"	"such"	"a"	"possibility"	"not"	"be"	"permit"	"to"	"endanger"	"the"	"confidentiality"	"of"	"the"	"marriage"	"relationship"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"apparently"	"this"	"∅"	","	"∅_apparently"	"apparently_this"	"this_,"	"∅_∅_apparently"	"∅_apparently_this"	"apparently_this_,"	"this_,_and"	"ε"	"ε"	"RB"	"VB"	"DT"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sense"	"this"	"and"	"realize"	"that"	"it"	"give"	"him"	"an"	"advantage"	"person"	"become"	"bold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:05::"	"a"	"of"	"have"	"marginality"	"have_a"	"a_of"	"of_marginality"	"to_have_a"	"have_a_of"	"a_of_marginality"	"of_marginality_."	"VB"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"upper"	"teen"	"jewish"	"life"	"the"	"college"	"group"	"tend"	"to"	"have"	"a"	"sense"	"of"	"marginality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"some"	"elementary"	"in"	"."	"in_some"	"some_elementary"	"elementary_."	"be_in_some"	"in_some_elementary"	"some_elementary_."	"elementary_._∅"	"VB"	"IN"	"DT"	"NN"	"JJ"	"ε"	"ε"	"try"	"to"	"study"	"a"	"linear_operator"	"t"	"on"	"the"	"finite"	"dimensional"	"space"	"v"	"by"	"decompose"	"t"	"into"	"a"	"direct_sum"	"of"	"operator"	"which"	"be"	"in"	"elementary"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:05::"	"extraordinary"	"of"	"an"	"presence"	"an_extraordinary"	"extraordinary_of"	"of_presence"	"be_an_extraordinary"	"an_extraordinary_of"	"extraordinary_of_presence"	"of_presence_in"	"VB"	"DT"	"JJ"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"an"	"extraordinary"	"sense"	"of"	"presence"	"in"	"all"	"of"	"these"	"recording"	"apparently"	"obtain"	"at_least"	"in"	"part"	"by"	"emphasize"	"the"	"middle"	"and"	"high_frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"something"	"him"	"portentous"	"him_,"	",_something"	"something_portentous"	"pass_over_him_,"	"him_,_something"	",_something_portentous"	"something_portentous_in"	"VB"	"PRP"	"ε"	"VB"	"NN"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old_man"	"near"	"the"	"corner"	"the"	"shadow"	"pass_over"	"him"	"sense"	"something"	"portentous"	"in"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"he"	"rather_than"	"∅"	"hear"	"∅_he"	"he_rather_than"	"rather_than_hear"	"∅_∅_he"	"∅_he_rather_than"	"he_rather_than_hear"	"rather_than_hear_the"	"ε"	"ε"	"PRP"	"VB"	"RB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sense"	"rather_than"	"hear"	"the"	"gasp"	"that"	"sweep"	"across"	"the"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"largest"	"of"	"the"	"the"	"the_largest"	"largest_of"	"of_the"	"in_the_largest"	"the_largest_of"	"largest_of_the"	"of_the_word"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"in"	"largest"	"sense"	"of"	"the"	"word"	"i"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:02::"	","	"and"	"body"	"brain"	"body_,"	",_and"	"and_brain"	"the_body_,"	"body_,_and"	",_and_brain"	"and_brain_,"	"DT"	"NN"	"ε"	"NN"	"CC"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"sense"	"and"	"brain"	"in_common_with"	"all"	"matter"	"have"	"their"	"counterpart"	"on"	"each"	"of"	"a"	"countless"	"number"	"of"	"frequency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:03::"	"make"	"out"	"cannot"	"of"	"cannot_make"	"make_out"	"out_of"	"i_cannot_make"	"cannot_make_out"	"make_out_of"	"out_of_the"	"PRP"	"MD"	"VB"	"NN"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"make"	"sense"	"out"	"of"	"the"	"figure"	"for"	"maturity"	"growth"	"at_best"	"the"	"annual"	"increase"	"appear"	"to"	"be"	"a"	"matter"	"of"	"inch"	"rather_than"	"foot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:05::"	"a"	"of"	"and"	"supreme"	"and_a"	"a_of"	"of_supreme"	"peace_and_a"	"and_a_of"	"a_of_supreme"	"of_supreme_fulfillment"	"NN"	"CC"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_the_same_time"	"that"	"religion"	"bind"	"the"	"individual"	"helpfully"	"to"	"supernatural"	"and"	"give"	"him"	"cosmic"	"peace"	"and"	"a"	"sense"	"of"	"supreme"	"fulfillment"	"it"	"also"	"have"	"great"	"therapeutic"	"value"	"for"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"conventional"	"."	"any"	"∅"	"any_conventional"	"conventional_."	"._∅"	"in_any_conventional"	"any_conventional_."	"conventional_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"be"	"not"	"certainly"	"in"	"any"	"conventional"	"sense"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
