"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:42:01::"	"i"	"until"	"∅"	"the"	"∅_i"	"i_until"	"until_the"	"∅_∅_i"	"∅_i_until"	"i_until_the"	"until_the_parking"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wait"	"until"	"the"	"parking"	"attendant"	"be"	"busy"	"with"	"a"	"customer"	"then"	"slip"	"around"	"the"	"back"	"of"	"the"	"car"	"with"	"license_number"	"jym"	"attach"	"the"	"electronic"	"bug"	"to_the_rear"	"bumper"	"and"	"walk_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	"."	"office_building"	"∅"	"office_building_and"	"and_."	"._∅"	"an_office_building_and"	"office_building_and_."	"and_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"VB"	"ε"	"ε"	"ε"	"the"	"hardest"	"chores"	"a"	"detective"	"have"	"be"	"hang_around"	"on"	"a"	"city"	"street"	"try"	"to"	"make"	"himself"	"inconspicuous"	"keep_an_eye_on"	"the"	"entrance"	"of"	"an"	"office_building"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"i"	"a"	"∅"	"solid"	"∅_i"	"i_a"	"a_solid"	"∅_∅_i"	"∅_i_a"	"i_a_solid"	"a_solid_two"	"ε"	"ε"	"PRP"	"VB"	"DT"	"JJ"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wait"	"a"	"solid"	"two"	"hours"	"before"	"my"	"man"	"come_out"	"of"	"the"	"office_building"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"and"	"."	"car"	"∅"	"car_and"	"and_."	"._∅"	"the_car_and"	"car_and_."	"and_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"find"	"a"	"parking"	"place"	"half"	"a"	"away"	"sit"	"in"	"the"	"car"	"and"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"i"	"until"	"∅"	"my"	"∅_i"	"i_until"	"until_my"	"∅_∅_i"	"∅_i_until"	"i_until_my"	"until_my_man"	"ε"	"ε"	"PRP"	"VB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wait"	"until"	"my"	"man"	"was"	"come_out"	"of"	"the"	"office"	"with"	"the"	"key"	"to"	"a"	"cabin"	"before"	"i"	"go_in"	"to"	"register"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"on"	"who"	"me"	"who_was"	"was_on"	"on_me"	"girl_who_was"	"who_was_on"	"was_on_me"	"on_me_,"	"NN"	"WP"	"VBD"	"VB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"place"	"be"	"n't"	"particularly"	"busy"	"at_that_time"	"night"	"and"	"the"	"girl"	"who"	"was"	"wait"	"on"	"me"	"who"	"was"	"clothe"	"in"	"the"	"tightest-fitting"	"pair"	"of"	"slacks"	"i"	"had"	"ever"	"see"	"on"	"a"	"woman"	"and"	"a"	"sweater"	"that"	"show"	"everything"	"there"	"be"	"and"	"there"	"be"	"lots_of"	"it"	"want"	"to"	"be"	"sociable"	"0"	"0"	"0"	
"2:42:01::"	"``"	"a"	"∅"	"minute"	"∅_``"	"``_a"	"a_minute"	"∅_∅_``"	"∅_``_a"	"``_a_minute"	"a_minute_,"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"minute"	"mike"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"recommend"	"four"	"will"	"or"	"will_recommend"	"recommend_four"	"four_or"	"orthodontists_will_recommend"	"will_recommend_four"	"recommend_four_or"	"four_or_five"	"NNS"	"MD"	"VB"	"VB"	"CD"	"CC"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"cases"	"in_view"	"of"	"present-day"	"knowledge"	"head"	"growth"	"orthodontists"	"will"	"recommend"	"wait"	"four"	"or"	"five"	"years"	"before"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:01::"	"to"	"before"	"have"	"they"	"have_to"	"to_before"	"before_they"	"would_have_to"	"have_to_before"	"to_before_they"	"before_they_have"	"MD"	"VB"	"VB"	"VB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"try"	"to"	"ask"	"the"	"lady_da"	"how"	"they"	"had"	"have"	"the"	"drug"	"and_how"	"longer"	"they"	"would"	"have"	"to"	"wait"	"before"	"they"	"have"	"it"	"again"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"were"	"for"	"schools"	"some"	"schools_were"	"were_for"	"for_some"	"the_schools_were"	"schools_were_for"	"were_for_some"	"for_some_leadership"	"DT"	"NNS"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._melvin_w._barnes"	"superintendent"	"say"	"he"	"the"	"schools"	"were"	"wait"	"for"	"some"	"leadership"	"perhaps"	"on"	"the"	"national"	"level"	"to"	"make"	"sure"	"that"	"whatever"	"steps"	"of"	"planning"	"they"	"take"	"would"	"be"	"more"	"fruitful"	"and"	"that"	"he"	"had"	"find"	"that"	"school"	"districts"	"be"	"not"	"as"	"far"	"along"	"in"	"their"	"planning"	"as"	"this"	"district"	
"2:42:00::"	"going_to"	","	"he"	"i"	"he_going_to"	"going_to_,"	",_i"	"is_he_going_to"	"he_going_to_,"	"going_to_,_i"	",_i_think"	"VBZ"	"PRP"	"VB"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"my"	"god"	"how"	"is"	"he"	"going_to"	"wait"	"i"	"think"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
