"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"
"3:01:00::"	"limited"	"political"	"the"	"economical"	"the_limited"	"limited_political"	"political_economical"	"in_the_limited"	"the_limited_political"	"limited_political_economical"	"political_economical_context"	"IN"	"DT"	"JJ"	"JJ"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"already"	"commit"	"to"	"establish"	"man"	"supremacy"	"over"	"nature"	"everywhere"	"on"	"earth"	"not"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"our"	","	"that"	"political"	"that_our"	"our_,"	",_political"	"insist_that_our"	"that_our_,"	"our_,_political"	",_political_,"	"VB"	"IN"	"PRP$"	"JJ"	"ε"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"were"	"create"	"a"	"wholly"	"society"	"we"	"could"	"insist"	"that"	"our"	"social"	"political"	"economic"	"and"	"philosophic"	"institution"	"foster"	"rather"	"than"	"hamper"	"man"	"best"	"growth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"a"	"religion"	"of"	","	"of_a"	"a_religion"	"religion_,"	"development_of_a"	"of_a_religion"	"a_religion_,"	"religion_,_which"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"american"	"democratic"	"thought"	"point_up"	"the"	"relation"	"between"	"the"	"movement"	"in_this"	"country"	"and"	"the"	"development"	"of"	"a"	"social"	"religion"	"which"	"he"	"call"	"the"	"american"	"democratic"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"the"	"religion"	"into"	"of"	"into_the"	"the_religion"	"religion_of"	"country_into_the"	"into_the_religion"	"the_religion_of"	"religion_of_democracy"	"NN"	"IN"	"DT"	"JJ"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"long"	"road"	"that"	"had"	"liberal"	"in_this"	"country"	"into"	"the"	"social"	"religion"	"of"	"democracy"	"into"	"a"	"worship"	"of"	"man"	"lead"	"logically"	"to"	"the"	"marxist"	"dream"	"of"	"a"	"classless"	"society"	"under"	"a"	"socialist"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"homogeneity"	"breakdown"	"in"	"breakdown_of"	"of_homogeneity"	"homogeneity_in"	"the_breakdown_of"	"breakdown_of_homogeneity"	"of_homogeneity_in"	"homogeneity_in_inner_city"	"DT"	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"social"	"homogeneity"	"in"	"inner_city"	"area"	"and"	"the"	"spread"	"of"	"inner_city"	"blight"	"account_for"	"the"	"decline"	"of"	"central_city"	"church"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"to"	"difference"	"congregation"	"has"	"congregation_to"	"to_difference"	"difference_has"	"protestant_congregation_to"	"congregation_to_difference"	"to_difference_has"	"difference_has_often"	"JJ"	"NN"	"TO"	"JJ"	"NN"	"VBZ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"vulnerability"	"protestant"	"congregation"	"to"	"social"	"difference"	"has"	"often"	"been"	"attribute"	"to"	"the"	"folksy"	"spirit"	"of"	"protestant"	"religious"	"life"	"in_fact"	"a"	"contrast"	"is"	"often"	"draw"	"in"	"this"	"regard"	"with"	"the"	"impersonal"	"roman_catholic"	"parish"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"similar"	"and"	"of"	"economic"	"of_similar"	"similar_and"	"and_economic"	"people_of_similar"	"of_similar_and"	"similar_and_economic"	"and_economic_;"	"NN"	"IN"	"JJ"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"missionary"	"outreach"	"by"	"friendly"	"contact"	"look"	"somewhat"	"different"	"when"	"one"	"reflect"	"on"	"what"	"is"	"known"	"friendly"	"contact"	"in"	"metropolitan"	"neighborhood"	"the"	"majority"	"of"	"such"	"contact"	"be"	"with"	"people"	"of"	"similar"	"social"	"and"	"economic"	"association"	"by"	"level"	"of"	"achievement"	"be"	"the"	"dominant"	"principle"	"of"	"informal"	"relations"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"of"	"identity"	"vehicle"	"when"	"vehicle_of"	"of_identity"	"identity_when"	"a_vehicle_of"	"vehicle_of_identity"	"of_identity_when"	"identity_when_their"	"DT"	"NN"	"IN"	"JJ"	"NN"	"WRB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"perplexing"	"question"	"still"	"remain"	"as"	"to"	"why"	"middle_class"	"turn_to"	"the"	"church"	"as"	"a"	"vehicle"	"of"	"social"	"identity"	"when"	"their"	"club"	"and"	"charity"	"should"	"fill"	"the"	"same"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"life"	"political"	"of"	"political_and"	"and_life"	"life_of"	"the_political_and"	"political_and_life"	"and_life_of"	"life_of_our"	"DT"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"time"	"has"	"come"	"for"	"citizen"	"of"	"all"	"faith"	"to"	"unite"	"in"	"effort"	"to"	"remove"	"this"	"divisive"	"and"	"nettlesome"	"issue"	"from"	"the"	"political"	"and"	"social"	"life"	"of"	"our"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:01:00::"	"and"	"``"	"economic"	"indication"	"economic_and"	"and_``"	"``_indication"	",_economic_and"	"economic_and_``"	"and_``_indication"	"``_indication_''"	"ε"	"JJ"	"CC"	"JJ"	"ε"	"NN"	"ε"	"in"	"that"	"it"	"be"	"possible"	"be"	"exempt"	"from"	"the"	"normal"	"obligation"	"of"	"parenthood"	"for"	"a"	"long_time"	"and"	"even"	"for"	"the"	"whole"	"duration"	"of"	"married"	"life"	"if"	"there"	"be"	"serious"	"reason"	"such_as"	"those"	"often"	"mention"	"in"	"the"	"so-called"	"medical"	"eugenic"	"economic"	"and"	"social"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
