"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"2:38:00::"	"dare"	"the"	"who"	"throne"	"who_dare"	"dare_the"	"the_throne"	"photographer_who_dare"	"who_dare_the"	"dare_the_throne"	"the_throne_unbidden"	"NN"	"WP"	"VB"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"her"	"first"	"song"	"she"	"away"	"one"	"encroaching"	"photographer"	"who"	"dare"	"approach"	"the"	"throne"	"unbidden"	"and"	"thereafter"	"the"	"boys"	"with"	"the"	"cameras"	"had_to"	"unsheathe"	"their"	"mm."	"lenses"	"and"	"shoot"	"at"	"extreme"	"range"	"0"	"0"	
"2:42:00::"	"anything"	"the"	"create"	"fifty"	"create_anything"	"anything_the"	"the_fifty"	"have_create_anything"	"create_anything_the"	"anything_the_fifty"	"the_fifty_square-mile"	"VB"	"VB"	"NN"	"VB"	"DT"	"CD"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no_matter_how"	"determined"	"or"	"wealthy"	"boating"	"lovers"	"of"	"the"	"southwest"	"be"	"for_example"	"they"	"could"	"never"	"have"	"create"	"anything"	"approach"	"the"	"fifty"	"square-mile"	"lake_texoma"	"located"	"between"	"texas"	"and"	"oklahoma"	"which"	"result"	"when"	"the"	"corp"	"of"	"army_engineers"	"dam"	"the"	"red_river"	"0"	
"2:32:00::"	"they"	"new"	"as"	"prospects"	"as_they"	"they_new"	"new_prospects"	"argument_as_they"	"as_they_new"	"they_new_prospects"	"new_prospects_."	"NN"	"IN"	"PRP"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"growing"	"number"	"of"	"negro-appeal"	"radio_stations"	"plus"	"evidence"	"of"	"strong"	"listener"	"support"	"of"	"advertisers"	"give"	"time"	"salesmen"	"an"	"impressive"	"argument"	"as"	"they"	"approach"	"new"	"prospects"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"independence"	"there"	"for"	"were"	"for_independence"	"independence_there"	"there_were"	"time_for_independence"	"for_independence_there"	"independence_there_were"	"there_were_in"	"NN"	"IN"	"NN"	"VB"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"for"	"independence"	"approach"	"there"	"were"	"in"	"the"	"congo"	"no_fewer_than"	"political_parties"	"or"	"approximately"	"eight"	"for"	"each"	"university"	"graduate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:42:00::"	"something"	"calm"	","	"settle"	",_something"	"something_calm"	"calm_settle"	"1960_,_something"	",_something_calm"	"something_calm_settle"	"calm_settle_on"	"CD"	"ε"	"NN"	"VB"	"JJ"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"by"	"the"	"end"	"of"	"the"	"period"	"in"	"october"	"something"	"approach"	"calm"	"settle"	"on"	"the"	"congo"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"the"	"as"	"open"	"as_he"	"he_the"	"the_open"	"∅_as_he"	"as_he_the"	"he_the_open"	"the_open_bandstand"	"ε"	"IN"	"PRP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"approach"	"the"	"open"	"bandstand"	"erect"	"face"	"the"	"south"	"entrance"	"to"	"the"	"executive_mansion"	"the"	"band"	"strike_up"	"the"	"star_spangled_banner"	"and"	"follow"	"it"	"with"	"hail"	"to"	"the"	"chief"	"0"	"0"	"0"	
"2:42:00::"	","	"the"	"vote"	"party"	"vote_,"	",_the"	"the_party"	"the_vote_,"	"vote_,_the"	",_the_party"	"the_party_of"	"DT"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"the"	"party"	"of"	"adenauer"	"and"	"erhart"	"per_cent"	"of"	"the"	"vote"	"approach"	"the"	"party"	"of"	"willy_brandt"	"which"	"win"	"per_cent"	"the"	"result"	"would"	"be"	"a"	"stiffening"	"of"	"the"	"old"	"resolve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"she"	"the"	"∅"	"problem"	"∅_she"	"she_the"	"the_problem"	"∅_∅_she"	"∅_she_the"	"she_the_problem"	"the_problem_by"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"approach"	"the"	"problem"	"by"	"investigate"	"the"	"methods"	"of"	"sound_reproduction"	"through"	"the"	"centuries"	"human"	"and"	"instrumental"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"the"	"∅"	"horse"	"∅_he"	"he_the"	"the_horse"	"∅_∅_he"	"∅_he_the"	"he_the_horse"	"the_horse_and"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"approach"	"the"	"horse"	"and"	"lay"	"a"	"hand"	"on"	"the"	"stallion"	"quivering"	"neck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"was"	"the"	"and"	"car"	"and_was"	"was_the"	"the_car"	"across_and_was"	"and_was_the"	"was_the_car"	"the_car_when"	"RB"	"CC"	"VBD"	"VB"	"DT"	"NN"	"WRB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"kimmell"	"order"	"the"	"driver"	"to"	"back_up"	"the"	"children"	"safely"	"across"	"and"	"was"	"approach"	"the"	"car"	"when"	"it"	"suddenly"	"take_off"	"at"	"high"	"speed"	"he"	"say"	"narrowly"	"miss"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
