"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"
"2:38:00::"	"was"	"into"	"buying"	"march"	"buying_was"	"was_into"	"into_march"	"pre-easter_buying_was"	"buying_was_into"	"was_into_march"	"into_march_."	"JJ"	"NN"	"VBD"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"seasonal"	"adjustment"	"take_into_account"	"such"	"factors"	"as"	"easter"	"be"	"on"	"april"	"this"	"two_weeks"	"earlier"	"than"	"in"	"and"	"pre-easter"	"buying"	"was"	"push"	"into"	"march"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"him"	"attempt"	"toward"	"attempt_to"	"to_him"	"him_toward"	"'s_attempt_to"	"attempt_to_him"	"to_him_toward"	"him_toward_the"	"POS"	"NN"	"TO"	"VB"	"PRP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dean"	"resist"	"attempt"	"to"	"push"	"him"	"toward"	"the"	"horse"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	","	"himself"	"it"	"back_and_forth"	"it_,"	",_himself"	"himself_back_and_forth"	"in_it_,"	"it_,_himself"	",_himself_back_and_forth"	"himself_back_and_forth_in"	"IN"	"PRP"	"ε"	"VB"	"PRP"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._podger"	"sit_down"	"it"	"push"	"himself"	"back_and_forth"	"in"	"one"	"or"	"two"	"slow"	"rhythmic"	"motions"	"and_then"	"swing"	"his"	"feet"	"up"	"into"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"are"	"a"	"they"	"resolution"	"they_are"	"are_a"	"a_resolution"	",_they_are"	"they_are_a"	"are_a_resolution"	"a_resolution_which"	"ε"	"PRP"	"VBP"	"VB"	"DT"	"NN"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"right_now"	"are"	"push"	"a"	"resolution"	"which"	"would"	"have"	"un"	"use"	"its"	"forces"	"to"	"invade"	"and"	"subjugate"	"katanga"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"being"	"in"	"is"	"bibb"	"is_being"	"being_in"	"in_bibb"	"effort_is_being"	"is_being_in"	"being_in_bibb"	"in_bibb_and"	"NN"	"VBZ"	"VBG"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"eradication"	"is"	"being"	"push"	"in"	"bibb"	"and"	"jones"	"counties"	"over"	"acres"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"to"	"''"	"try"	"."	"try_to"	"to_''"	"''_."	"you_try_to"	"try_to_''"	"to_''_."	"''_._∅"	"PRP"	"VB"	"TO"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"adults"	"take"	"a"	"long_time"	"to"	"convince"	"and"	"are"	"thwart"	"if"	"you"	"try"	"to"	"push"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"to"	"a"	"design"	"heavy"	"design_to"	"to_a"	"a_heavy"	"gun_design_to"	"design_to_a"	"to_a_heavy"	"a_heavy_slug"	"NN"	"VB"	"TO"	"VB"	"DT"	"JJ"	"NN"	"deerstalker"	"under"	"be"	"a"	"new"	"rifle"	"action"	"in"	"a"	"caliber"	"that"	"upset"	"all"	"the"	"modern"	"theory"	"of"	"high-velocity"	"fans"	"it"	"be"	"a"	"short"	"light"	"quick-handling"	"fast-firing"	"little"	"timber"	"gun"	"design"	"to"	"push"	"heavy"	"slug"	"at"	"modest"	"velocity"	"but"	"with"	"lots_of"	"killing"	"power"	"and"	"ample"	"range"	"for"	"our"	"most"	"popular"	"big_game"	"whitetail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"and"	"back"	"drink"	"her"	"drink_and"	"and_back"	"back_her"	"she_drink_and"	"drink_and_back"	"and_back_her"	"back_her_gingham"	"PRP"	"VB"	"CC"	"VB"	"RB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"and"	"push"	"back"	"her"	"gingham"	"bonnet"	"to"	"wet"	"a"	"kerchief"	"and"	"wipe"	"her"	"face"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"location"	"the"	"∅"	"radio"	"∅_location"	"location_the"	"the_radio"	"∅_∅_location"	"∅_location_the"	"location_the_radio"	"the_radio_button"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"push"	"the"	"radio"	"button"	"on"	"his"	"throttle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"he"	"the"	"∅"	"radio"	"∅_he"	"he_the"	"the_radio"	"∅_∅_he"	"∅_he_the"	"he_the_radio"	"the_radio_button"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"push"	"the"	"radio"	"button"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
