"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"
"2:32:00::"	"today"	"a"	"president_kennedy"	"mammoth"	"president_kennedy_today"	"today_a"	"a_mammoth"	"∅_president_kennedy_today"	"president_kennedy_today_a"	"today_a_mammoth"	"a_mammoth_new"	"ε"	"NNP"	"NN"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"today"	"propose"	"a"	"mammoth"	"new"	"medical_care"	"program"	"whereby"	"social_security"	"taxes"	"on"	"million"	"american"	"workers"	"would"	"be"	"raise"	"to"	"pay"	"the"	"hospital"	"and"	"some"	"medical_bills"	"of"	"million"	"americans"	"over"	"who"	"are"	"covered"	"by"	"social_security"	"or"	"railroad"	"retirement"	"programs"	
"2:32:00::"	"further"	"grants"	"he"	"of"	"he_further"	"further_grants"	"grants_of"	"∅_he_further"	"he_further_grants"	"further_grants_of"	"grants_of_an"	"ε"	"PRP"	"JJ"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"further"	"propose"	"grants"	"of"	"an"	"unspecified"	"sum"	"for"	"experimental"	"hospitals"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"now"	"to"	"service"	"preserve"	"service_now"	"now_to"	"to_preserve"	"national_park_service_now"	"service_now_to"	"now_to_preserve"	"to_preserve_an"	"NN"	"NNP"	"RB"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"service"	"now"	"propose"	"to"	"preserve"	"an"	"area"	"in"	"pottawatomie_county"	"northeast"	"kansas"	"as"	"a"	"prairie"	"national_park"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"is"	"the"	"senator_mcclellan"	"application"	"senator_mcclellan_is"	"is_the"	"the_application"	"∅_senator_mcclellan_is"	"senator_mcclellan_is_the"	"is_the_application"	"the_application_of"	"ε"	"NNP"	"VBZ"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"is"	"propose"	"the"	"application"	"of"	"anti-trust"	"measures"	"to"	"unions"	"in"	"transportation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"and"	"instead"	","	"a"	",_and"	"and_instead"	"instead_a"	"china_,_and"	",_and_instead"	"and_instead_a"	"instead_a_more"	"NNP"	"ε"	"CC"	"VB"	"RB"	"DT"	"RBR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"exponents"	"of"	"zen"	"often"	"insist"	"that"	"very"	"early"	"zen"	"oppose"	"the"	"rampant"	"supernaturalism"	"of"	"china"	"and"	"propose"	"instead"	"a"	"more"	"mature"	"less"	"credulous"	"view"	"of"	"the"	"universe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"projects"	"by"	"twelve"	"private"	"twelve_projects"	"projects_by"	"by_private"	"∅_twelve_projects"	"twelve_projects_by"	"projects_by_private"	"by_private_groups"	"ε"	"CD"	"NNS"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"projects"	"propose"	"by"	"private"	"groups"	"be"	"at"	"the"	"contract-negotiation"	"stage"	"gordon_boyce"	"director"	"of"	"relations"	"with"	"the"	"voluntary"	"agencies"	"say"	"in"	"a"	"washington"	"interview"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"also"	"that"	"britain"	"the"	"britain_also"	"also_that"	"that_the"	"say_britain_also"	"britain_also_that"	"also_that_the"	"that_the_international"	"VB"	"NNP"	"RB"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"britain"	"also"	"propose"	"that"	"the"	"international"	"truce"	"commission"	"should"	"be"	"reconvene"	"send"	"to"	"new_delhi"	"and"	"from"	"there"	"to"	"laos"	"to"	"verify"	"the"	"cease-fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"been"	"all"	"have"	"organize"	"have_been"	"been_all"	"all_organize"	"that_have_been"	"have_been_all"	"been_all_organize"	"all_organize_the"	"WDT"	"VBP"	"VBN"	"VB"	"DT"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"linguistic"	"technique"	"for"	"reduce"	"amount"	"of"	"dictionary"	"information"	"that"	"have"	"been"	"propose"	"all"	"organize"	"the"	"dictionary"	"content"	"around"	"prefix"	"stem"	"suffix"	"etc."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"we"	"a"	"∅"	"method"	"∅_we"	"we_a"	"a_method"	"∅_∅_we"	"∅_we_a"	"we_a_method"	"a_method_for"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"propose"	"a"	"method"	"for"	"select"	"only"	"dictionary"	"information"	"require"	"by"	"the"	"text"	"being"	"translate"	"and"	"a"	"means"	"for"	"pass"	"the"	"information"	"directly"	"to"	"the"	"occurrence"	"in"	"text"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"plan"	"."	"sound"	"∅"	"sound_plan"	"plan_."	"._∅"	"of_sound_plan"	"sound_plan_."	"plan_._∅"	"._∅_∅"	"JJ"	"JJ"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"have"	"been"	"number"	"of"	"sound"	"plan"	"propose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
