"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"1:14:00::"	"the"	"far"	"∅"	"say"	"∅_the"	"the_far"	"far_say"	"∅_∅_the"	"∅_the_far"	"the_far_say"	"far_say_in"	"ε"	"ε"	"DT"	"NN"	"RB"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jury"	"far"	"say"	"in"	"term"	"end"	"presentment"	"that"	"the"	"group"	"which"	"have"	"overall"	"charge"	"of"	"the"	"election"	"deserve"	"the"	"praise"	"and"	"thanks"	"of"	"the"	"location"	"for"	"the"	"manner"	"in"	"which"	"the"	"election"	"was"	"conduct"	"0"	"0"	"0"	
"1:14:00::"	"term"	"had"	"october"	"been"	"october_term"	"term_had"	"had_been"	"september_october_term"	"october_term_had"	"term_had_been"	"had_been_charge"	"NN"	"NN"	"NN"	"NN"	"VBD"	"VBN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"october"	"term"	"jury"	"had"	"been"	"charge"	"by"	"location"	"person"	"to"	"investigate"	"report"	"of"	"irregularity"	"in"	"the"	"hard-fought"	"primary"	"which"	"was"	"win"	"by"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"say"	","	","	",_the"	"the_say"	"say_,"	"''_,_the"	",_the_say"	"the_say_,"	"say_,_``"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"only"	"a"	"relative"	"handful"	"of"	"such"	"was"	"receive"	"the"	"jury"	"say"	"consider"	"the"	"widespread"	"interest"	"in"	"the"	"election"	"the"	"number"	"of"	"voter"	"and"	"the"	"size"	"of_this"	"city"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"say"	"∅"	"it"	"∅_the"	"the_say"	"say_it"	"∅_∅_the"	"∅_the_say"	"the_say_it"	"say_it_did"	"ε"	"ε"	"DT"	"NN"	"VB"	"PRP"	"VBD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jury"	"say"	"it"	"did"	"find"	"that"	"many_of"	"georgia"	"registration"	"and"	"election"	"law"	"be"	"outmoded"	"or"	"inadequate"	"and"	"often"	"ambiguous"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"say"	","	"it"	",_the"	"the_say"	"say_it"	"however_,_the"	",_the_say"	"the_say_it"	"say_it_believe"	"RB"	"ε"	"DT"	"NN"	"VB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"jury"	"say"	"it"	"believe"	"these"	"two"	"office"	"should"	"be"	"combined"	"to"	"achieve"	"great"	"efficiency"	"and"	"reduce"	"the"	"cost"	"of"	"administration"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"say"	","	","	",_the"	"the_say"	"say_,"	"group_,_the"	",_the_say"	"the_say_,"	"say_,_``"	"NNP"	"ε"	"DT"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"the"	"jury"	"say"	"be"	"lacking"	"in"	"experienced"	"clerical"	"personnel"	"as"	"a"	"result"	"of"	"city"	"personnel"	"policy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"outgoing"	"."	"the"	"∅"	"the_outgoing"	"outgoing_."	"._∅"	"by_the_outgoing"	"the_outgoing_."	"outgoing_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"implementation"	"of"	"georgia"	"automobile"	"title"	"law"	"also"	"recommend"	"by"	"the"	"outgoing"	"jury"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"say"	","	","	",_the"	"the_say"	"say_,"	"''_,_the"	",_the_say"	"the_say_,"	"say_,_but"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"one"	"of"	"the"	"major"	"item"	"in"	"location"	"general"	"assistance"	"program"	"the"	"jury"	"say"	"but"	"the"	"group"	"has"	"seen_fit"	"to"	"distribute"	"these"	"fund"	"through"	"the"	"welfare"	"department"	"of"	"all"	"the"	"county"	"in"	"the"	"state"	"with"	"the"	"exception"	"of"	"location"	"which"	"receive"	"none"	"of_this"	"money"	
"1:14:00::"	"the"	"also"	"∅"	"comment"	"∅_the"	"the_also"	"also_comment"	"∅_∅_the"	"∅_the_also"	"the_also_comment"	"also_comment_on"	"ε"	"ε"	"DT"	"NN"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jury"	"also"	"comment"	"on"	"the"	"location"	"ordinary"	"court"	"which"	"has"	"been"	"under_fire"	"for"	"its"	"practice"	"in"	"the"	"appointment"	"of"	"appraiser"	"guardian"	"and"	"administrator"	"and"	"the"	"awarding"	"of"	"fee"	"and"	"compensation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"say"	"∅"	"it"	"∅_the"	"the_say"	"say_it"	"∅_∅_the"	"∅_the_say"	"the_say_it"	"say_it_find"	"ε"	"ε"	"DT"	"NN"	"VB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jury"	"say"	"it"	"find"	"the"	"court"	"has"	"incorporate"	"into"	"its"	"operating_procedure"	"the"	"recommendation"	"of"	"two"	"previous"	"grand_jury"	"the"	"group"	"and"	"an"	"interim"	"citizens_committee"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
